symbol,instrument_class,real_events_per_ticker_day,raw_source_file_bytes,raw_source_bytes_per_event,compact_parquet_bytes,compact_parquet_bytes_per_event,event_rate_per_second,median_interarrival_ms,p95_interarrival_ms
ADANIPORTS,equity,13886,54744007,3942.388520812329,888418,63.97940371597292,0.6088482941308139,1000.0,5500.0
AXISBANK,equity,18309,55030126,3005.632530449506,1195937,65.31962422852149,0.803904475652219,749.0,4913.649999999998
BAJAJ-AUTO,equity,25141,55531219,2208.791177757448,1547257,61.543176484626706,1.1038618480081333,741.0,4410.049999999999
BANKBEES,etf,18916,54858026,2900.0859589765278,1098493,58.07216113343202,0.8379597726150352,1000.0,4833.0
BHARTIARTL,equity,19560,55190740,2821.612474437628,1281930,65.53834355828221,0.8576316169666368,749.0,4762.399999999994
BPCL,equity,10684,54256472,5078.29202545863,736302,68.91632347435417,0.4691089310103396,1602.0,6081.699999999999
BRITANNIA,equity,8526,54177058,6354.334740792869,528701,62.01043865822191,0.3743373852889271,2000.0,7000.799999999999
CIPLA,equity,11664,54425687,4666.12542866941,739742,63.42095336076817,0.5114220439825589,1194.0,5953.9
DRREDDY,equity,12257,54592935,4454.020967610345,837649,68.34045851350248,0.5381720372272615,1250.0,5750.0
GOLDBEES,etf,12982,54501651,4198.247650593129,924255,71.19511631489755,0.5751501041202447,1000.0,5680.0
HCLTECH,equity,29266,56185830,1919.832911911433,2046222,69.91806191485,1.2849916652927336,500.0,4158.799999999999
HDFCBANK,equity,35959,56719345,1577.3337690147112,2430048,67.57829750549237,1.5788738347248972,500.0,1250.0
HINDUNILVR,equity,12173,54585232,4484.123223527479,788078,64.73983405898299,0.5344873658918817,1001.0,5859.449999999999
ICICIBANK,equity,26474,55797042,2107.616604970915,1767586,66.76686560398882,1.1624101309966053,500.0,4201.399999999998
INFY,equity,34511,56702770,1643.0346845933182,2458526,71.23890933325606,1.5152855655339823,500.0,2627.0999999999917
ITBEES,etf,11481,54430478,4740.917864297535,919408,80.08082919606306,0.5086447004458848,1250.0,5993.0
ITC,equity,12379,54356124,4390.994749171985,898765,72.60400678568544,0.5435287304263906,1250.0,5750.0
JUNIORBEES,etf,17442,54832707,3143.716718266254,1067447,61.19980506822612,0.7727358997628363,999.0,5021.0
KOTAKBANK,equity,14091,54705403,3882.2938755233836,992674,70.44737775885316,0.6187021664981931,1000.0,5475.549999999999
LT,equity,19466,55064314,2828.7431418884207,1284818,66.00318504058359,0.8546999165102286,749.0,4750.0
M&M,equity,25699,55603819,2163.6569127203393,1671764,65.0517140744776,1.1268034214941514,501.0,4285.449999999993
MARUTI,equity,27645,55534811,2008.8555254114667,1650748,59.71235304756737,1.2138259451311155,502.0,4139.699999999997
NESTLEIND,equity,12918,54577884,4224.948444031584,837123,64.80283325592197,0.5671698736995497,1000.0,5800.199999999999
NIFTYBEES,etf,22414,55113499,2458.8872579637728,1433809,63.9693495136968,0.993022217974978,749.0,4542.0
ONGC,equity,17305,54856635,3169.9875758451317,1188529,68.68124819416353,0.7598161951715559,750.0,5000.0
RELIANCE,equity,26056,55637533,2135.3059947804727,1751943,67.23760362296592,1.144086889482594,500.0,4324.0
SBIN,equity,24728,55549327,2246.414065027499,1690166,68.35029116790683,1.0857474397251663,500.0,4329.0
SUNPHARMA,equity,14610,54762618,3748.2969199178647,934229,63.944490075290894,0.641490217340047,982.0,5483.999999999993
TCS,equity,36467,56845524,1558.8209614171717,2614368,71.69133737351578,1.6012210853070985,500.0,1250.0
TECHM,equity,19124,55179402,2885.348358084083,1345829,70.37382346789374,0.8396891797680396,749.0,4856.699999999993
ULTRACEMCO,equity,8386,54242826,6468.2597185785835,533111,63.571547817791554,0.3681906301938709,2245.0,6772.599999999999
WIPRO,equity,20334,55414740,2725.2257303039246,1557614,76.60145568997737,0.8928173907866198,524.0,4730.799999999996
