trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes,profile_id,output_root
2026-01,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,1726504,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-02,HDFCBANK,7476,59808,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1576975,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-03,HDFCBANK,8220,65760,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,1727334,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-04,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,1748751,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-05,HDFCBANK,7848,62784,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,1656031,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-06,HDFCBANK,8198,65584,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,1739001,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-07,HDFCBANK,8587,68696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,1785742,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-08,HDFCBANK,7841,62728,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,1657161,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-09,HDFCBANK,8208,65664,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-09\symbol=HDFCBANK\part-00000.parquet,1763095,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
2026-10,HDFCBANK,8212,65696,8,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT\trade_month=2026-10\symbol=HDFCBANK\part-00000.parquet,1720309,P98_LEGACY_DEFAULT,raw_synthetic_l2_phase101_calibrated_quality\profile=P98_LEGACY_DEFAULT
