symbol,trade_date,exchange,planned_action,source_symbol_dir,target_symbol_dir,source_file_count,target_file_count,source_bytes,target_bytes,target_exists,count_match,byte_match,integrity_pass,integrity_status
ADANIPORTS,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,641,641,22399798,22399798,True,True,True,True,verified
AXISBANK,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,641,641,22940648,22940648,True,True,True,True,verified
BAJAJ-AUTO,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,641,641,22287850,22287850,True,True,True,True,verified
BANKBEES,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,641,641,22610326,22610326,True,True,True,True,verified
BHARTIARTL,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,640,640,22431492,22431492,True,True,True,True,verified
BPCL,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,640,640,22142836,22142836,True,True,True,True,verified
BRITANNIA,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,641,641,22100628,22100628,True,True,True,True,verified
CIPLA,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,640,640,22175632,22175632,True,True,True,True,verified
DRREDDY,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,641,641,22216074,22216074,True,True,True,True,verified
GOLDBEES,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,641,641,22425356,22425356,True,True,True,True,verified
HCLTECH,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,641,641,22176067,22176067,True,True,True,True,verified
HDFCBANK,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,641,641,23194299,23194299,True,True,True,True,verified
HINDUNILVR,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,641,641,22359521,22359521,True,True,True,True,verified
ICICIBANK,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,641,641,22984610,22984610,True,True,True,True,verified
INFY,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=INFY,641,641,22736564,22736564,True,True,True,True,verified
ITBEES,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,641,641,22089190,22089190,True,True,True,True,verified
ITC,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITC,641,641,22455233,22455233,True,True,True,True,verified
JUNIORBEES,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,641,641,22568378,22568378,True,True,True,True,verified
KOTAKBANK,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,641,641,22729760,22729760,True,True,True,True,verified
LT,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=LT,641,641,22958116,22958116,True,True,True,True,verified
M&M,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=M&M,641,641,22867747,22867747,True,True,True,True,verified
MARUTI,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,641,641,22559567,22559567,True,True,True,True,verified
NESTLEIND,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,641,641,22225982,22225982,True,True,True,True,verified
NIFTYBEES,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,641,641,22644435,22644435,True,True,True,True,verified
ONGC,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,641,641,22493341,22493341,True,True,True,True,verified
RELIANCE,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,640,640,23024087,23024087,True,True,True,True,verified
SBIN,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,640,640,22778539,22778539,True,True,True,True,verified
SUNPHARMA,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,641,641,22318682,22318682,True,True,True,True,verified
TCS,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TCS,641,641,22407965,22407965,True,True,True,True,verified
TECHM,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TECHM,641,641,22183936,22183936,True,True,True,True,verified
ULTRACEMCO,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO,641,641,22236338,22236338,True,True,True,True,verified
WIPRO,2026-07-08,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO,641,641,22169452,22169452,True,True,True,True,verified
ADANIPORTS,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS,893,893,31192035,31192035,True,True,True,True,verified
AXISBANK,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK,892,892,31570078,31570078,True,True,True,True,verified
BAJAJ-AUTO,2026-07-09,NSE,copy_symbol_partition,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO,892,892,31020945,31020945,True,True,True,True,verified
