panel_name,panel_root,symbol_dir,layout_path,inferred_trade_date,inferred_exchange,symbol,parquet_files,first_file,last_file
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,2026-07-08,NSE,ADANIPORTS,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-073443_831343-000001.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-100140_507866-020481.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,2026-07-08,NSE,AXISBANK,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-073443_970901-000002.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-100140_620396-020482.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,2026-07-08,NSE,BAJAJ-AUTO,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-073444_080201-000003.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-100140_731059-020483.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,2026-07-08,NSE,BANKBEES,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-073444_224685-000004.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-100140_848136-020484.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,2026-07-08,NSE,BHARTIARTL,640,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-073444_337478-000005.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-100109_725200-020453.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,trade_date=2026-07-08\exchange=NSE\symbol=BPCL,2026-07-08,NSE,BPCL,640,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-073444_450400-000006.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-100109_851351-020454.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,2026-07-08,NSE,BRITANNIA,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-073444_559438-000007.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-100140_948824-020485.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,2026-07-08,NSE,CIPLA,640,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-073444_685953-000008.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-100110_070390-020456.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,2026-07-08,NSE,DRREDDY,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-073444_858308-000009.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-100141_075547-020486.parquet
l2_multiday_panel,real_data_sample\l2_multiday_panel,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,2026-07-08,NSE,GOLDBEES,641,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-073444_976748-000010.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-100141_199842-020487.parquet
