candidate_root,panel_root,status,layout_type,parquet_files,bytes,symbols_observed,expected_symbol_fraction,trade_dates_observed,trade_date_list,ready_candidate,recommended_action
real_data_sample,real_data_sample,found_parquet,trade_date_symbol,149477,5254282184,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-08,found_parquet,trade_date_symbol,20507,719892449,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE,found_parquet,trade_date_exchange_symbol,20507,719892449,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-09,found_parquet,trade_date_symbol,28560,1006378167,32,1.0,1,2026-07-09,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE,found_parquet,trade_date_exchange_symbol,28560,1006378167,32,1.0,1,2026-07-09,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-13,found_parquet,trade_date_symbol,50205,1764005784,32,1.0,1,2026-07-13,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE,found_parquet,trade_date_exchange_symbol,50205,1764005784,32,1.0,1,2026-07-13,True,validate_with_phase115_execute_import
real_data_sample,real_data_sample\l2_single_day,found_parquet,trade_date_symbol,50205,1764005784,32,1.0,1,unknown_single_day,True,validate_with_phase115_execute_import
raw_l2,,missing_root,missing,0,0,0,0.0,0,,False,create_this_root_or_place_exported_real_l2_partitions_here
scratch_l2_sample_20260710_HDFCBANK,,missing_root,missing,0,0,0,0.0,0,,False,create_this_root_or_place_exported_real_l2_partitions_here
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2,found_parquet,trade_date_symbol,49067,1726270616,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08,found_parquet,trade_date_symbol,20507,719892449,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08,found_parquet,trade_date_symbol,20507,719892449,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE,found_parquet,trade_date_exchange_symbol,20507,719892449,32,1.0,1,2026-07-08,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09,found_parquet,trade_date_symbol,28560,1006378167,32,1.0,1,2026-07-09,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09,found_parquet,trade_date_symbol,28560,1006378167,32,1.0,1,2026-07-09,True,validate_with_phase115_execute_import
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-09\trade_date=2026-07-09\exchange=NSE,found_parquet,trade_date_exchange_symbol,28560,1006378167,32,1.0,1,2026-07-09,True,validate_with_phase115_execute_import
