order_id,strategy_id,execution_profile,order_model,symbol,running_position_units,running_net_pnl_units,running_drawdown_units
1,S01,retail_marketable_default,partial_fill,ADANIPORTS,-0.45,-0.0003135101961581291,0.0
2,S01,retail_marketable_default,market_order,HINDUNILVR,-1.0,0.030596966048079544,0.0
3,S01,retail_marketable_default,marketable_limit_order,HCLTECH,1.0,0.014347075872879807,0.0
4,S01,retail_marketable_default,market_order,AXISBANK,0.0,0.0498778874949972,0.0
5,S01,retail_marketable_default,marketable_limit_order,DRREDDY,2.0,0.011344605936345984,-0.0030024699365338234
6,S01,retail_marketable_default,market_order,MARUTI,1.0,0.030267056719440417,-0.01961083077555678
7,S01,retail_marketable_default,passive_limit_order,BPCL,-0.65,0.005182783711230437,0.0
8,S01,retail_marketable_default,cancel_replace,HDFCBANK,-1.0,0.046304959470960465,0.0
9,S01,retail_marketable_default,marketable_limit_order,ICICIBANK,1.0,0.018727244608246582,0.0
10,S01,retail_marketable_default,passive_limit_order,ITBEES,-1.3,0.012803340031923212,0.0
11,S01,retail_marketable_default,marketable_limit_order,KOTAKBANK,0.0,-0.011309609023770623,-0.030036853632017205
12,S01,retail_marketable_default,market_order,RELIANCE,2.0,0.0019584172955247406,-0.04791947019947246
13,S01,retail_marketable_default,marketable_limit_order,WIPRO,-1.0,-0.0038349419777975492,-0.02256218658604413
14,S01,retail_marketable_default,market_order,TCS,1.0,-0.0033746980233494246,-0.05325258551834662
15,S01,retail_marketable_default,cancel_replace,LT,0.0,0.05680254768319701,0.0
16,S01,retail_marketable_default,market_order,INFY,0.0,0.07624922621412655,0.0
17,S01,retail_marketable_default,marketable_limit_order,RELIANCE,0.0,-0.07958515499900211,-0.09831239960724869
18,S01,retail_marketable_default,market_order,HDFCBANK,-1.0,0.05972379312599713,-0.016525433088129426
19,S01,retail_marketable_default,passive_limit_order,BPCL,-1.9500000000000002,0.00408261572256057,-0.008720724309362642
20,S01,retail_marketable_default,market_order,ULTRACEMCO,-2.0,0.050666172826984476,-0.025583053387142077
21,S01,retail_marketable_default,marketable_limit_order,SBIN,-1.0,-0.1057209434006086,-0.12444818800885518
22,S01,retail_marketable_default,cancel_replace,NESTLEIND,1.0,0.05280383700424582,-0.0039987106789511895
23,S01,retail_marketable_default,marketable_limit_order,KOTAKBANK,0.0,-0.10481550236835087,-0.12354274697659745
24,S01,retail_marketable_default,market_order,KOTAKBANK,-3.0,0.06675385688947609,-0.009495369324650463
25,S01,retail_marketable_default,marketable_limit_order,WIPRO,1.0,-0.07998213048878515,-0.09870937509703173
26,S01,retail_marketable_default,market_order,ULTRACEMCO,-4.0,0.0696709227990825,-0.006578303415044048
27,S01,retail_marketable_default,marketable_limit_order,MARUTI,2.0,-0.06066907144641044,-0.07939631605465702
28,S01,retail_marketable_default,market_order,ONGC,-3.0,0.08654221241253074,0.0
29,S01,retail_marketable_default,partial_fill,ONGC,-0.9,0.014910949581224337,0.0
30,S01,retail_marketable_default,market_order,SBIN,-2.0,0.12082544016916102,0.0
31,S01,retail_marketable_default,marketable_limit_order,SUNPHARMA,1.0,-0.03605240260462987,-0.05477964721287645
32,S01,retail_marketable_default,market_order,RELIANCE,-3.0,0.16655456601092647,0.0
33,S01,retail_marketable_default,marketable_limit_order,SBIN,0.0,-0.024901379712782043,-0.043628624321028625
34,S01,retail_marketable_default,market_order,ULTRACEMCO,-2.0,0.15698482628678853,-0.009569739724137938
35,S01,retail_marketable_default,marketable_limit_order,BHARTIARTL,-1.0,-0.020882180544059974,-0.03960942515230656
36,S01,retail_marketable_default,cancel_replace,DRREDDY,2.0,0.028296303275320855,-0.028506244407876153
37,S01,retail_marketable_default,partial_fill,HINDUNILVR,-0.45,0.0057755431866228606,-0.009135406394601477
38,S01,retail_marketable_default,market_order,ICICIBANK,-1.0,0.22333016481504667,0.0
39,S01,retail_marketable_default,marketable_limit_order,ITBEES,0.0,0.034351828425637054,0.0
40,S01,retail_marketable_default,market_order,M&M,0.0,0.19938821192849776,-0.023941952886548906
41,S01,retail_marketable_default,partial_fill,ONGC,-0.9,0.012758802199055352,-0.0021521473821689858
42,S01,retail_marketable_default,market_order,NESTLEIND,1.0,0.23418854087765,0.0
43,S01,retail_marketable_default,cancel_replace,NIFTYBEES,3.0,0.018647804972551543,-0.038154742710645465
44,S01,retail_marketable_default,market_order,SUNPHARMA,0.0,0.2608784063264559,0.0
45,S01,retail_marketable_default,marketable_limit_order,WIPRO,1.0,0.09308768774021495,0.0
46,S01,retail_marketable_default,rejection_scenario,AXISBANK,0.0,0.0,0.0
47,S01,retail_marketable_default,marketable_limit_order,WIPRO,2.0,0.1347617675834396,0.0
48,S01,retail_marketable_default,market_order,ULTRACEMCO,1.0,0.267341241542096,0.0
49,S01,retail_marketable_default,marketable_limit_order,ULTRACEMCO,3.0,0.1390172142595513,0.0
50,S01,retail_marketable_default,cancel_replace,TECHM,4.0,0.0613643182407991,0.0
51,S01,retail_marketable_default,marketable_limit_order,SBIN,2.0,0.1576279955557471,0.0
52,S01,retail_marketable_default,passive_limit_order,RELIANCE,-2.6,0.01939523420864868,0.0
53,S01,retail_marketable_default,partial_fill,ADANIPORTS,-0.45,0.025340387947892454,0.0
54,S01,retail_marketable_default,market_order,HINDUNILVR,2.0,0.2818204674642515,0.0
55,S01,retail_marketable_default,passive_limit_order,ITC,-3.25,0.04508270391698677,0.0
