strategy_id,execution_profile,fill_model,queue_position_bucket,trade_dates,orders,breach_days,daily_loss_breach_days,position_limit_breach_days,drawdown_breach_days,daily_halt_days,breach_day_fraction,daily_loss_breach_day_fraction,position_limit_breach_day_fraction,drawdown_breach_day_fraction,daily_halt_day_fraction,worst_daily_risk_adjusted_net_pnl_inr,tail_loss_1pct_filled_pnl_inr,max_intraday_drawdown_inr,max_abs_position_units,risk_severity_score,risk_severity_band,risk_pass_candidate_proxy,risk_evidence_scope,not_acceptance_grade
S03,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,60,283411,45,45,22,44,45,0.75,0.75,0.36666666666666664,0.7333333333333333,0.75,-82169.98908390802,-8987.968860580317,-25883773.33226755,3554.02,2751.9577332267545,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,60,283411,44,44,17,43,44,0.7333333333333333,0.7333333333333333,0.2833333333333333,0.7166666666666667,0.7333333333333333,-80597.43625860073,-5927.151556934391,-15470465.719989896,2098.58,1679.0181719989896,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,stressed_retail,optimistic_marketable,front_or_marketable,63,432377,63,55,63,63,55,1.0,0.873015873015873,1.0,1.0,0.873015873015873,-81087.06173306958,-6771.860532484232,-8471257.71815683,6992.15,1110.6195654664766,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,stressed_retail,neutral_partial,middle_queue_proxy,63,432377,63,54,63,60,54,1.0,0.8571428571428571,1.0,0.9523809523809523,0.8571428571428571,-78967.32308207417,-4939.908940671084,-7256915.624508995,4658.75,941.7237053080423,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,63,166760,63,63,20,63,63,1.0,1.0,0.31746031746031744,1.0,1.0,-79837.07014425717,-8147.206959706952,-7356962.482045282,1813.0,901.9562482045282,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,retail_marketable_default,optimistic_marketable,front_or_marketable,63,436284,63,60,63,63,60,1.0,0.9523809523809523,1.0,1.0,0.9523809523809523,-80296.31894517194,-6993.529752211691,-4876042.4087042725,7061.01,756.4434884894748,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,stressed_retail,optimistic_marketable,front_or_marketable,60,270999,38,29,22,31,29,0.6333333333333333,0.48333333333333334,0.36666666666666664,0.5166666666666667,0.48333333333333334,-77931.31617752751,-6159.564357137921,-6022102.454187624,3341.98,736.5498454187624,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,stressed_retail,pessimistic_partial,back_queue_proxy,63,432377,63,53,63,55,53,1.0,0.8412698412698413,1.0,0.873015873015873,0.8412698412698413,-76591.09032639595,-2819.7949267311574,-5630294.925841199,2471.1,734.514984647612,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,63,166760,63,63,14,63,63,1.0,1.0,0.2222222222222222,1.0,1.0,-79039.08927158795,-5749.40683879972,-5517721.861533961,1359.75,708.9671861533961,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,60,283411,42,42,6,41,42,0.7,0.7,0.1,0.6833333333333333,0.7,-77446.32810751522,-3032.816351684469,-5859015.414705419,961.95,690.140541470542,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,retail_marketable_default,pessimistic_partial,back_queue_proxy,63,436284,63,55,63,57,55,1.0,0.873015873015873,1.0,0.9047619047619048,0.873015873015873,-77140.40019946803,-2909.791313752877,-5019969.108084814,2523.1,676.109704459275,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,retail_marketable_default,neutral_partial,middle_queue_proxy,63,436284,63,60,63,63,60,1.0,0.9523809523809523,1.0,1.0,0.9523809523809523,-79392.47913140777,-5049.40357335567,-3590264.0970662064,4692.99,580.5052573256683,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,stressed_retail,neutral_partial,middle_queue_proxy,60,270999,36,28,18,28,28,0.6,0.4666666666666667,0.3,0.4666666666666667,0.4666666666666667,-77640.61636048697,-4386.586243522265,-4509985.106660825,2163.9,557.609843999416,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,stressed_retail,optimistic_marketable,front_or_marketable,63,158070,47,40,18,41,40,0.746031746031746,0.6349206349206349,0.2857142857142857,0.6507936507936508,0.6349206349206349,-79882.11173517011,-6295.444545242256,-4383531.492633989,1578.0,556.2623556126052,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,60,429202,45,45,5,44,45,0.75,0.75,0.08333333333333333,0.7333333333333333,0.75,-79320.45334872838,-8316.904879250846,-4283945.319405626,1031.3,541.5205319405625,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,59,237064,58,47,44,50,47,0.9830508474576272,0.7966101694915254,0.7457627118644068,0.847457627118644,0.7966101694915254,-80560.24615345575,-6062.10045662101,-3574742.974187814,1456.18,504.7334906391204,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,retail_marketable_default,optimistic_marketable,front_or_marketable,60,414066,37,27,6,37,27,0.6166666666666667,0.45,0.1,0.6166666666666667,0.45,-79165.0422043194,-8582.592706710802,-3978012.382607056,957.22,481.1123049273723,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,stressed_retail,optimistic_marketable,front_or_marketable,60,410666,42,42,6,40,42,0.7,0.7,0.1,0.6666666666666666,0.7,-81715.37579221324,-6464.164921393205,-3741786.2823680886,985.41,478.8868282368088,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,63,166760,62,62,1,62,62,0.9841269841269841,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.9841269841269841,-78412.28114796088,-3173.585520173721,-3310633.1169203767,815.85,474.9993593110853,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,stressed_retail,optimistic_marketable,front_or_marketable,63,870977,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-85647.84978755037,-6749.27132546079,-3018491.7207961213,436.09999999999997,441.8491720796121,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,63,590612,63,36,63,30,36,1.0,0.5714285714285714,1.0,0.47619047619047616,0.5714285714285714,-77125.95870236872,-2574.4514106583147,-2757539.119558872,2523.75,434.8003405273158,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S01,stressed_retail,neutral_partial,middle_queue_proxy,63,158070,45,39,12,40,39,0.7142857142857143,0.6190476190476191,0.19047619047619047,0.6349206349206349,0.6190476190476191,-78550.3240997377,-4541.440236519823,-3285297.776376496,1183.5,434.58073001860197,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,stressed_retail,pessimistic_partial,back_queue_proxy,63,567805,63,57,63,58,57,1.0,0.9047619047619048,1.0,0.9206349206349206,0.9047619047619048,-76793.45016010758,-2651.7398418781486,-2602485.2371501606,2433.75,434.1616189531113,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,retail_marketable_default,pessimistic_partial,back_queue_proxy,63,573028,63,56,63,56,56,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,-78936.69671594375,-2628.7243436213807,-2537684.884940522,2458.2,427.3769329384966,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,63,449765,63,17,63,37,17,1.0,0.2698412698412698,1.0,0.5873015873015873,0.2698412698412698,-79601.1732613325,-6292.798922310233,-1801525.5124831249,7243.04,418.50541474037595,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,stressed_retail,optimistic_marketable,front_or_marketable,63,567805,63,63,63,63,63,1.0,1.0,1.0,1.0,1.0,-81594.38718428362,-6388.193475628093,-1832090.7221014097,5070.56,414.62027221014097,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,stressed_retail,optimistic_marketable,front_or_marketable,59,227842,57,48,44,57,48,0.9661016949152542,0.8135593220338984,0.7457627118644068,0.9661016949152542,0.8135593220338984,-82351.35422242968,-6015.482834735516,-2680834.2155820383,1407.6399999999999,413.5243571514242,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,60,429202,43,42,3,42,42,0.7166666666666667,0.7,0.05,0.7,0.7,-81069.71944762759,-5568.968292290368,-3086594.051191471,743.05,410.18707178581377,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S05,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,63,449765,63,13,63,15,13,1.0,0.20634920634920634,1.0,0.23809523809523808,0.20634920634920634,-77283.51111506509,-2518.3920126116727,-2663663.653645916,2387.55,404.43482568205195,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,63,590612,63,50,63,47,50,1.0,0.7936507936507936,1.0,0.746031746031746,0.7936507936507936,-76988.63693720897,-4520.351365454871,-2027493.3661191459,4015.85,402.74887629445425,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,retail_marketable_default,optimistic_marketable,front_or_marketable,63,573028,63,63,63,63,63,1.0,1.0,1.0,1.0,1.0,-83919.32079900912,-6362.840045793917,-1692670.4578864502,5121.76,401.70224578864503,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,retail_marketable_default,neutral_partial,middle_queue_proxy,63,573028,63,60,63,61,60,1.0,0.9523809523809523,1.0,0.9682539682539683,0.9523809523809523,-77714.676646401,-4603.8232600808415,-1871876.4467715267,3912.04,393.0474922962003,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,stressed_retail,neutral_partial,middle_queue_proxy,63,567805,63,63,63,63,63,1.0,1.0,1.0,1.0,1.0,-77564.32159889182,-4630.990233428473,-1853452.6974204213,3872.99,392.80506974204206,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,stressed_retail,optimistic_marketable,front_or_marketable,63,426101,63,63,36,63,63,1.0,1.0,0.5714285714285714,1.0,1.0,-79285.7250659865,-7049.971960658064,-2283127.0251148567,1504.04,388.3935025114857,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,retail_marketable_default,optimistic_marketable,front_or_marketable,63,879151,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-81240.95110322043,-6902.461742496184,-2390343.2967974255,389.19,379.03432967974254,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S02,stressed_retail,neutral_partial,middle_queue_proxy,63,870977,63,63,0,63,63,1.0,1.0,0.0,1.0,1.0,-77969.794148466,-4899.920643508245,-2244084.3505623,302.05,364.40843505623,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S09,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,63,590612,63,55,63,52,55,1.0,0.873015873015873,1.0,0.8253968253968254,0.873015873015873,-87270.46800278337,-6266.763320043501,-1294546.8876923278,5257.4,358.25348242002644,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S07,stressed_retail,neutral_partial,middle_queue_proxy,59,227842,56,42,44,55,42,0.9491525423728814,0.711864406779661,0.7457627118644068,0.9322033898305084,0.711864406779661,-78344.10990822429,-4196.012743041441,-2107033.6125700716,1097.27,343.1572358332784,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S08,retail_marketable_default,optimistic_marketable,front_or_marketable,63,431798,62,62,42,62,62,0.9841269841269841,0.9841269841269841,0.6666666666666666,0.9841269841269841,0.9841269841269841,-78762.78953106429,-7023.856472175505,-1825582.491884069,1507.14,340.3200968074545,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S03,stressed_retail,pessimistic_partial,back_queue_proxy,60,270999,27,23,10,23,23,0.45,0.38333333333333336,0.16666666666666666,0.38333333333333336,0.38333333333333336,-76699.04394932493,-2573.8131336021806,-2696343.755932779,1163.2,337.0650422599446,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
S04,retail_marketable_default,neutral_partial,middle_queue_proxy,60,414066,31,26,2,29,26,0.5166666666666667,0.43333333333333335,0.03333333333333333,0.48333333333333334,0.43333333333333335,-79434.81051346382,-6015.875494876075,-2699447.68379471,689.28,337.0637017128043,high_proxy_breach_severity,False,phase12_full_run_fill_adjusted_proxy_breach_severity,True
