candidate_id,feature_family_id,base_strategy_id,side,spread_bucket,imbalance_bucket,replenishment_bucket,spread_transition_type,recent_return_bucket,symbols,trade_dates,inferred_touches,signal_rows,baseline_adverse_selection_rate,replenishment_adverse_selection_rate,spread_adverse_direction_rate,mean_replenishment_ratio,mean_spread_change_bps,mean_abs_recent_return_bps,label_quality_score,adverse_selection_gate,replenishment_gate,spread_confirmation_gate,breadth_gate,p118_pre_replay_candidate,failure_reason
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,2560,24400,1.0,1.0,1.0,1.022930882811972,-0.0026181816210124,7.534078829521033,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,1,1,2560,139050,1.0,1.0,1.0,1.022930882811972,-0.0128788529468564,35.771653597519865,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,1,1,2560,7550,1.0,1.0,1.0,1.022930882811972,-0.0014651818306645,4.174782250537896,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R01_0p25_2p5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R01_0p25_2p5bp,1,1,2560,200,1.0,1.0,1.0,1.022930882811972,-0.001187885638722,2.436616745827476,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,2560,24400,1.0,1.0,1.0,1.022930882811972,-0.0026181816210124,7.534078829521033,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,1,1,2560,139050,1.0,1.0,1.0,1.022930882811972,-0.0128788529468564,35.771653597519865,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,1,1,2560,7550,1.0,1.0,1.0,1.022930882811972,-0.0014651818306645,4.174782250537896,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S03_2p5_5bp__I02_0p40_0p60__R03_rebuilt_1p00_1p50__compression__R01_0p25_2p5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,compression,R01_0p25_2p5bp,1,1,2560,200,1.0,1.0,1.0,1.022930882811972,-0.001187885638722,2.436616745827476,1.511465441405986,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S04_gt_5bp__I01_0p30_0p40__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S04_gt_5bp,I01_0p30_0p40,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,2,1,2510,19150,1.0,1.0,1.0,1.0220022607125032,-0.0219110923709285,39.79881677218193,1.5110011303562516,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S04_gt_5bp__I01_0p30_0p40__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S04_gt_5bp,I01_0p30_0p40,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,2,1,2510,1900,1.0,1.0,1.0,1.0220022607125032,-0.0040838645639918,7.4206110371850755,1.5110011303562516,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S04_gt_5bp__I01_0p30_0p40__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S04_gt_5bp,I01_0p30_0p40,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,2,1,2510,400,1.0,1.0,1.0,1.0220022607125032,-0.0019783386699668,3.5517816496882806,1.5110011303562516,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S1__S04_gt_5bp__I01_0p30_0p40__R03_rebuilt_1p00_1p50__compression__R01_0p25_2p5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,1,S04_gt_5bp,I01_0p30_0p40,R03_rebuilt_1p00_1p50,compression,R01_0p25_2p5bp,1,1,2510,200,1.0,1.0,1.0,1.0220022607125032,-0.0014654798478239,2.465890194801037,1.5110011303562516,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S04_gt_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R04_ge_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S04_gt_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R04_ge_10bp,1,1,2600,19150,0.9838709677419356,0.9807692307692308,1.0,1.0174624608171483,-0.0219110923709285,39.79881677218198,1.508731230408574,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S04_gt_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R03_5_10bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S04_gt_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R03_5_10bp,1,1,2600,1900,0.9838709677419356,0.9807692307692308,1.0,1.0174624608171483,-0.0040838645639918,7.420611037185075,1.508731230408574,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
P118_RICHER_PASSIVE_LABEL_COMPOSITE__P68_JOIN_IMBALANCE_REPLENISH__S-1__S04_gt_5bp__I03_0p60_0p80__R03_rebuilt_1p00_1p50__compression__R02_2p5_5bp,P118_RICHER_PASSIVE_LABEL_COMPOSITE,P68_JOIN_IMBALANCE_REPLENISH,-1,S04_gt_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,compression,R02_2p5_5bp,1,1,2600,400,0.9838709677419356,0.9807692307692308,1.0,1.0174624608171483,-0.0019783386699668,3.5517816496882784,1.508731230408574,False,True,True,False,False,adverse_selection_gate_failed|breadth_gate_failed
