shard_index,trade_date,symbol,strategy_id,side,spread_bucket,imbalance_bucket,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,adverse_selection_rate,cost_clearing_rate,mean_after_cost_bps_if_touched,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance
4,2026-01-01,BANKBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,243948,2250,-16.12669853834233,-12.75730664449859,1.0,0.0,-24.39481853834247,-103.34657865822882,-0.24621041141759115,3.4586064260979894,0.32829486725500007
4,2026-01-01,BANKBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,243948,3500,-11.77088681056937,-8.634454048285779,1.0,0.0,-20.03900681056939,-58.43017061937572,-0.2458009012695772,3.458606426097943,0.3282948672549903
8,2026-01-01,CIPLA,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,247916,3600,-19.722409743209507,-11.634273200109568,1.0,0.0,-27.99052974320944,-142.93493057446204,-0.6806425265459826,2.7495395591201,0.5689112394236545
8,2026-01-01,CIPLA,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,247916,2550,-23.76139098321404,-16.387845681120616,1.0,0.0,-32.02951098321399,-164.8844429113494,0.0,2.749539559119913,0.5689112394236591
11,2026-01-01,HCLTECH,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,55468,750,-28.49616411169646,-24.58487828470024,1.0,0.0,-36.76428411169643,-120.19806724702487,-4.41696113073986,2.410635366100863,0.30314541901433256
11,2026-01-01,HCLTECH,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,55468,600,-26.797760258697192,-15.621590014245346,1.0,0.0,-35.06588025869728,-157.5902653101935,-4.4054627738387975,2.4106353661007454,0.3031454190143285
12,2026-01-01,HDFCBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,236012,2400,-26.872192579136286,-12.842905927247795,1.0,0.0,-35.14031257913622,-240.5169319133682,0.0,1.1974263956252673,0.5711840326371025
12,2026-01-01,HDFCBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,236012,3500,-22.541503023096332,-14.268727705113449,0.9714285714285714,0.0,-30.8096230230964,-213.43638525564867,2.220446049250313e-12,1.197426395625234,0.5711840326371158
14,2026-01-01,ICICIBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,249900,2550,-23.9967100358219,-15.293708724364308,1.0,0.0,-32.26483003582197,-294.15836101882473,0.0,1.3936203271837748,0.3676780411771792
14,2026-01-01,ICICIBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,249900,3700,-19.820059650560992,-14.207057489659114,1.0,0.0,-28.08817965056105,-69.87143655673434,-1.1102230246251565e-12,1.3936203271838083,0.3676780411772084
16,2026-01-01,ITBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,245932,3050,-15.50504413162929,-10.825858335909988,1.0,0.0,-23.773164131629283,-78.50985221674934,-1.5379883112898174,3.088492394037424,0.7409319230206135
16,2026-01-01,ITBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,245932,2350,-18.40080593481253,-13.916808411937875,1.0,0.0,-26.668925934812602,-78.52193995381174,-1.5368065160581423,3.088492394037354,0.7409319230205783
17,2026-01-01,ITC,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,245932,2450,-19.734403167357083,-13.231013495635935,1.0,0.0,-28.002523167357086,-196.7987404880589,-0.8731336767675568,1.7541271576305122,0.5099275348140396
17,2026-01-01,ITC,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,245932,3500,-16.346988559525716,-12.265872990272486,1.0,0.0,-24.61510855952579,-76.16879705830692,-0.8727526618967918,1.7541271576304964,0.5099275348140013
18,2026-01-01,JUNIORBEES,P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,247916,2100,-20.18759621112496,-12.914075593484231,1.0,0.0,-28.45571621112497,-194.0877119874729,0.0,3.5559540759282187,0.6972820306922967
18,2026-01-01,JUNIORBEES,P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,247916,3800,-12.600821274330587,-8.282007961842307,1.0,0.0,-20.868941274330574,-106.5420087159219,0.0,3.5559540759281627,0.6972820306923583
23,2026-01-01,NESTLEIND,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,3968,100,-1.3640703860318126,-1.3640703860318126,1.0,0.0,-9.63219038603182,-1.3640703860318126,-1.3640703860318126,2.7277686852146115,0.3999999999999877
23,2026-01-01,NESTLEIND,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,241964,3350,-19.951033056480583,-13.675213675213849,1.0,0.0,-28.2191530564806,-196.23875715453764,0.0,2.7414371455297655,0.41301714737764134
23,2026-01-01,NESTLEIND,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,241964,2450,-23.719289012654052,-16.312104941207384,1.0,0.0,-31.987409012654073,-222.90388548057317,0.0,2.741437145529528,0.41301714737763484
24,2026-01-01,NIFTYBEES,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I03_0p60_0p80,247916,2350,-21.766654022434658,-9.959096567667691,1.0,0.0,-30.03477402243458,-214.7588859605376,-1.426991545075973,1.4327347675029567,0.6214443122278613
24,2026-01-01,NIFTYBEES,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I03_0p60_0p80,247916,3700,-16.136737816289642,-12.324108291308367,1.0,0.0,-24.404857816289642,-114.24083395808692,-1.0710460549812062,1.43273476750294,0.6214443122278931
26,2026-01-01,RELIANCE,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,245932,3450,-20.230519725494545,-15.740948954350298,1.0,0.0,-28.498639725494524,-87.11978971085222,-2.2431583669824118,1.510985058093781,0.44440654301589405
26,2026-01-01,RELIANCE,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,245932,2650,-22.41901718446841,-16.72495058537504,1.0,0.0,-30.68713718446839,-176.4884108468412,0.0,1.510985058093791,0.4444065430158716
28,2026-01-01,SUNPHARMA,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,89196,1450,-17.37303899269385,-16.258510313992282,1.0,0.0,-25.641158992693864,-74.07783246232702,0.0,2.0440211813814244,0.3056387242825266
28,2026-01-01,SUNPHARMA,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,89196,750,-34.16425401436622,-19.26586899209215,1.0,0.0,-42.43237401436618,-179.8212005108557,-1.5291299250730361,2.0440211813814475,0.30563872428252603
31,2026-01-01,ULTRACEMCO,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,5952,100,-13.112082601895994,-13.112082601896002,1.0,0.0,-21.38020260189602,-19.027484143763207,-7.196681060028798,2.5421574442843844,0.39187515091704517
31,2026-01-01,ULTRACEMCO,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,237996,3350,-21.62428594889839,-13.156777862660674,1.0,0.0,-29.89240594889843,-152.47508025004186,-0.422083403680551,2.546099336636881,0.43689941786122916
31,2026-01-01,ULTRACEMCO,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,237996,2500,-25.699683880388438,-12.780673339423675,1.0,0.0,-33.96780388038843,-248.3869607388356,-1.266517499050046,2.5460993366370337,0.43689941786119607
36,2026-02-02,BANKBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,243948,2700,-13.610644293133793,-14.08876832275141,0.9629629629629629,0.0,-21.87876429313383,-29.894258325920966,0.08341535843614523,3.4914840348502443,0.32796024652131567
36,2026-02-02,BANKBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,243948,3100,-11.99664535730228,-7.900142202560412,1.0,0.0,-20.264765357302252,-61.28391029289304,-0.08253072206310108,3.4914840348503713,0.32796024652132727
40,2026-02-02,CIPLA,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,241964,2800,-17.506649961487792,-16.041288882688853,1.0,0.0,-25.774769961487806,-83.93451720310696,0.0,2.7932416166859158,0.5684966521378283
