strategy_id,side,spread_bucket,imbalance_bucket,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,3,1,3,745732,9200,-14.174005327864625,-8.444451885786242,-22.44212532786464,1.0,0.0,-113.66366176526421,0.0,3.622745116461854,0.6974860168292628,0.012336871691170554,False
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I03_0p60_0p80,3,1,3,743748,9400,-15.626971599654572,-12.324108291308367,-23.895091599654563,1.0,0.0,-114.24083395808692,0.0,1.4445840145831,0.6212270626418306,0.012638689448576669,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I03_0p60_0p80,3,1,3,743748,8898,-15.948752508401308,-9.013881377321065,-24.216872508401284,0.9899425287356323,0.0,-214.7588859605376,2.220446049250313e-12,1.444584014583085,0.6212270626418125,0.011963729650365447,False
P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,3,1,3,745732,7649,-16.06420912018951,-8.9197084758047,-24.33232912018949,0.9942669942669943,0.0,-194.0877119874729,0.1280360549538173,3.6227451164620343,0.6974860168292706,0.01025703603975691,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,6,2,3,1477576,18300,-16.63440659851075,-10.70998158984815,-24.902526598510732,1.0,0.0,-196.7987404880589,0.0,1.6500166769799403,0.4768466170910494,0.012385149731722767,False
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,6,2,3,1477576,17650,-17.689008529832837,-14.252622446127017,-25.957128529832872,1.0,0.0,-97.84908321579854,0.0,1.6500166769799751,0.4768466170910433,0.01194524004179819,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,9,3,4,809136,9950,-18.31252049832619,-16.104187088642476,-26.58064049832621,0.9958847736625513,0.0,-58.43017061937572,0.08341535843614523,3.190446661587467,0.37204981612057847,0.012297067489272508,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,4,2,4,977776,11400,-20.632859911817288,-12.429122466981468,-28.90097991181731,1.0,0.0,-156.16147308781802,0.0,3.2201152583522155,0.711102836679072,0.01165911210747656,False
P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,9,3,3,1199816,15700,-20.80884431626403,-16.286125674464525,-29.07696431626404,1.0,0.0,-120.19806724702487,0.0,1.9721276490950161,0.325679886506906,0.013085339752095321,False
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,4,2,4,977776,10900,-21.219972334756605,-12.442578580666442,-29.48809233475655,1.0,0.0,-206.31758679567457,-0.35648082133188375,3.220115258352238,0.7111028366790768,0.011147747541359165,False
P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,9,3,3,1199816,13898,-21.303056405016427,-12.143724551755275,-29.57117640501643,0.9968419695797885,0.0,-294.15836101882473,2.220446049250313e-12,1.9721276490949835,0.32567988650690194,0.011583442794561832,False
P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,3,1,3,721924,9250,-21.44402030021581,-12.758976851570125,-29.712140300215832,1.0,0.0,-240.5169319133682,0.0,1.208546268514588,0.5716836677081337,0.012812983084091954,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,13,4,4,2909604,36050,-23.821273290407103,-13.890818169189911,-32.08939329040713,1.0,0.0,-273.79886601014647,0.0,3.2258853663348974,0.4697660011041957,0.012390002213359619,False
P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,3,1,3,721924,8800,-24.529124258681353,-14.268727705113449,-32.79724425868135,0.9904761904761905,0.0,-213.43638525564867,2.220446049250313e-12,1.2085462685145538,0.5716836677081222,0.012189648771892886,False
P66_JOIN_IMBALANCE,-1,S04_gt_5bp,I03_0p60_0p80,1,1,1,245932,3100,-28.461114117657267,-21.97175964034681,-36.729234117657285,0.9838709677419355,0.0,-124.3329241099389,0.18700443823904678,5.935867966194686,0.6969981693971294,0.012605110355708082,False
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,13,4,4,2909604,33900,-29.382255541573052,-14.566137199141238,-37.65037554157304,1.0,0.0,-456.8416428728317,0.0,3.2258853663348948,0.46976600110419103,0.01165107004252125,False
P66_FADE_IMBALANCE,1,S04_gt_5bp,I03_0p60_0p80,1,1,1,245932,2550,-32.44410788136752,-23.929274311954572,-40.71222788136728,1.0,0.0,-245.6288234236814,-2.957965423272535,5.935867966194615,0.6969981693971596,0.010368719808727616,False
P66_JOIN_IMBALANCE,1,S04_gt_5bp,I02_0p40_0p60,2,2,1,382828,4000,-33.100676227637585,-25.219846601611806,-41.368796227637624,1.0,0.0,-355.88714518480447,-0.8379420144122296,5.151596250258969,0.4747836798737613,0.010448556531915116,False
