shard_index,trade_date,symbol,strategy_id,transition_type,side,spread_bucket,spread_change_bucket,recent_return_bucket,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,cost_clearing_rate,adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,500,0.0,0.0,-12.015572308112125,0.0,1.0,0.0,0.0,2.164968205408069,-0.0016428320735438096,7.585554264849759,12.015572308112125
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,0.0,-12.020594155367114,0.0,1.0,0.0,0.0,2.168316103578077,0.008340296534755223,38.20968922894967,12.020594155367114
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2500,0.0,-0.0,-12.011555524058764,0.0,1.0,-0.0,-0.0,2.162290349372496,-0.006462721929053829,29.875309718629147,12.011555524058764
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,650,0.0,-0.0,-12.01426252851469,0.0,1.0,-0.0,-0.0,2.164095019009779,0.001554943330806174,7.189602660190593,12.01426252851469
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,500,0.0,-0.0,-12.01557230811209,0.0,1.0,-0.0,-0.0,2.1649682054080674,-0.0016428320735438096,7.5855542648497485,12.01557230811209
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,650,0.0,0.0,-12.014262528514658,0.0,1.0,0.0,0.0,2.164095019009779,0.001554943330806174,7.1896026601905705,12.014262528514658
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,-0.0,-12.020594155367148,0.0,1.0,-0.0,-0.0,2.168316103578078,0.00834029653475521,38.2096892289497,12.020594155367148
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,100,0.0,0.0,-12.036113552687338,0.0,1.0,0.0,0.0,2.1786623684582183,-0.0010686831450847922,4.904394866106499,12.036113552687338
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,100,0.0,-0.0,-12.036113552687338,0.0,1.0,-0.0,-0.0,2.1786623684582183,-0.0010686831450847922,4.904394866106499,12.036113552687338
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2500,0.0,0.0,-12.011555524058759,0.0,1.0,0.0,0.0,2.1622903493724857,-0.006462721929053838,29.875309718629026,12.011555524058759
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,200,0.0,-0.0,-11.005020168412981,0.0,1.0,-0.0,-0.0,1.4912667789419853,0.0013332901757313054,8.939600932600094,11.005020168412981
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,450,0.0,-0.0,-10.993623712873292,0.0,1.0,-0.0,-0.0,1.4836691419155288,-0.0012842810147638427,8.659052886391306,10.993623712873292
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2350,0.0,0.0,-10.994181677656705,0.0,1.0,0.0,0.0,1.4840411184378068,-0.004428258195738752,29.848043942876895,10.994181677656705
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,200,0.0,0.0,-11.005020168413004,0.0,1.0,0.0,0.0,1.4912667789419805,0.0013332901757313054,8.939600932600138,11.005020168413004
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,0.0,-10.995627118759899,0.0,1.0,0.0,0.0,1.485004745839876,0.005196003964443053,34.86533680705453,10.995627118759899
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,450,0.0,0.0,-10.993623712873292,0.0,1.0,0.0,0.0,1.4836691419155295,-0.0012842810147638427,8.659052886391304,10.993623712873292
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,-0.0,-10.995627118759838,0.0,1.0,-0.0,-0.0,1.4850047458398796,0.005196003964443024,34.86533680705466,10.995627118759838
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2350,0.0,-0.0,-10.99418167765668,0.0,1.0,-0.0,-0.0,1.4840411184377917,-0.00442825819573875,29.84804394287693,10.99418167765668
