symbol,strategy_id,transition_type,side,shard_symbol_label_rows,symbols,trade_dates,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,mean_cost_clearing_rate,mean_adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps,label_candidate
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,6,1,4,8150,0.0,0.0,-11.294916404818238,0.0,1.0,0.0,0.0,1.6845309365455001,-0.005714539653884819,31.14404829833316,11.294916404818238,False
GOLDBEES,P69_SPREAD_TRANSITION_FADE,compression,-1,6,1,4,8150,0.0,-0.0,-11.294916404818258,0.0,1.0,-0.0,-0.0,1.6845309365455003,-0.005714539653884809,31.14404829833317,11.294916404818258,False
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,6,1,4,6550,0.0,-0.0,-11.305812602939836,0.0,1.0,-0.0,-0.0,1.6917950686265666,0.003660915075403405,23.496675690146205,11.305812602939836,False
GOLDBEES,P69_SPREAD_TRANSITION_FADE,expansion,1,6,1,4,6550,0.0,0.0,-11.305812602939838,0.0,1.0,0.0,0.0,1.691795068626566,0.0036609150754034,23.496675690146176,11.305812602939838,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,7,1,4,10350,0.0,-0.0,-11.318094247089608,0.0,1.0,-0.0,-0.0,1.6999828313930663,-0.004011143014186625,23.12647123535182,11.318094247089608,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,7,1,4,10350,0.0,0.0,-11.31809424708961,0.0,1.0,0.0,0.0,1.699982831393066,-0.004011143014186625,23.12647123535177,11.31809424708961,False
M&M,P69_SPREAD_TRANSITION_FADE,compression,-1,8,1,4,9950,0.0,-0.0,-11.461222952655405,0.0,1.0,-0.0,-0.0,1.7954019684369378,-0.004048286840207129,20.698821245523096,11.461222952655405,False
M&M,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,8,1,4,9950,0.0,0.0,-11.461222952655408,0.0,1.0,0.0,0.0,1.7954019684369382,-0.004048286840207133,20.69882124552308,11.461222952655408,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,9,1,4,8800,0.0,0.0,-11.463381619332937,0.0,1.0,0.0,0.0,1.7968410795552918,0.003936878914086102,21.64824915266282,11.463381619332937,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,9,1,4,8800,0.0,-0.0,-11.463381619332946,0.0,1.0,-0.0,-0.0,1.7968410795552918,0.003936878914086099,21.648249152662785,11.463381619332946,False
LT,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,8,1,4,8600,0.0,-0.0,-11.493056202761663,0.0,1.0,-0.0,-0.0,1.8166241351744485,0.004891714756476846,23.392742264622843,11.493056202761663,False
LT,P69_SPREAD_TRANSITION_FADE,expansion,1,8,1,4,8600,0.0,0.0,-11.493056202761666,0.0,1.0,0.0,0.0,1.8166241351744499,0.0048917147564768474,23.392742264622896,11.493056202761666,False
RELIANCE,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,8,1,4,10300,0.0,0.0,-11.602038818581088,0.0,1.0,0.0,0.0,1.8892792123873883,-0.004319164449586077,20.899958233277996,11.602038818581088,False
RELIANCE,P69_SPREAD_TRANSITION_FADE,compression,-1,8,1,4,10300,0.0,-0.0,-11.602038818581093,0.0,1.0,-0.0,-0.0,1.889279212387388,-0.004319164449586075,20.899958233277992,11.602038818581093,False
RELIANCE,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,8,1,4,9150,0.0,-0.0,-11.613119957674455,0.0,1.0,-0.0,-0.0,1.896666638449648,0.004652356674138639,22.34330445405724,11.613119957674455,False
RELIANCE,P69_SPREAD_TRANSITION_FADE,expansion,1,8,1,4,9150,0.0,0.0,-11.613119957674465,0.0,1.0,0.0,0.0,1.8966666384496487,0.004652356674138635,22.34330445405725,11.613119957674465,False
ICICIBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,8,1,4,10700,0.0,0.0,-11.641385498859103,0.0,1.0,0.0,0.0,1.9155103325727387,-0.004379849901647189,20.56873760707718,11.641385498859103,False
ICICIBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,8,1,4,10700,0.0,-0.0,-11.641385498859107,0.0,1.0,-0.0,-0.0,1.91551033257274,-0.004379849901647187,20.5687376070772,11.641385498859107,False
