strategy_id,side,spread_bucket,imbalance_bucket,replenishment_bucket,shard_symbol_label_rows,symbols,trade_dates,inferred_touches,mean_replenishment_ratio,median_replenishment_ratio,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,label_candidate
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I03_0p60_0p80,R02_partial_0p50_1p00,5,1,5,3060,0.972801667143024,0.9794520547945206,-10.019625591512682,-6.086696377298195,-18.28774559151268,1.0,0.0,-84.0215953376966,0.0,1.3749476372092682,0.621300333296103,False
P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,5,1,5,2640,0.9728622991616275,0.9743975903614458,-11.051134446216725,-7.698201619296685,-19.319254446216735,1.0,0.0,-133.5984196130091,0.0,3.5093155151594857,0.6977747848088183,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I03_0p60_0p80,R02_partial_0p50_1p00,5,1,5,2660,0.9685700371085423,0.9738309058435841,-11.274118203038883,-5.374764962080003,-19.542238203038895,0.9891891891891891,0.0,-214.7588859605376,2.220446049250313e-12,1.3722224401687595,0.6212169028345906,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R02_partial_0p50_1p00,12,4,5,6840,0.9665898327054617,0.9748008823390042,-11.28800810108774,-6.681113404021222,-19.556128101087747,0.9969135802469137,0.0,-198.49418206707713,2.220446049250313e-12,1.7248938224831816,0.48022642624398887,False
P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I01_0p30_0p40,R02_partial_0p50_1p00,10,3,6,2680,0.9589966205618674,0.9592063711096062,-11.473554431452273,-6.9003873524253745,-19.74167443145227,1.0,0.0,-89.52219077715262,0.0,3.4889468410789477,0.3628232823932125,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I02_0p40_0p60,R02_partial_0p50_1p00,12,4,5,7160,0.969798242938607,0.973855363458153,-13.02095023927536,-6.598119721167306,-21.28907023927536,0.9975490196078431,0.0,-299.0332009293273,2.220446049250313e-12,1.7280917012711547,0.4785591843965819,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,5,1,5,12640,1.005318148673394,1.0,-13.76381031414697,-13.064305414429711,-22.031930314146983,1.0,0.0,-114.24083395808692,0.0,1.37509225638203,0.6213340117250707,False
P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,6,2,6,2880,0.9613030486667041,0.9695675770636523,-14.065861236550006,-7.776072524174893,-22.333981236550013,1.0,0.0,-147.11616859867326,-0.35648082133188375,3.1760701441370074,0.7219565537951761,False
P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,5,1,5,12310,1.0072380748742982,1.0,-14.175510428273762,-9.237938609331087,-22.443630428273817,1.0,0.0,-133.5984196130091,0.0,3.509781042827199,0.6977777359556441,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,5,1,5,11588,1.0073952809552362,1.0,-14.32691882051966,-9.085292728133743,-22.595038820519683,0.9953748006379586,0.0,-214.7588859605376,2.220446049250313e-12,1.3724243538727794,0.6209083032204517,False
P68_FADE_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,6,2,6,3260,0.9612673910131383,0.9708023986293547,-14.424236228810306,-10.79584255215066,-22.692356228810322,1.0,0.0,-123.42648760475416,-1.0633019068539973,3.184152033652689,0.7202657380326011,False
