quarter_profile,seed_ordinal,simulation_seed,initial_engineering_seed,required_for_full_validation
Q-A,1,910001,True,True
Q-A,2,910002,True,True
Q-A,3,910003,True,True
Q-A,4,910004,False,True
Q-A,5,910005,False,True
Q-A,6,910006,False,True
Q-A,7,910007,False,True
Q-A,8,910008,False,True
Q-A,9,910009,False,True
Q-A,10,910010,False,True
Q-B,1,920001,True,True
Q-B,2,920002,True,True
Q-B,3,920003,True,True
Q-B,4,920004,False,True
Q-B,5,920005,False,True
Q-B,6,920006,False,True
Q-B,7,920007,False,True
Q-B,8,920008,False,True
Q-B,9,920009,False,True
Q-B,10,920010,False,True
Q-C,1,930001,True,True
Q-C,2,930002,True,True
Q-C,3,930003,True,True
Q-C,4,930004,False,True
Q-C,5,930005,False,True
Q-C,6,930006,False,True
Q-C,7,930007,False,True
Q-C,8,930008,False,True
Q-C,9,930009,False,True
Q-C,10,930010,False,True
