quarter_profile,window_mode,train_start_day,train_end_day,test_start_day,test_end_day,roll_step_days
Q-A,fixed_20_train_5_test,1,20,21,25,5
Q-A,fixed_20_train_5_test,6,25,26,30,5
Q-A,fixed_20_train_5_test,11,30,31,35,5
Q-A,fixed_20_train_5_test,16,35,36,40,5
Q-A,fixed_20_train_5_test,21,40,41,45,5
Q-A,fixed_20_train_5_test,26,45,46,50,5
Q-A,fixed_20_train_5_test,31,50,51,55,5
Q-A,fixed_20_train_5_test,36,55,56,60,5
Q-A,expanding_train_5_test,1,20,21,25,5
Q-A,expanding_train_5_test,1,25,26,30,5
Q-A,expanding_train_5_test,1,30,31,35,5
Q-A,expanding_train_5_test,1,35,36,40,5
Q-A,expanding_train_5_test,1,40,41,45,5
Q-A,expanding_train_5_test,1,45,46,50,5
Q-A,expanding_train_5_test,1,50,51,55,5
Q-A,expanding_train_5_test,1,55,56,60,5
Q-B,fixed_20_train_5_test,1,20,21,25,5
Q-B,fixed_20_train_5_test,6,25,26,30,5
Q-B,fixed_20_train_5_test,11,30,31,35,5
Q-B,fixed_20_train_5_test,16,35,36,40,5
Q-B,fixed_20_train_5_test,21,40,41,45,5
Q-B,fixed_20_train_5_test,26,45,46,50,5
Q-B,fixed_20_train_5_test,31,50,51,55,5
Q-B,fixed_20_train_5_test,36,55,56,60,5
Q-B,expanding_train_5_test,1,20,21,25,5
Q-B,expanding_train_5_test,1,25,26,30,5
Q-B,expanding_train_5_test,1,30,31,35,5
Q-B,expanding_train_5_test,1,35,36,40,5
Q-B,expanding_train_5_test,1,40,41,45,5
Q-B,expanding_train_5_test,1,45,46,50,5
Q-B,expanding_train_5_test,1,50,51,55,5
Q-B,expanding_train_5_test,1,55,56,60,5
Q-C,fixed_20_train_5_test,1,20,21,25,5
Q-C,fixed_20_train_5_test,6,25,26,30,5
Q-C,fixed_20_train_5_test,11,30,31,35,5
Q-C,fixed_20_train_5_test,16,35,36,40,5
Q-C,fixed_20_train_5_test,21,40,41,45,5
Q-C,fixed_20_train_5_test,26,45,46,50,5
Q-C,fixed_20_train_5_test,31,50,51,55,5
Q-C,fixed_20_train_5_test,36,55,56,60,5
Q-C,expanding_train_5_test,1,20,21,25,5
Q-C,expanding_train_5_test,1,25,26,30,5
Q-C,expanding_train_5_test,1,30,31,35,5
Q-C,expanding_train_5_test,1,35,36,40,5
Q-C,expanding_train_5_test,1,40,41,45,5
Q-C,expanding_train_5_test,1,45,46,50,5
Q-C,expanding_train_5_test,1,50,51,55,5
Q-C,expanding_train_5_test,1,55,56,60,5
