feature_id,definition,required_book_depth_levels,minimum_depth_level,maximum_depth_level,directional_use,candidate_label_targets,forbidden_use,phase132_model_family,strategy_replay_allowed
p131_depth_levels_2_5_ratio_bid,"bid_level_2_quantity / max(sum(bid_level_2_quantity..bid_level_5_quantity), 1)","depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,bid_resilience_context,p129_regime_stability_label;p129_liquidity_opportunity_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_depth_levels_2_5_ratio_ask,"ask_level_2_quantity / max(sum(ask_level_2_quantity..ask_level_5_quantity), 1)","depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,ask_resilience_context,p129_regime_stability_label;p129_liquidity_opportunity_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_cumulative_notional_imbalance_top5,"(sum(bid_level_1_notional..bid_level_5_notional) - sum(ask_level_1_notional..ask_level_5_notional)) / max(total_top5_notional, 1)","depth_level_1,depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,deep_book_pressure_context,p129_liquidity_opportunity_label;p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_book_thinning_event_rate_1s,rolling_1s_count(sum_top5_depth_t < 0.75 * rolling_5s_median_sum_top5_depth),"depth_level_1,depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,liquidity_withdrawal_context,p129_regime_stability_label;p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_level_crossing_hazard_bid,rolling_1s_rate(best_bid_price moves through prior bid_level_2_price or deeper bid levels),"depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,bid_queue_depletion_context,p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_level_crossing_hazard_ask,rolling_1s_rate(best_ask_price moves through prior ask_level_2_price or deeper ask levels),"depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,ask_queue_depletion_context,p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_depth_slope_top5_bid,"linear_slope(level_index, bid_level_1_quantity..bid_level_5_quantity)","depth_level_1,depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,bid_depth_shape_context,p129_regime_stability_label;p129_liquidity_opportunity_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_depth_slope_top5_ask,"linear_slope(level_index, ask_level_1_quantity..ask_level_5_quantity)","depth_level_1,depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,ask_depth_shape_context,p129_regime_stability_label;p129_liquidity_opportunity_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_mean_cancel_intensity_depth_levels_2_5,rolling_mean(abs(delta_depth_level_2..delta_depth_level_5) where price level persists and depth decreases),"depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,passive_fill_realism_context,p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
p131_deep_book_pressure_signed,"signed combination of top5 notional imbalance, bid/ask depth slopes, and depth-levels-2-to-5 cancel-intensity asymmetry","depth_level_2,depth_level_3,depth_level_4,depth_level_5",2,5,deep_book_context_only,p129_regime_stability_label;p129_liquidity_opportunity_label;p129_cost_toxicity_refinement_label,entry_side_or_order_signal,single_feature_threshold;two_feature_threshold_combo,0
