root,trade_date,exchange,symbol,symbol_dir,parquet_files,bytes,first_file,last_file,discovery_status
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ADANIPORTS,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,641,22399798,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-073443_831343-000001.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-100140_507866-020481.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,AXISBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,641,22940648,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-073443_970901-000002.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-100140_620396-020482.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BAJAJ-AUTO,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,641,22287850,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-073444_080201-000003.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-100140_731059-020483.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BANKBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,641,22610326,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-073444_224685-000004.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-100140_848136-020484.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BHARTIARTL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,640,22431492,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-073444_337478-000005.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-100109_725200-020453.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BPCL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,640,22142836,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-073444_450400-000006.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-100109_851351-020454.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BRITANNIA,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,641,22100628,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-073444_559438-000007.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-100140_948824-020485.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,CIPLA,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,640,22175632,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-073444_685953-000008.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-100110_070390-020456.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,DRREDDY,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,641,22216074,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-073444_858308-000009.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-100141_075547-020486.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,GOLDBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,641,22425356,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-073444_976748-000010.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-100141_199842-020487.parquet,ok
