phase,source_path,source_exists,metric,value
phase95,outputs\phase95\real_anchor_panel_acceptance_summary.csv,True,phase95_ready_anchor_days,
phase95,outputs\phase95\real_anchor_panel_acceptance_summary.csv,True,phase95_strategy_replay_unlocked,
phase96,outputs\phase115\subruns\phase96\real_anchor_panel_builder_acceptance_summary.csv,True,phase96_ready_anchor_days,3.0
phase96,outputs\phase115\subruns\phase96\real_anchor_panel_builder_acceptance_summary.csv,True,phase96_max_ready_dates_in_panel,3.0
phase96,outputs\phase115\subruns\phase96\real_anchor_panel_builder_acceptance_summary.csv,True,phase96_strategy_replay_unlocked,0.0
phase110,outputs\phase115\subruns\phase110\phase110_multiday_replay_unlock_acceptance_summary.csv,True,phase110_ready_real_anchor_days,3.0
phase110,outputs\phase115\subruns\phase110\phase110_multiday_replay_unlock_acceptance_summary.csv,True,phase110_required_ready_real_days_min,5.0
phase110,outputs\phase115\subruns\phase110\phase110_multiday_replay_unlock_acceptance_summary.csv,True,phase110_days_needed_for_min,2.0
phase110,outputs\phase115\subruns\phase110\phase110_multiday_replay_unlock_acceptance_summary.csv,True,phase110_replay_unlock_allowed,0.0
phase115,outputs\phase115\phase115_real_panel_refresh_acceptance_summary.csv,True,phase115_phase96_ready_anchor_days,3.0
phase115,outputs\phase115\phase115_real_panel_refresh_acceptance_summary.csv,True,phase115_phase110_ready_real_anchor_days,3.0
phase115,outputs\phase115\phase115_real_panel_refresh_acceptance_summary.csv,True,phase115_phase110_days_needed_for_min,2.0
phase115,outputs\phase115\phase115_real_panel_refresh_acceptance_summary.csv,True,phase115_replay_unlock_allowed,0.0
phase142,outputs\phase142\phase142_local_real_l2_download_verifier_acceptance_summary.csv,True,phase142_ready_date_rows,5.0
phase142,outputs\phase142\phase142_local_real_l2_download_verifier_acceptance_summary.csv,True,phase142_canonical_symbol_partition_rows,96.0
phase142,outputs\phase142\phase142_local_real_l2_download_verifier_acceptance_summary.csv,True,phase142_nested_trade_date_symbol_partition_rows,64.0
phase143,outputs\phase143\phase143_real_l2_two_date_preflight_acceptance_summary.csv,True,phase143_required_date_rows,2.0
phase143,outputs\phase143\phase143_real_l2_two_date_preflight_acceptance_summary.csv,True,phase143_required_dates_satisfied,0.0
phase143,outputs\phase143\phase143_real_l2_two_date_preflight_acceptance_summary.csv,True,phase143_can_run_phase115_import_now,0.0
phase145,outputs\phase145\phase145_real_l2_post_download_refresh_acceptance_summary.csv,True,phase145_failed_steps,0.0
phase145,outputs\phase145\phase145_real_l2_post_download_refresh_acceptance_summary.csv,True,phase145_phase115_import_executed,0.0
phase145,outputs\phase145\phase145_real_l2_post_download_refresh_acceptance_summary.csv,True,phase145_ready_real_anchor_days,3.0
phase145,outputs\phase145\phase145_real_l2_post_download_refresh_acceptance_summary.csv,True,phase145_days_needed_for_min,2.0
phase96,outputs\phase115\subruns\phase96\real_anchor_panel_manifest.csv,True,phase96_manifest_exists,1
