location,root,trade_date,exchange,symbol,symbol_dir,direct_canonical_dir_exists,symbol_dir_exists,nested_trade_date_layout,parquet_files,bytes,first_file,last_file,sample_files_checked,sample_schema_pass,sample_failed_files
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,ADANIPORTS,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS,True,True,False,1579,55060838,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\part-034501_427736-000006.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\part-100459_922852-050494.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,AXISBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK,True,True,False,1579,55290497,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\part-034501_554219-000007.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\part-100500_057541-050495.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,BAJAJ-AUTO,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO,True,True,False,1579,55000795,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\part-034501_687922-000008.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\part-100500_189033-050496.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,BANKBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES,True,True,False,1577,54695905,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\part-034515_256625-000036.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\part-100500_312515-050497.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,BHARTIARTL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL,True,True,False,1578,55406003,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\part-034501_813567-000009.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\part-100500_440202-050498.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,BPCL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BPCL,True,True,False,1579,54466671,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BPCL\part-034501_935674-000010.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BPCL\part-100500_560374-050499.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,BRITANNIA,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BRITANNIA,True,True,False,1579,54448444,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BRITANNIA\part-034502_065410-000011.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BRITANNIA\part-100500_706610-050500.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,CIPLA,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=CIPLA,True,True,False,1579,54661231,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=CIPLA\part-034502_196217-000012.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=CIPLA\part-100500_845851-050501.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,DRREDDY,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=DRREDDY,True,True,False,1578,55865869,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=DRREDDY\part-034502_333833-000013.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=DRREDDY\part-100116_245030-050470.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,GOLDBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=GOLDBEES,True,True,False,1578,54830631,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=GOLDBEES\part-034515_924773-000042.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=GOLDBEES\part-100500_982747-050502.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,HCLTECH,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HCLTECH,True,True,False,1578,55728587,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HCLTECH\part-034502_462491-000014.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HCLTECH\part-100116_495078-050472.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,HDFCBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HDFCBANK,True,True,False,1578,56202239,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HDFCBANK\part-034502_590319-000015.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HDFCBANK\part-100116_612297-050473.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,HINDUNILVR,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HINDUNILVR,True,True,False,1579,54889846,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HINDUNILVR\part-034502_714378-000016.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=HINDUNILVR\part-100501_119585-050503.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,ICICIBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ICICIBANK,True,True,False,1578,55362428,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ICICIBANK\part-034502_837031-000017.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ICICIBANK\part-100116_866685-050475.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,INFY,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=INFY,True,True,False,1578,56296176,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=INFY\part-034502_957663-000018.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=INFY\part-100116_988612-050476.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,ITBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITBEES,True,True,False,1578,54423682,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITBEES\part-034516_587518-000048.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITBEES\part-100501_269037-050504.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,ITC,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITC,True,True,False,1578,55156328,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITC\part-034503_084233-000019.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ITC\part-100117_301894-050478.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,JUNIORBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=JUNIORBEES,True,True,False,1577,55346302,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=JUNIORBEES\part-034516_831123-000050.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=JUNIORBEES\part-100117_423795-050479.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,KOTAKBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=KOTAKBANK,True,True,False,1579,55151161,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=KOTAKBANK\part-034503_210949-000020.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=KOTAKBANK\part-100501_421627-050505.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,LT,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=LT,True,True,False,1579,55048495,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=LT\part-034503_332609-000021.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=LT\part-100501_551617-050506.parquet,2,True,0
scratch,scratch_azcopy_selected\raw_l2,2026-07-10,NSE,M&M,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=M&M,True,True,False,1579,54957791,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=M&M\part-034503_456777-000022.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=M&M\part-100501_679090-050507.parquet,2,True,0
