trade_date,exchange,symbol,parquet_files,bytes,first_file,last_file
2026-07-08,NSE,ADANIPORTS,641,22399798,trade_date=2026-07-08/exchange=NSE/symbol=ADANIPORTS/part-073443_831343-000001.parquet,trade_date=2026-07-08/exchange=NSE/symbol=ADANIPORTS/part-100140_507866-020481.parquet
2026-07-08,NSE,AXISBANK,641,22940648,trade_date=2026-07-08/exchange=NSE/symbol=AXISBANK/part-073443_970901-000002.parquet,trade_date=2026-07-08/exchange=NSE/symbol=AXISBANK/part-100140_620396-020482.parquet
2026-07-08,NSE,BAJAJ-AUTO,641,22287850,trade_date=2026-07-08/exchange=NSE/symbol=BAJAJ-AUTO/part-073444_080201-000003.parquet,trade_date=2026-07-08/exchange=NSE/symbol=BAJAJ-AUTO/part-100140_731059-020483.parquet
2026-07-08,NSE,BANKBEES,641,22610326,trade_date=2026-07-08/exchange=NSE/symbol=BANKBEES/part-073444_224685-000004.parquet,trade_date=2026-07-08/exchange=NSE/symbol=BANKBEES/part-100140_848136-020484.parquet
2026-07-08,NSE,BHARTIARTL,640,22431492,trade_date=2026-07-08/exchange=NSE/symbol=BHARTIARTL/part-073444_337478-000005.parquet,trade_date=2026-07-08/exchange=NSE/symbol=BHARTIARTL/part-100109_725200-020453.parquet
2026-07-08,NSE,BPCL,640,22142836,trade_date=2026-07-08/exchange=NSE/symbol=BPCL/part-073444_450400-000006.parquet,trade_date=2026-07-08/exchange=NSE/symbol=BPCL/part-100109_851351-020454.parquet
2026-07-08,NSE,BRITANNIA,641,22100628,trade_date=2026-07-08/exchange=NSE/symbol=BRITANNIA/part-073444_559438-000007.parquet,trade_date=2026-07-08/exchange=NSE/symbol=BRITANNIA/part-100140_948824-020485.parquet
2026-07-08,NSE,CIPLA,640,22175632,trade_date=2026-07-08/exchange=NSE/symbol=CIPLA/part-073444_685953-000008.parquet,trade_date=2026-07-08/exchange=NSE/symbol=CIPLA/part-100110_070390-020456.parquet
2026-07-08,NSE,DRREDDY,641,22216074,trade_date=2026-07-08/exchange=NSE/symbol=DRREDDY/part-073444_858308-000009.parquet,trade_date=2026-07-08/exchange=NSE/symbol=DRREDDY/part-100141_075547-020486.parquet
2026-07-08,NSE,GOLDBEES,641,22425356,trade_date=2026-07-08/exchange=NSE/symbol=GOLDBEES/part-073444_976748-000010.parquet,trade_date=2026-07-08/exchange=NSE/symbol=GOLDBEES/part-100141_199842-020487.parquet
