symbol,trade_date,metric,phase154_full_partition_value,phase106_sampled_files_value,sampled_to_full_ratio,sample_bias_flag
ADANIPORTS,2026-07-13,median_gap_ms,1000.0,1000.0,1.0,within_band
ADANIPORTS,2026-07-13,p90_gap_ms,4556.6,439477.0,96.44844840451213,sampled_high_vs_full
ADANIPORTS,2026-07-13,p95_gap_ms,5500.0,451864.4,82.15716363636363,sampled_high_vs_full
ADANIPORTS,2026-07-13,gap_le_1s_fraction,0.5463449765934462,0.5411764705882353,0.990539848947752,within_band
AXISBANK,2026-07-13,median_gap_ms,749.0,750.0,1.0013351134846462,within_band
AXISBANK,2026-07-13,p90_gap_ms,3877.2999999999993,305452.6999999952,78.77974363603415,sampled_high_vs_full
AXISBANK,2026-07-13,p95_gap_ms,4913.649999999998,450681.35,91.72027922216685,sampled_high_vs_full
AXISBANK,2026-07-13,gap_le_1s_fraction,0.6974546646274853,0.6210526315789474,0.8904559150244631,within_band
BAJAJ-AUTO,2026-07-13,median_gap_ms,741.0,500.0,0.6747638326585695,within_band
BAJAJ-AUTO,2026-07-13,p90_gap_ms,1251.0,1250.0,0.9992006394884093,within_band
BAJAJ-AUTO,2026-07-13,p95_gap_ms,4410.049999999999,439771.0,99.72018457840616,sampled_high_vs_full
BAJAJ-AUTO,2026-07-13,gap_le_1s_fraction,0.826491646778043,0.847001223990208,1.0248152262543955,within_band
BANKBEES,2026-07-13,median_gap_ms,1000.0,1000.0,1.0,within_band
BANKBEES,2026-07-13,p90_gap_ms,3909.600000000002,2351.600000000022,0.6014937589523278,within_band
BANKBEES,2026-07-13,p95_gap_ms,4833.0,446694.50000000006,92.42592592592594,sampled_high_vs_full
BANKBEES,2026-07-13,gap_le_1s_fraction,0.734020618556701,0.7419354838709677,1.0107828923523017,within_band
BHARTIARTL,2026-07-13,median_gap_ms,749.0,750.0,1.0013351134846462,within_band
BHARTIARTL,2026-07-13,p90_gap_ms,3250.0,3949.100000000017,1.2151076923076976,within_band
BHARTIARTL,2026-07-13,p95_gap_ms,4762.399999999994,449394.95,94.36312573492368,sampled_high_vs_full
BHARTIARTL,2026-07-13,gap_le_1s_fraction,0.7087785674114219,0.6758747697974218,0.9535767598981297,within_band
BPCL,2026-07-13,median_gap_ms,1602.0,1750.0,1.0923845193508115,within_band
BPCL,2026-07-13,p90_gap_ms,5239.400000000003,448824.0,85.6632438828873,sampled_high_vs_full
BPCL,2026-07-13,p95_gap_ms,6081.699999999999,454185.75,74.68072249535493,sampled_high_vs_full
BPCL,2026-07-13,gap_le_1s_fraction,0.3921183188243003,0.3745928338762215,0.9553056205060095,within_band
BRITANNIA,2026-07-13,median_gap_ms,2000.0,1750.0,0.875,within_band
BRITANNIA,2026-07-13,p90_gap_ms,5923.0,450022.8,75.97886206314368,sampled_high_vs_full
BRITANNIA,2026-07-13,p95_gap_ms,7000.799999999999,455515.4,65.06619243515028,sampled_high_vs_full
BRITANNIA,2026-07-13,gap_le_1s_fraction,0.3456891495601173,0.4051094890510949,1.1718895127792954,within_band
CIPLA,2026-07-13,median_gap_ms,1194.0,1500.0,1.256281407035176,within_band
CIPLA,2026-07-13,p90_gap_ms,5000.0,447131.6,89.42631999999999,sampled_high_vs_full
CIPLA,2026-07-13,p95_gap_ms,5953.9,453908.4,76.23715547792204,sampled_high_vs_full
CIPLA,2026-07-13,gap_le_1s_fraction,0.47594958415502014,0.4179566563467492,0.8781532125692914,within_band
DRREDDY,2026-07-13,median_gap_ms,1250.0,1749.0,1.3992,within_band
