symbol,rows,trade_dates,median_gap_ms,p90_gap_ms,p95_gap_ms,gap_le_1s_fraction
ADANIPORTS,526144,22,500.0,500.0,5500.0,0.9225084676177768
AXISBANK,526400,22,500.0,500.0,4381.0,0.9225803510025115
BAJAJ-AUTO,526144,22,500.0,500.0,5939.0,0.9223069934349828
BANKBEES,525824,22,500.0,500.0,4450.0,0.9226020441154655
BHARTIARTL,526656,22,500.0,500.0,4762.0,0.9225724127192699
BPCL,526592,22,500.0,500.0,6082.0,0.9223066258996905
BRITANNIA,526592,22,500.0,500.0,7001.0,0.9222876350722601
CIPLA,525824,22,500.0,500.0,5954.0,0.9223015507738654
DRREDDY,525952,22,500.0,500.0,5750.0,0.922329967866446
GOLDBEES,526208,22,500.0,500.0,5250.0,0.9225654046287814
HCLTECH,525952,22,500.0,500.0,5325.0,0.9225733462628106
HDFCBANK,526080,22,500.0,500.0,1250.0,0.9374593675982497
HINDUNILVR,525248,22,500.0,500.0,5859.0,0.9223229619249618
ICICIBANK,526016,22,500.0,500.0,3403.0,0.9223793427301452
INFY,526400,22,500.0,500.0,3922.0,0.9225670525743858
ITBEES,526400,22,500.0,500.0,6911.0,0.9222763869310647
ITC,526528,22,500.0,500.0,4815.0,0.922599172659001
JUNIORBEES,525376,22,500.0,500.0,4511.0,0.9225855328026435
KOTAKBANK,525952,22,500.0,500.0,4051.0,0.9225980643811914
LT,525952,22,500.0,500.0,3367.0,0.9223908124655372
M&M,526528,22,500.0,500.0,4285.0,0.9225782802095323
MARUTI,526656,22,500.0,500.0,4212.0,0.9225933000907651
NESTLEIND,525824,22,500.0,500.0,6232.0,0.922299648917273
NIFTYBEES,526784,22,500.0,500.0,4467.0,0.9225760400332598
ONGC,526016,22,500.0,500.0,5002.0,0.9225789647790659
RELIANCE,525696,22,500.0,500.0,2999.0,0.9224994958852825
SBIN,525760,22,500.0,500.0,4258.0,0.9225850138281806
SUNPHARMA,526080,22,500.0,500.0,5484.0,0.9225351577202514
TCS,526592,22,500.0,500.0,4251.0,0.922608580055833
TECHM,525888,22,500.0,500.0,5806.0,0.9223110069865708
ULTRACEMCO,527168,22,500.0,500.0,6773.0,0.9222890812033099
WIPRO,527296,22,500.0,500.0,5142.0,0.9225734627537105
