symbol,target_median_p95_gap_ms,phase106_synthetic_p95_gap_ms,p95_gap_ms,phase106_to_target_p95_ratio,phase156_to_target_p95_ratio,p95_gap_improved_vs_phase106,p95_contract_band_pass,phase106_synthetic_gap_le_1s_fraction,gap_le_1s_fraction,gap_le_1s_fraction_delta
ADANIPORTS,5500.0,792.0,5500.0,0.144,1.0,1,1,0.991883134130146,0.9225084676177768,-0.06937466651236912
AXISBANK,4380.75,792.0,4381.0,0.1807909604519774,1.000057067853678,1,1,0.9921439344854324,0.9225803510025115,-0.06956358348292091
BAJAJ-AUTO,5939.25,792.0,5939.0,0.1333501704760702,0.9999579071431578,1,1,0.9922228476750856,0.9223069934349828,-0.06991585424010283
BANKBEES,4450.0,792.0,4450.0,0.17797752808988765,1.0,1,1,0.9921269148235494,0.9226020441154655,-0.06952487070808389
BHARTIARTL,4762.399999999994,792.0,4762.0,0.16630270451873025,0.9999160087350928,1,1,0.9922602179981108,0.9225724127192699,-0.06968780527884089
BPCL,6081.699999999999,792.0,6082.0,0.13022674581120414,1.0000493283128074,1,1,0.9920451649891706,0.9223066258996905,-0.06973853908948013
BRITANNIA,7000.799999999999,792.0,7001.0,0.11312992800822765,1.0000285681636385,1,1,0.9919369833613124,0.9222876350722601,-0.06964934828905234
CIPLA,5953.9,792.0,5954.0,0.13302205277213255,1.0000167957137338,1,1,0.992041422318545,0.9223015507738654,-0.06973987154467953
DRREDDY,5750.0,792.0,5750.0,0.13773913043478261,1.0,1,1,0.9921130952380952,0.922329967866446,-0.06978312737164916
GOLDBEES,5250.0,792.0,5250.0,0.15085714285714286,1.0,1,1,0.99214027726138,0.9225654046287814,-0.06957487263259854
HCLTECH,5324.849999999999,792.0,5325.0,0.1487365841291304,1.0000281698076003,1,1,0.9920779324266892,0.9225733462628106,-0.06950458616387856
HDFCBANK,1250.0,792.0,1250.0,0.6336,1.0,1,1,0.9919482520454788,0.9374593675982497,-0.0544888844472291
HINDUNILVR,5859.449999999999,792.0,5859.0,0.13516626987174565,0.9999232009830276,1,1,0.9920834617551094,0.9223229619249618,-0.06976049983014765
ICICIBANK,3403.0,792.0,3403.0,0.23273582133411697,1.0,1,1,0.992150906522501,0.9223793427301452,-0.06977156379235583
INFY,3922.15,792.0,3922.0,0.20193006386803156,0.9999617556697219,1,1,0.992097098107554,0.9225670525743858,-0.06953004553316822
ITBEES,6911.049999999997,792.0,6911.0,0.11459908407550232,0.999992765209339,1,1,0.9920574022939675,0.9222763869310647,-0.06978101536290282
ITC,4815.399999999987,792.0,4815.0,0.1644723179798152,0.9999169331727402,1,1,0.9920466131396164,0.922599172659001,-0.06944744048061535
JUNIORBEES,4511.0,792.0,4511.0,0.17557082686765685,1.0,1,1,0.992121101053884,0.9225855328026435,-0.06953556825124041
KOTAKBANK,4051.2999999999993,792.0,4051.0,0.19549280477871303,0.9999259496951598,1,1,0.9921637588456552,0.9225980643811914,-0.06956569446446381
LT,3367.0,792.0,3367.0,0.23522423522423522,1.0,1,1,0.9920056440126698,0.9223908124655372,-0.06961483154713255
M&M,4285.449999999993,792.0,4285.0,0.18481139670279695,0.9998949935246022,1,1,0.9920272955226418,0.9225782802095323,-0.06944901531310954
MARUTI,4212.0,792.0,4212.0,0.18803418803418803,1.0,1,1,0.9922718729093438,0.9225933000907651,-0.0696785728185787
NESTLEIND,6232.4,792.0,6232.0,0.12707785122906104,0.9999358192670561,1,1,0.9921826855649292,0.922299648917273,-0.06988303664765616
NIFTYBEES,4467.049999999999,792.0,4467.0,0.17729821694406825,0.9999888069307487,1,1,0.9921361440025488,0.9225760400332598,-0.06956010396928902
ONGC,5002.0,792.0,5002.0,0.15833666533386645,1.0,1,1,0.9922236094140148,0.9225789647790659,-0.0696446446349489
RELIANCE,2999.0,792.0,2999.0,0.26408802934311437,1.0,1,1,0.992320506280686,0.9224994958852825,-0.06982101039540356
SBIN,4257.699999999999,792.0,4258.0,0.18601592409047144,1.0000704605773072,1,1,0.9920775115550124,0.9225850138281806,-0.06949249772683186
SUNPHARMA,5483.999999999993,792.0,5484.0,0.14442013129102863,1.0000000000000013,1,1,0.9921039496182072,0.9225351577202514,-0.06956879189795584
TCS,4250.699999999999,792.0,4251.0,0.18632225280542034,1.0000705766109115,1,1,0.9922382757741812,0.922608580055833,-0.0696296957183482
TECHM,5806.099999999999,792.0,5806.0,0.1364082602779835,0.9999827767348135,1,1,0.9920110134266,0.9223110069865708,-0.06970000644002927
ULTRACEMCO,6772.599999999999,792.0,6773.0,0.11694179487936687,1.0000590615125655,1,1,0.9922167832910372,0.9222890812033099,-0.06992770208772736
WIPRO,5142.199999999997,792.0,5142.0,0.1540196802924819,0.9999611061413408,1,1,0.9920477955230854,0.9225734627537105,-0.06947433276937487
