symbol,category,metric,real_value,synthetic_value,synthetic_to_real_ratio,lower_ratio_gate,upper_ratio_gate,calibration_gap,anchor_source,synthetic_source,gate_type,absolute_delta
ADANIPORTS,rewired received tick cadence,median_gap_ms,1000.0,1000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ADANIPORTS,rewired tail received tick cadence,p90_gap_ms,4500.0,4500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ADANIPORTS,rewired tail received tick cadence,p95_gap_ms,5500.0,5500.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
ADANIPORTS,rewired received tick cadence distribution,gap_le_1s_fraction,0.5463449765934462,0.5319925796678336,0.9737301566949473,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.01435239692561252
AXISBANK,rewired received tick cadence,median_gap_ms,501.0,501.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
AXISBANK,rewired tail received tick cadence,p90_gap_ms,2001.0,2001.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
AXISBANK,rewired tail received tick cadence,p95_gap_ms,4380.75,4381.0,1.000057067853678,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
AXISBANK,rewired received tick cadence distribution,gap_le_1s_fraction,0.7732668913967463,0.7511104187485039,0.9713469270509936,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.022156472648242387
BAJAJ-AUTO,rewired received tick cadence,median_gap_ms,1000.0,1000.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BAJAJ-AUTO,rewired tail received tick cadence,p90_gap_ms,4910.5,4910.0,0.9998981773750127,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BAJAJ-AUTO,rewired tail received tick cadence,p95_gap_ms,5939.25,5939.0,0.9999579071431578,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BAJAJ-AUTO,rewired received tick cadence distribution,gap_le_1s_fraction,0.5367063492063492,0.5162813948095689,0.9619438927320619,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.02042495439678027
BANKBEES,rewired received tick cadence,median_gap_ms,999.0,999.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BANKBEES,rewired tail received tick cadence,p90_gap_ms,1255.0,1255.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BANKBEES,rewired tail received tick cadence,p95_gap_ms,4450.0,4450.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BANKBEES,rewired received tick cadence distribution,gap_le_1s_fraction,0.7697158486552196,0.7512352558567674,0.9759903699128193,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.018480592798452156
BHARTIARTL,rewired received tick cadence,median_gap_ms,749.0,749.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BHARTIARTL,rewired tail received tick cadence,p90_gap_ms,3250.0,3250.0,1.0,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BHARTIARTL,rewired tail received tick cadence,p95_gap_ms,4762.399999999994,4762.0,0.9999160087350928,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BHARTIARTL,rewired received tick cadence distribution,gap_le_1s_fraction,0.7087785674114219,0.688369911551476,0.9712058789609261,-0.2,0.2,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,absolute_delta,-0.02040865585994589
BPCL,rewired received tick cadence,median_gap_ms,1635.5,5239.0,3.203301742586365,0.5,2.0,True,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BPCL,rewired tail received tick cadence,p90_gap_ms,5239.400000000003,5239.0,0.9999236553803864,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
BPCL,rewired tail received tick cadence,p95_gap_ms,6081.699999999999,6082.0,1.0000493283128074,0.5,2.0,False,phase154_full_partition_via_phase155_phase157,phase156_symbol_tail_cadence_smoke,ratio,
