strategy_id,probability_bucket,rows,mean_predicted_up_probability,observed_up_fraction,calibration_error_abs,metric_scope
S01,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S01,0.2_0.4,81028,0.3,0.5634348620230044,0.2634348620230044,ternary_signal_probability_bucket_proxy_not_acceptance
S01,0.4_0.6,2064452,0.5,0.4880956302205137,0.011904369779486279,ternary_signal_probability_bucket_proxy_not_acceptance
S01,0.6_0.8,83319,0.7,0.4343907152030149,0.26560928479698503,ternary_signal_probability_bucket_proxy_not_acceptance
S01,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S02,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S02,0.2_0.4,443843,0.3,0.5014498369919093,0.20144983699190927,ternary_signal_probability_bucket_proxy_not_acceptance
S02,0.4_0.6,1339413,0.5,0.4900639309906653,0.009936069009334692,ternary_signal_probability_bucket_proxy_not_acceptance
S02,0.6_0.8,445543,0.7,0.47253351528359777,0.22746648471640218,ternary_signal_probability_bucket_proxy_not_acceptance
S02,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S03,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S03,0.2_0.4,136941,0.3,0.5299435523327565,0.22994355233275648,ternary_signal_probability_bucket_proxy_not_acceptance
S03,0.4_0.6,1948362,0.5,0.4877661338088097,0.012233866191190323,ternary_signal_probability_bucket_proxy_not_acceptance
S03,0.6_0.8,143496,0.7,0.46399202765233877,0.2360079723476612,ternary_signal_probability_bucket_proxy_not_acceptance
S03,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S04,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S04,0.2_0.4,214031,0.3,0.5151169690371955,0.21511696903719552,ternary_signal_probability_bucket_proxy_not_acceptance
S04,0.4_0.6,1803942,0.5,0.4870383859348028,0.012961614065197191,ternary_signal_probability_bucket_proxy_not_acceptance
S04,0.6_0.8,210826,0.7,0.4774411125762477,0.22255888742375224,ternary_signal_probability_bucket_proxy_not_acceptance
S04,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S05,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S05,0.2_0.4,70918,0.3,0.49536083927916746,0.19536083927916748,ternary_signal_probability_bucket_proxy_not_acceptance
S05,0.4_0.6,1783038,0.5,0.49088465865562037,0.009115341344379635,ternary_signal_probability_bucket_proxy_not_acceptance
S05,0.6_0.8,374843,0.7,0.47780270673321895,0.222197293266781,ternary_signal_probability_bucket_proxy_not_acceptance
S05,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S06,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S06,0.2_0.4,16905,0.3,0.5029872818692694,0.20298728186926945,ternary_signal_probability_bucket_proxy_not_acceptance
S06,0.4_0.6,2194990,0.5,0.4885060979776673,0.011493902022332692,ternary_signal_probability_bucket_proxy_not_acceptance
S06,0.6_0.8,16904,0.7,0.5163274964505442,0.18367250354945575,ternary_signal_probability_bucket_proxy_not_acceptance
S06,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S07,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S07,0.2_0.4,144315,0.3,0.4733326404046703,0.17333264040467034,ternary_signal_probability_bucket_proxy_not_acceptance
S07,0.4_0.6,1993830,0.5,0.48988529613858756,0.010114703861412444,ternary_signal_probability_bucket_proxy_not_acceptance
S07,0.6_0.8,90654,0.7,0.49021554481876145,0.2097844551812385,ternary_signal_probability_bucket_proxy_not_acceptance
S07,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S08,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S08,0.2_0.4,221559,0.3,0.47228052121556785,0.17228052121556786,ternary_signal_probability_bucket_proxy_not_acceptance
S08,0.4_0.6,1785902,0.5,0.4913416301678368,0.008658369832163226,ternary_signal_probability_bucket_proxy_not_acceptance
S08,0.6_0.8,221338,0.6999999999999998,0.48509971175306543,0.2149002882469344,ternary_signal_probability_bucket_proxy_not_acceptance
S08,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S09,0.0_0.2,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
S09,0.2_0.4,139502,0.3,0.49425097848059524,0.19425097848059525,ternary_signal_probability_bucket_proxy_not_acceptance
S09,0.4_0.6,1643410,0.5,0.49058056115029114,0.009419438849708861,ternary_signal_probability_bucket_proxy_not_acceptance
S09,0.6_0.8,445887,0.7,0.48066662629769424,0.2193333737023057,ternary_signal_probability_bucket_proxy_not_acceptance
S09,0.8_1.0,0,,,,ternary_signal_probability_bucket_proxy_not_acceptance
