symbol,category,metric,real_value,synthetic_value,synthetic_to_real_ratio,lower_ratio_gate,upper_ratio_gate,calibration_gap
ADANIPORTS,median spread scale,median_spread_bps,2.207261891623943,2.1988442325007918,0.9961863795342571,0.25,4.0,False
ADANIPORTS,tail spread scale,p90_spread_bps,3.8593258401394497,3.302673514209252,0.8557643617077733,0.25,4.0,False
ADANIPORTS,displayed L1 depth scale,median_l1_depth,131.0,790.0,6.030534351145038,0.1,10.0,False
ADANIPORTS,displayed L5 depth scale,median_l5_depth,1088.0,6715.0,6.171875,0.1,10.0,False
ADANIPORTS,L1 imbalance scale,median_abs_l1_imbalance,0.6296296296296297,0.2141280353200883,0.34008570315543435,0.25,4.0,False
ADANIPORTS,one-tick volatility scale,one_tick_return_std,0.0004411553501896,0.00011897354303319442,0.2696862748736061,0.1,10.0,False
AXISBANK,median spread scale,median_spread_bps,1.5143484515790528,1.5150166557147033,1.0004412486009766,0.25,4.0,False
AXISBANK,tail spread scale,p90_spread_bps,3.025947499809846,2.3405865509910972,0.7735053404390467,0.25,4.0,False
AXISBANK,displayed L1 depth scale,median_l1_depth,249.0,790.0,3.1726907630522088,0.1,10.0,False
AXISBANK,displayed L5 depth scale,median_l5_depth,3048.0,6716.0,2.2034120734908136,0.1,10.0,False
AXISBANK,L1 imbalance scale,median_abs_l1_imbalance,0.5495978552278821,0.35,0.6368292682926828,0.25,4.0,False
AXISBANK,one-tick volatility scale,one_tick_return_std,0.0004231706657462,0.00012133681049655441,0.28673256517578927,0.1,10.0,False
BAJAJ-AUTO,median spread scale,median_spread_bps,2.466273707056009,2.915791929087941,1.1822661534872874,0.25,4.0,False
BAJAJ-AUTO,tail spread scale,p90_spread_bps,4.374433608466025,4.379082582199029,1.0010627601534532,0.25,4.0,False
BAJAJ-AUTO,displayed L1 depth scale,median_l1_depth,61.0,52.0,0.8524590163934426,0.1,10.0,False
BAJAJ-AUTO,displayed L5 depth scale,median_l5_depth,366.0,434.0,1.185792349726776,0.1,10.0,False
BAJAJ-AUTO,L1 imbalance scale,median_abs_l1_imbalance,0.5789473684210527,0.6,1.0363636363636364,0.25,4.0,False
BAJAJ-AUTO,one-tick volatility scale,one_tick_return_std,0.0007120099059319,9.734616400145806e-05,0.1367202382866408,0.1,10.0,False
BANKBEES,median spread scale,median_spread_bps,3.3338889814976747,3.665844671710646,1.0995701092793582,0.25,4.0,False
BANKBEES,tail spread scale,p90_spread_bps,5.6550400307047,5.167357370100894,0.9137614131896722,0.25,4.0,False
BANKBEES,displayed L1 depth scale,median_l1_depth,403.0,784.0,1.945409429280397,0.1,10.0,False
BANKBEES,displayed L5 depth scale,median_l5_depth,5262.0,6665.0,1.266628658304827,0.1,10.0,False
BANKBEES,L1 imbalance scale,median_abs_l1_imbalance,0.8080307101727447,0.32792207792207795,0.4058287312520253,0.25,4.0,False
BANKBEES,one-tick volatility scale,one_tick_return_std,0.000217664533879,0.00011741530560847093,0.5394324170135235,0.1,10.0,False
BHARTIARTL,median spread scale,median_spread_bps,2.0929259104232467,1.574844484106956,0.7524606945061325,0.25,4.0,False
BHARTIARTL,tail spread scale,p90_spread_bps,3.1563664413141352,2.1655450947689285,0.6860879859904087,0.25,4.0,False
BHARTIARTL,displayed L1 depth scale,median_l1_depth,415.0,788.0,1.8987951807228916,0.1,10.0,False
BHARTIARTL,displayed L5 depth scale,median_l5_depth,3715.0,6700.0,1.80349932705249,0.1,10.0,False
BHARTIARTL,L1 imbalance scale,median_abs_l1_imbalance,0.5478260869565217,0.3502673796791444,0.6393769629063748,0.25,4.0,False
BHARTIARTL,one-tick volatility scale,one_tick_return_std,0.0004374798903004,0.00011393538060062594,0.2604356980212075,0.1,10.0,False
BPCL,median spread scale,median_spread_bps,1.639209900828174,1.6332930454367272,0.9963904223684487,0.25,4.0,False
BPCL,tail spread scale,p90_spread_bps,4.899959167006198,1.6677228911628872,0.3403544467048775,0.25,4.0,False
BPCL,displayed L1 depth scale,median_l1_depth,2059.0,794.0,0.3856240893637688,0.1,10.0,False
BPCL,displayed L5 depth scale,median_l5_depth,19762.0,6748.0,0.34146341463414637,0.1,10.0,False
BPCL,L1 imbalance scale,median_abs_l1_imbalance,0.6534859521331946,0.35009671179883944,0.5357371656666954,0.25,4.0,False
BPCL,one-tick volatility scale,one_tick_return_std,0.0006153089784578,0.00011722163807706786,0.19050857728562678,0.1,10.0,False
BRITANNIA,median spread scale,median_spread_bps,2.817562808170932,3.733271734395448,1.3250003597325177,0.25,4.0,False
BRITANNIA,tail spread scale,p90_spread_bps,5.59753708368318,4.737506602899828,0.846355554608054,0.25,4.0,False
BRITANNIA,displayed L1 depth scale,median_l1_depth,35.0,41.0,1.1714285714285715,0.1,10.0,False
BRITANNIA,displayed L5 depth scale,median_l5_depth,406.5,345.0,0.8487084870848709,0.1,10.0,False
BRITANNIA,L1 imbalance scale,median_abs_l1_imbalance,0.5420363329108576,0.9487179487179487,1.7502847892559505,0.25,4.0,False
BRITANNIA,one-tick volatility scale,one_tick_return_std,0.0004900395431743,9.146946514024753e-05,0.18665731452556097,0.1,10.0,False
CIPLA,median spread scale,median_spread_bps,2.803869339687814,2.7996696389832367,0.998502176743712,0.25,4.0,False
CIPLA,tail spread scale,p90_spread_bps,4.90069113575094,3.58826779960242,0.7321962760366011,0.25,4.0,False
CIPLA,displayed L1 depth scale,median_l1_depth,136.0,786.0,5.779411764705882,0.1,10.0,False
CIPLA,displayed L5 depth scale,median_l5_depth,1594.0,6680.0,4.190715181932246,0.1,10.0,False
CIPLA,L1 imbalance scale,median_abs_l1_imbalance,0.6756756756756757,0.5686274509803921,0.8415686274509804,0.25,4.0,False
CIPLA,one-tick volatility scale,one_tick_return_std,0.0004395412175018,7.910815514532484e-05,0.17997892346694624,0.1,10.0,False
DRREDDY,median spread scale,median_spread_bps,3.246489732975113,2.4322171483466355,0.7491836871197277,0.25,4.0,False
DRREDDY,tail spread scale,p90_spread_bps,4.86933939295495,3.287256948440122,0.6750930019780889,0.25,4.0,False
DRREDDY,displayed L1 depth scale,median_l1_depth,271.5,786.0,2.8950276243093924,0.1,10.0,False
DRREDDY,displayed L5 depth scale,median_l5_depth,2642.0,6681.0,2.528766086298259,0.1,10.0,False
DRREDDY,L1 imbalance scale,median_abs_l1_imbalance,0.6188312886265104,0.20723684210526316,0.3348842340619576,0.25,4.0,False
DRREDDY,one-tick volatility scale,one_tick_return_std,0.0005422428372631,8.245289970164048e-05,0.15205899282655486,0.1,10.0,False
GOLDBEES,median spread scale,median_spread_bps,0.8570816370263652,0.8558844624438672,0.9986031965558712,0.25,4.0,False
GOLDBEES,tail spread scale,p90_spread_bps,2.56486983285608,0.8812047831800139,0.34356705821548805,0.25,4.0,False
GOLDBEES,displayed L1 depth scale,median_l1_depth,11211.5,10983.0,0.9796191410605182,0.1,10.0,False
GOLDBEES,displayed L5 depth scale,median_l5_depth,95705.5,93360.0,0.9754925265528105,0.1,10.0,False
GOLDBEES,L1 imbalance scale,median_abs_l1_imbalance,0.7474247686637312,0.20235317983568313,0.2707338428153195,0.25,4.0,False
GOLDBEES,one-tick volatility scale,one_tick_return_std,0.0002850981786107,9.846425161963965e-05,0.3453696270507994,0.1,10.0,False
