symbol,rows,trade_dates,median_spread_bps,p90_spread_bps,median_l1_depth,median_l5_depth,median_abs_l1_imbalance,one_tick_return_std
ADANIPORTS,526144,22,2.1988442325007918,3.302673514209252,790.0,6715.0,0.2141280353200883,0.00011897354303319442
AXISBANK,526400,22,1.5150166557147033,2.3405865509910972,790.0,6716.0,0.35,0.00012133681049655441
BAJAJ-AUTO,526144,22,2.915791929087941,4.379082582199029,52.0,434.0,0.6,9.734616400145806e-05
BANKBEES,525824,22,3.665844671710646,5.167357370100894,784.0,6665.0,0.32792207792207795,0.00011741530560847093
BHARTIARTL,526656,22,1.574844484106956,2.1655450947689285,788.0,6700.0,0.3502673796791444,0.00011393538060062594
BPCL,526592,22,1.6332930454367272,1.6677228911628872,794.0,6748.0,0.35009671179883944,0.00011722163807706786
BRITANNIA,526592,22,3.733271734395448,4.737506602899828,41.0,345.0,0.9487179487179487,9.146946514024753e-05
CIPLA,525824,22,2.7996696389832367,3.58826779960242,786.0,6680.0,0.5686274509803921,7.910815514532484e-05
DRREDDY,525952,22,2.4322171483466355,3.287256948440122,786.0,6681.0,0.20723684210526316,8.245289970164048e-05
GOLDBEES,526208,22,0.8558844624438672,0.8812047831800139,10983.0,93360.0,0.20235317983568313,9.846425161963965e-05
HCLTECH,525952,22,2.456504516897308,3.335327581283734,792.0,6732.0,0.29372937293729373,0.0001321874197608833
HDFCBANK,526080,22,1.2219541662102391,1.879451951810567,792.0,6731.0,0.5723684210526315,0.0003265891304197491
HINDUNILVR,525248,22,1.8773481518663713,2.415989988137489,786.0,6681.0,0.35,0.00010466549661106308
ICICIBANK,526016,22,1.4237282102849804,2.1915246436942866,790.0,6714.0,0.3687707641196013,0.00018681711127856678
INFY,526400,22,1.8146309154136604,2.803233997621498,794.0,6749.0,0.75,0.00013526496445805168
ITBEES,526400,22,3.115342438440214,3.215899406667062,189481.0,1610353.0,0.7403360384043891,8.947859201442991e-05
ITC,526528,22,1.7833182702387491,1.817495796132637,13137.0,111651.0,0.5099049128367671,0.00010438989187362632
JUNIORBEES,525376,22,3.6638829578901544,4.536539361867336,784.0,6663.0,0.6977401129943502,0.00011006502555033119
KOTAKBANK,525952,22,2.6337275145519436,4.054972450516557,790.0,6715.0,0.6015831134564644,0.00011446062597503975
LT,525952,22,1.2730947341619059,1.5647666704708676,56.0,472.0,0.4166666666666667,0.0001784140106296853
M&M,526528,22,1.2694312234066962,1.6378554248637918,48.0,414.0,0.1891891891891892,0.00011600581813823359
MARUTI,526656,22,2.915946033128792,3.775429879884699,44.0,368.0,0.5,0.0001134490537063306
NESTLEIND,525824,22,2.787568142973419,3.592199180260147,786.0,6682.0,0.4119318181818182,8.27475161351045e-05
NIFTYBEES,526784,22,1.454077505967006,1.837747480264848,782.0,6647.0,0.6208651399491094,8.975534577309696e-05
ONGC,526016,22,2.020708217815491,2.5024711903005166,792.0,6731.0,0.35,0.00011435282222625433
RELIANCE,525696,22,1.5373617335294405,2.3366851784055593,792.0,6732.0,0.44358974358974357,0.0002091423410994924
SBIN,525760,22,1.9261142570981686,2.9759690499225573,792.0,6730.0,0.35,0.0001184249881269885
SUNPHARMA,526080,22,2.0751637271763856,2.6721392077641672,784.0,6664.0,0.2950391644908616,9.084248254197695e-05
TCS,526592,22,1.8323974744985976,2.3082613829024767,792.0,6733.0,0.3504273504273504,0.00013755710228467838
TECHM,525888,22,3.327083960627288,4.10919500869873,792.0,6732.0,0.49836065573770494,0.00010990590066722567
ULTRACEMCO,527168,22,2.5885108943952266,3.483106931382794,32.0,274.0,0.42857142857142855,9.884176667614893e-05
WIPRO,527296,22,2.241457664748093,2.8819639777548667,792.0,6732.0,0.38526912181303113,0.00011253697723146633
