strategy_id,source_strategy_id,feature_family,feature_status,execution_profile,trade_dates,trades,annual_net_pnl_inr,mean_net_return_per_trade,mean_gross_return_per_trade,mean_cost_return_per_trade,worst_daily_net_pnl_inr,max_drawdown_inr,worst_trade_pnl_inr,positive_day_fraction,annualized_sharpe_proxy,positive_after_costs,risk_proxy_pass,synthetic_replay_candidate
P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,233,9603,-189512.60575493483,-0.00019734729329889367,0.0,0.00019734729329889367,-13555.09872732984,-189505.33234528406,-43.11432822389141,0.0,-6.52240785665774,False,True,False
P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,61,35518,-320466.0153819514,-9.022636842782572e-05,3.32689484968919e-07,9.055905791279468e-05,-45908.266088401775,-317920.60846613115,-1793.0465204637185,0.0,-10.9357117604376,False,False,False
P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,zero_latency_spread_only_control,95,79552,-692233.3569846919,-8.701646180921806e-05,1.0315477992062905e-06,8.804800960842436e-05,-34334.59160991336,-687912.166849858,-741.7067405656221,0.0,-21.181959961674046,False,False,False
P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,225,41762,-809134.0948962015,-0.00019374888532546026,0.0,0.00019374888532546026,-41666.22596128965,-808313.588573531,-51.47101830730537,0.0,-7.803405120034004,False,False,False
P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,retail_marketable_default,233,9417,-1382058.524717131,-0.0014676208184316907,0.0,0.0014676208184316907,-81624.97384562937,-1381949.0232881783,-217.02418467167425,0.0,-7.963649384724547,False,False,False
P164_S06_ABSORPTION_REVERSAL,S06,absorption_exhaustion_reversal,replayable_from_local_l1_l5_book_state,stressed_retail,233,9417,-1894223.3009285512,-0.002011493364052824,0.0,0.002011493364052824,-115444.36387604894,-1894084.2526802963,-318.2528411194571,0.0,-7.720962282501685,False,False,False
P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,55,274177,-3326599.4408064736,-0.00012133036107355707,0.0,0.00012133036107355707,-278691.20931704366,-3250443.081371773,-51.5187493121076,0.0,-13.93731381647125,False,False,False
P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,retail_marketable_default,67,35249,-4043111.5675180214,-0.0011470145443893513,2.778143598641343e-07,0.0011472923587492155,-434670.27464626095,-4007648.6262242096,-1896.156753661216,0.0,-13.050057324972748,False,False,False
P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,240,224845,-4732548.829270101,-0.00021048050120172016,-9.959807801820562e-07,0.00020948452042153805,-334617.37565766263,-4732024.219526583,-755.754953800147,0.0,-6.688537423683661,False,False,False
P164_S05_MICROPRICE_FILTER,S05,microprice_with_depth_filter,replayable_from_local_l1_l5_book_state,stressed_retail,67,35235,-5205779.019890202,-0.0014774454434199524,2.7792474445440246e-07,0.0014777233681644072,-573650.3387165075,-5160656.598422641,-1926.5857868587127,0.0,-12.812154487705792,False,False,False
P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,retail_marketable_default,225,41392,-6033992.167093816,-0.0014577677249453527,0.0,0.0014577677249453527,-275080.2053373341,-6026094.4137258055,-242.09425492191613,0.0,-8.858365983362171,False,False,False
P164_S04_TRADE_FLOW_DEPTH,S04,trade_flow_depth_confirmation,replayable_from_local_l1_l5_book_state,stressed_retail,225,41392,-8258000.124889695,-0.00199507154157559,0.0,0.00199507154157559,-383595.5371622235,-8247531.358876342,-360.0362915365269,0.0,-8.696160405955252,False,False,False
P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,retail_marketable_default,102,79404,-9051875.661414173,-0.0011399772884759182,1.0439180541891267e-06,0.001141021206530107,-426718.54745064315,-8982615.488919754,-847.7555428703012,0.0,-21.021270507304546,False,False,False
P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,211,851193,-10427623.030726682,-0.00012250597726633886,-1.175872815130613e-06,0.00012133010445120825,-329720.5702431694,-10385801.602671226,-1793.0465204637185,0.0,-12.26603262121976,False,False,False
P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,zero_latency_spread_only_control,205,1034938,-11599712.441202361,-0.00011208123038483812,7.010667370202958e-07,0.00011278229712185844,-370150.61243789596,-11574331.27716435,-3251.4382695068766,0.0,-14.896302771328068,False,False,False
P164_S09_QUEUE_IMBALANCE_SCALP,S09,queue_imbalance_scalping_guarded,replayable_from_local_l1_l5_book_state_guarded_not_phase52_dense_id,stressed_retail,102,79384,-11638987.984854298,-0.0014661629528436861,1.0441810588384739e-06,0.001467207133902525,-549309.2676177837,-11551304.748201508,-881.1231451749803,0.0,-20.96469521543594,False,False,False
P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,retail_marketable_default,240,222626,-33529465.208967146,-0.001506089370018195,-1.0064275464377585e-06,0.0015050829424717576,-2084759.4293292994,-33523507.319736604,-896.8463978849745,0.0,-7.706364173596339,False,False,False
P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,retail_marketable_default,55,271703,-33707319.35006407,-0.001240594301500685,0.0,0.001240594301500685,-1818018.915144566,-32793532.52418033,-242.2374479363228,0.0,-16.472378599642152,False,False,False
P164_S03_LIQUIDITY_VACUUM,S03,liquidity_vacuum_breakout,replayable_from_local_l1_l5_book_state,stressed_retail,55,271703,-44372247.19437343,-0.0016331158358344744,0.0,0.0016331158358344744,-2538695.6396409427,-43190079.91896722,-360.274946560538,0.0,-16.289751258323683,False,False,False
P164_S01_MLOFI_BREAKOUT,S01,momentum_breakout_mlofi,replayable_from_local_l1_l5_book_state,stressed_retail,240,222610,-46188739.37768893,-0.0020748726192753694,-1.0064998829938117e-06,0.002073866119392375,-2934671.2058637827,-46180982.268971324,-965.2566419698022,0.0,-7.541742038863167,False,False,False
P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,retail_marketable_default,218,844099,-104826412.43330368,-0.0012418734346718065,-1.1659918871320626e-06,0.0012407074427846743,-3497574.49646878,-104406544.10116898,-1896.156753661216,0.0,-11.663709169673044,False,False,False
P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,retail_marketable_default,217,1026340,-124628331.94950308,-0.0012142986919490928,6.886353212673037e-07,0.0012149873272703602,-3717067.609163419,-124327537.87369575,-3361.8544152783475,0.0,-15.018170641661785,False,False,False
P164_S02_MULTI_LEVEL_OFI,S02,multi_level_order_flow_imbalance,replayable_from_local_l1_l5_book_state,stressed_retail,218,844075,-137964194.736991,-0.0016345016110771078,-1.1660250403533893e-06,0.0016333355860367544,-4575320.749138646,-137410488.1697225,-1926.5857868587127,0.0,-11.703687057725135,False,False,False
P164_S07_IMBALANCE_MEAN_REVERSION,S07,imbalance_mean_reversion,replayable_from_local_l1_l5_book_state,stressed_retail,217,1026316,-163161986.83421844,-0.0015897831353522546,6.886514247361284e-07,0.0015904717867769908,-4902387.57478453,-162771843.83531848,-3399.589361049818,0.0,-14.934704006228113,False,False,False
