trade_date,exchange,symbol,symbol_dir,symbol_dir_exists,parquet_files,bytes,read_status,read_error,schema_pass,missing_receive_flow_columns,rows,first_receive_ms,last_receive_ms,session_rows,session_seconds,median_gap_sec,p90_gap_sec,p95_gap_sec,gaps_le_100ms,gaps_le_500ms,gaps_le_1s,gaps_gt_5s,duplicate_receive_ms,receive_ms_monotonic_violations,l1_state_change_rows,depth_qty_change_rows,active_1s_buckets,duckdb_read_status,duckdb_read_error,first_receive_utc,last_receive_utc,session_tick_rate_per_sec,l1_state_change_fraction,depth_qty_change_fraction,receive_flow_feature_ready
2026-07-08,NSE,ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,True,641,22399798,ok,,True,,5401,1783496075001,1783504900487,5398,8724.99,0.997,4.5,5.75,835,1913,3258,401,216,0,3087,3141,3616,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:40.487000+00:00,0.6186826575159399,0.571560822069987,0.5815589705610072,True
2026-07-08,NSE,AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,True,641,22940648,ok,,True,,11301,1783496075001,1783504873227,11298,8717.991,0.5,1.1505999999999985,3.618,2261,6057,9907,152,724,0,6805,6862,5828,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.295940773510778,0.6021591009645164,0.6072029023980179,True
2026-07-08,NSE,BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,True,641,22287850,ok,,True,,4522,1783496075001,1783504873227,4519,8723.991,1.0,5.046600000000001,6.3047499999999985,611,1245,2382,461,118,0,2508,2726,3322,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.5179968663424802,0.5546218487394958,0.6028306059265811,True
2026-07-08,NSE,BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,True,641,22610326,ok,,True,,9174,1783496075001,1783504882237,9171,8724.99,0.75,1.255,3.9055499999999994,1731,3719,7308,145,369,0,5061,6136,5643,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:22.237000+00:00,1.0511186832305826,0.5516677567037279,0.6688467407891868,True
2026-07-08,NSE,BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,True,640,22431492,ok,,True,,6518,1783496075001,1783504869237,6514,8724.99,0.749,4.0,5.440399999999994,1100,2860,4579,390,300,0,3577,3616,3951,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:09.237000+00:00,0.7465911135714769,0.5487879717704818,0.5547714022706351,True
2026-07-08,NSE,BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,True,640,22142836,ok,,True,,3783,1783496075001,1783504869237,3780,8717.74,1.632,5.505400000000001,6.75,440,990,1567,494,96,0,1917,1950,2851,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:09.237000+00:00,0.4335986161551044,0.5067406819984139,0.5154639175257731,True
2026-07-08,NSE,BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,True,641,22100628,ok,,True,,2381,1783496075001,1783504873227,2378,8718.991,3.746,6.882200000000001,7.546799999999998,126,236,403,674,15,0,1365,1455,2150,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.2727379808053478,0.5732885342293154,0.6110877782444352,True
2026-07-08,NSE,CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,True,640,22175632,ok,,True,,3903,1783496075001,1783504869237,3900,8718.24,1.378,5.501,6.7425,447,995,1709,514,72,0,2024,2111,2952,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:09.237000+00:00,0.44733799482464354,0.5185754547783756,0.5408660005124264,True
2026-07-08,NSE,DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,True,641,22216074,ok,,True,,3783,1783496075001,1783504900487,3781,8724.99,1.5550000000000002,5.6182,6.75,409,878,1525,523,60,0,1853,1928,2934,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:40.487000+00:00,0.4333529322096644,0.48982289188474754,0.5096484271742003,True
2026-07-08,NSE,GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,True,641,22425356,ok,,True,,6577,1783496075001,1783504873227,6574,8724.99,0.75,3.9498,5.2494,1082,2706,4623,362,300,0,3693,3879,4077,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.7534679122841401,0.5615022046525772,0.5897825756423901,True
2026-07-08,NSE,HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,True,641,22176067,ok,,True,,3301,1783496075001,1783504900487,3298,8717.24,2.0,5.9350000000000005,7.0,304,602,977,515,41,0,1563,1572,2705,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:40.487000+00:00,0.37833075606499306,0.4734928809451681,0.4762193274765223,True
2026-07-08,NSE,HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,True,641,23194299,ok,,True,,14131,1783496075001,1783504873227,14127,8724.99,0.5,1.0,1.25,3052,8062,13041,5,1134,0,8332,8332,6815,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.6191422568965697,0.589625645743401,0.589625645743401,True
2026-07-08,NSE,HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,True,641,22359521,ok,,True,,5078,1783496075001,1783504873227,5075,8724.74,1.0,4.7497,5.995699999999999,759,1734,2933,419,201,0,2685,2808,3469,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.5816792248250378,0.5287514769594328,0.5529736116581331,True
2026-07-08,NSE,ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,True,641,22984610,ok,,True,,12547,1783496075001,1783504873227,12543,8724.99,0.5,1.001,3.3978999999999977,2588,7040,11264,78,892,0,7271,7300,6209,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.437594770882259,0.5795010759544114,0.5818123854307803,True
2026-07-08,NSE,INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=INFY,True,641,22736564,ok,,True,,9659,1783496075001,1783504873227,9656,8724.99,0.5,2.2496000000000005,3.9205999999999985,1930,4845,8006,214,658,0,5581,5592,5151,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.1067061394912774,0.5778030852055078,0.5789419194533596,True
2026-07-08,NSE,ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,True,641,22089190,ok,,True,,2703,1783496075001,1783504881737,2700,8723.991,3.001,6.307800000000002,7.215699999999999,181,345,564,567,33,0,1421,1473,2353,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:21.737000+00:00,0.3094913784298952,0.5257121716611173,0.5449500554938956,True
2026-07-08,NSE,ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ITC,True,641,22455233,ok,,True,,7236,1783496075001,1783504873227,7232,8717.24,0.749,3.751,4.795999999999999,1306,3231,5264,312,410,0,3931,3939,4268,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.8296203844336052,0.5432559425096739,0.5443615257048093,True
2026-07-08,NSE,JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,True,641,22568378,ok,,True,,8213,1783496075001,1783504873227,8210,8723.991,0.75,3.3425999999999996,4.208999999999998,1520,3117,6247,198,371,0,4906,5607,5239,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.9410830432997925,0.5973456714964082,0.6826981614513576,True
2026-07-08,NSE,KOTAKBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,True,641,22729760,ok,,True,,9329,1783496075001,1783504873227,9326,8724.99,0.5,3.0,4.05,1792,4825,7772,253,607,0,5304,5307,4943,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.0688837465716294,0.5685496837817559,0.568871261657198,True
2026-07-08,NSE,LT,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=LT,True,641,22958116,ok,,True,,12329,1783496075001,1783504873227,12326,8724.99,0.5,1.001,3.364599999999999,2501,6625,10928,53,785,0,7154,7326,6327,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.4127236822047935,0.5802579284613513,0.5942087760564523,True
2026-07-08,NSE,M&M,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=M&M,True,641,22867747,ok,,True,,11303,1783496075001,1783504873227,11299,8724.99,0.5,1.25,3.5051499999999995,2289,5758,9776,100,725,0,6696,6941,6035,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,1.2950158109063736,0.5924090949305494,0.6140847562594002,True
2026-07-08,NSE,MARUTI,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,True,641,22559567,ok,,True,,8257,1783496075001,1783504873227,8254,8719.49,0.749,3.3648000000000002,4.199599999999993,1483,3656,6322,219,407,0,4852,5143,4916,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.9466149969780343,0.5876226232287756,0.6228654474990917,True
2026-07-08,NSE,NESTLEIND,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,True,641,22225982,ok,,True,,3845,1783496075001,1783504900487,3842,8717.74,1.251,5.527,6.75,444,966,1681,501,74,0,2058,2202,2942,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:40.487000+00:00,0.44071055112907703,0.5352405721716514,0.5726918075422627,True
2026-07-08,NSE,NIFTYBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,True,641,22644435,ok,,True,,9060,1783496075001,1783504881737,9057,8723.991,0.501,2.999,4.0,1731,4411,7262,201,567,0,5028,5175,5014,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:21.737000+00:00,1.038171634977615,0.5549668874172186,0.5711920529801324,True
2026-07-08,NSE,ONGC,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,True,641,22493341,ok,,True,,6752,1783496075001,1783504873227,6750,8724.99,0.75,3.769,5.001,1140,2885,4675,339,315,0,3559,3581,4120,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.7736398551746191,0.5271030805687204,0.5303613744075829,True
2026-07-08,NSE,RELIANCE,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,True,640,23024087,ok,,True,,13283,1783496075001,1783504869237,13280,8724.74,0.5,1.0,2.752199999999968,2807,7422,12091,45,985,0,7813,7820,6546,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:09.237000+00:00,1.5221083952071925,0.5881954377776105,0.5887224271625385,True
2026-07-08,NSE,SBIN,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,True,640,22778539,ok,,True,,10408,1783496075001,1783504869237,10406,8724.99,0.5,1.7574000000000032,3.7257999999999996,2057,5435,8865,161,656,0,5955,6003,5498,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:09.237000+00:00,1.1926661233995683,0.5721560338201384,0.5767678708685626,True
2026-07-08,NSE,SUNPHARMA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,True,641,22318682,ok,,True,,4863,1783496075001,1783504873227,4860,8720.74,1.0,5.0,6.097399999999999,693,1627,2789,471,167,0,2572,2693,3351,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.5572921563995716,0.5288916306806498,0.5537733909109603,True
2026-07-08,NSE,TCS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TCS,True,641,22407965,ok,,True,,6135,1783496075001,1783504873227,6131,8724.99,0.75,4.1912,5.251,998,2412,3982,357,257,0,3275,3304,3902,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.7026942151223096,0.5338223308883455,0.5385493072534637,True
2026-07-08,NSE,TECHM,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=TECHM,True,641,22183936,ok,,True,,3536,1783496075001,1783504873227,3533,8720.49,1.8685,5.75,6.75145,374,755,1312,532,73,0,1727,1760,2801,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.4051377846887044,0.4884049773755656,0.497737556561086,True
2026-07-08,NSE,ULTRACEMCO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO,True,641,22236338,ok,,True,,3957,1783496075001,1783504873227,3954,8720.49,1.25,5.5,6.749,473,956,1833,518,91,0,2098,2313,3042,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.45341488838356564,0.5301996461966136,0.5845337376800607,True
2026-07-08,NSE,WIPRO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO,True,641,22169452,ok,,True,,3162,1783496075001,1783504873227,3159,8719.991,2.2475,6.0,7.0,288,554,905,548,37,0,1476,1479,2624,ok,,2026-07-08 07:34:35.001000+00:00,2026-07-08 10:01:13.227000+00:00,0.3622710161054065,0.4667931688804554,0.46774193548387094,True
2026-07-09,NSE,ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS,True,893,31192035,ok,,True,,8194,1783578354738,1783591304477,8191,12844.241,1.0,4.4411000000000005,5.3115499999999995,1555,2757,4287,528,166,0,3724,3785,5551,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:44.477000+00:00,0.6377177133316013,0.45447888699048083,0.4619233585550403,True
2026-07-09,NSE,AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK,True,892,31570078,ok,,True,,13647,1783578354738,1783591273852,13645,12844.741,0.501,2.001,4.38,3109,6663,10551,310,536,0,7417,7575,7445,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:13.852000+00:00,1.0623024629301596,0.5434894115922914,0.5550670477027918,True
2026-07-09,NSE,BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO,True,892,31020945,ok,,True,,7057,1783578354738,1783591304477,7055,12844.741,1.0,4.9094,5.9230499999999875,1223,2051,3786,636,112,0,3597,4364,5048,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:44.477000+00:00,0.5492520246223727,0.5097066742241746,0.6183930848802607,True
2026-07-09,NSE,BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES,True,894,31580460,ok,,True,,13163,1783578354738,1783591288810,13159,12843.241,0.999,1.25,4.44815,3012,4235,10131,236,167,0,8694,10989,8882,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:28.810000+00:00,1.0245856166679423,0.660487730760465,0.8348400820481653,True
2026-07-09,NSE,BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL,True,892,32238955,ok,,True,,20070,1783578354738,1783591273852,20068,12844.99,0.5,1.0,1.251,5064,11613,18282,120,1160,0,12211,12295,9410,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:13.852000+00:00,1.5623211851468939,0.6084205281514699,0.6126058794220229,True
2026-07-09,NSE,BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BPCL,True,893,30924713,ok,,True,,6272,1783578354738,1783591304477,6269,12844.241,1.749,5.0,5.805,980,1606,2411,621,68,0,2670,2704,4694,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:44.477000+00:00,0.4880786649830068,0.4257015306122449,0.43112244897959184,True
2026-07-09,NSE,BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA,True,892,30916269,ok,,True,,5418,1783578354738,1783591305177,5417,12845.241,1.9955,5.369,6.59,755,1203,1880,690,38,0,2630,2787,4229,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:45.177000+00:00,0.4217126015775025,0.4854189737910668,0.5143964562569213,True
2026-07-09,NSE,CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA,True,892,30907690,ok,,True,,6646,1783578354738,1783591304477,6644,12844.241,1.5,4.887600000000002,5.774,1095,1811,2686,610,69,0,2746,2776,4885,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:44.477000+00:00,0.5172746291509167,0.413180860668071,0.4176948540475474,True
2026-07-09,NSE,DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY,True,892,31896440,ok,,True,,18814,1783578354738,1783591272728,18810,12845.241,0.5,1.001,3.5,4704,10557,16877,163,1038,0,11091,11539,9051,ok,,2026-07-09 06:25:54.738000+00:00,2026-07-09 10:01:12.728000+00:00,1.464355553936279,0.5895078133304986,0.6133198681832678,True
