horizon_sec,trade_date,exchange,symbol,rows,parquet_file,bytes
1,2026-07-08,NSE,ADANIPORTS,3618,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\receive_flow_features.parquet,186589
1,2026-07-08,NSE,AXISBANK,5830,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\receive_flow_features.parquet,305627
1,2026-07-08,NSE,BAJAJ-AUTO,3324,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_features.parquet,157900
1,2026-07-08,NSE,BANKBEES,5646,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\receive_flow_features.parquet,289503
1,2026-07-08,NSE,BHARTIARTL,3953,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\receive_flow_features.parquet,203970
1,2026-07-08,NSE,BPCL,2853,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\receive_flow_features.parquet,145222
1,2026-07-08,NSE,BRITANNIA,2152,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\receive_flow_features.parquet,109413
1,2026-07-08,NSE,CIPLA,2954,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\receive_flow_features.parquet,146748
1,2026-07-08,NSE,DRREDDY,2936,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\receive_flow_features.parquet,148447
1,2026-07-08,NSE,GOLDBEES,4079,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\receive_flow_features.parquet,209397
1,2026-07-08,NSE,HCLTECH,2707,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\receive_flow_features.parquet,137237
1,2026-07-08,NSE,HDFCBANK,6817,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\receive_flow_features.parquet,366160
1,2026-07-08,NSE,HINDUNILVR,3471,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\receive_flow_features.parquet,178167
1,2026-07-08,NSE,ICICIBANK,6211,derived_real_l2_receive_flow_features_phase176\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\receive_flow_features.parquet,325563
