horizon_sec,trade_date,exchange,symbol,split_role,rows,label_available_rows,label_file,bytes
1,2026-07-08,NSE,ADANIPORTS,train,3618,3617,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,114148
1,2026-07-08,NSE,AXISBANK,train,5830,5829,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,180917
1,2026-07-08,NSE,BAJAJ-AUTO,train,3324,3323,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,98981
1,2026-07-08,NSE,BANKBEES,train,5646,5645,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,168662
1,2026-07-08,NSE,BHARTIARTL,train,3953,3952,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,107549
1,2026-07-08,NSE,BPCL,train,2853,2852,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,61776
1,2026-07-08,NSE,BRITANNIA,train,2152,2151,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,53845
1,2026-07-08,NSE,CIPLA,train,2954,2953,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,84320
1,2026-07-08,NSE,DRREDDY,train,2936,2935,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,83793
1,2026-07-08,NSE,GOLDBEES,train,4079,4078,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\receive_flow_labels.parquet,88098
1,2026-07-08,NSE,HCLTECH,train,2707,2706,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\receive_flow_labels.parquet,72366
1,2026-07-08,NSE,HDFCBANK,train,6817,6816,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\receive_flow_labels.parquet,191627
1,2026-07-08,NSE,HINDUNILVR,train,3471,3470,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\receive_flow_labels.parquet,108695
1,2026-07-08,NSE,ICICIBANK,train,6211,6210,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\receive_flow_labels.parquet,155540
1,2026-07-08,NSE,INFY,train,5153,5152,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=INFY\receive_flow_labels.parquet,133457
1,2026-07-08,NSE,ITBEES,train,2356,2355,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\receive_flow_labels.parquet,41651
1,2026-07-08,NSE,ITC,train,4272,4271,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITC\receive_flow_labels.parquet,90191
1,2026-07-08,NSE,JUNIORBEES,train,5242,5241,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\receive_flow_labels.parquet,177377
1,2026-07-08,NSE,KOTAKBANK,train,4945,4944,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\receive_flow_labels.parquet,120162
1,2026-07-08,NSE,LT,train,6329,6328,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=LT\receive_flow_labels.parquet,228992
1,2026-07-08,NSE,M&M,train,6038,6037,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=M&M\receive_flow_labels.parquet,208920
1,2026-07-08,NSE,MARUTI,train,4918,4917,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\receive_flow_labels.parquet,138491
1,2026-07-08,NSE,NESTLEIND,train,2944,2943,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\receive_flow_labels.parquet,81578
1,2026-07-08,NSE,NIFTYBEES,train,5017,5016,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES\receive_flow_labels.parquet,140862
1,2026-07-08,NSE,ONGC,train,4122,4121,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ONGC\receive_flow_labels.parquet,123736
1,2026-07-08,NSE,RELIANCE,train,6548,6547,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE\receive_flow_labels.parquet,161470
1,2026-07-08,NSE,SBIN,train,5500,5499,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SBIN\receive_flow_labels.parquet,147340
1,2026-07-08,NSE,SUNPHARMA,train,3353,3352,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA\receive_flow_labels.parquet,98125
1,2026-07-08,NSE,TCS,train,3905,3904,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TCS\receive_flow_labels.parquet,117575
1,2026-07-08,NSE,TECHM,train,2803,2802,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TECHM\receive_flow_labels.parquet,83016
1,2026-07-08,NSE,ULTRACEMCO,train,3044,3043,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO\receive_flow_labels.parquet,78472
1,2026-07-08,NSE,WIPRO,train,2626,2625,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=WIPRO\receive_flow_labels.parquet,78995
1,2026-07-09,NSE,ADANIPORTS,train,5554,5553,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,144727
1,2026-07-09,NSE,AXISBANK,train,7447,7446,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,170481
1,2026-07-09,NSE,BAJAJ-AUTO,train,5050,5049,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,123211
1,2026-07-09,NSE,BANKBEES,train,8886,8885,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,264789
1,2026-07-09,NSE,BHARTIARTL,train,9412,9411,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,264836
1,2026-07-09,NSE,BPCL,train,4697,4696,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,84369
1,2026-07-09,NSE,BRITANNIA,train,4230,4229,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,95485
1,2026-07-09,NSE,CIPLA,train,4887,4886,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,90286
1,2026-07-09,NSE,DRREDDY,train,9054,9053,derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-09\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,215642
