candidate_id,min_train_net_bps,min_train_edge_over_control_bps,max_decision_rate_observed,total_profile_rows,imbalance_source,min_abs_imbalance,max_spread_bps,min_abs_event_zscore,max_decision_rate,test_replay_allowed_in_phase187,selected_by_phase187_train_only,validation_used_for_selection,test_used_for_selection
P187_TOP5_I85_S2p5_Z1_R100,7.985415742200777,22.537767775608117,0.001657998453152281,2,top5,0.85,2.5,1.0,0.01,0,1,0,0
P187_TOP5_I85_S2p5_Z1_R200,7.985415742200777,0.26919146805384564,0.001657998453152281,2,top5,0.85,2.5,1.0,0.02,0,1,0,0
P187_TOP5_I85_S2p5_Z1_R50,7.985415742200777,0.19917877841015041,0.001657998453152281,2,top5,0.85,2.5,1.0,0.005,0,1,0,0
P187_TOP5_I85_S10p0_Z1_R50,-4.971671773619117,21.812255429604335,0.00341047503045067,2,top5,0.85,10.0,1.0,0.005,0,1,0,0
P187_TOP5_I85_S10p0_Z1_R200,-4.971671773619117,11.003914357579154,0.00341047503045067,2,top5,0.85,10.0,1.0,0.02,0,1,0,0
P187_TOP5_I85_S10p0_Z1_R100,-4.971671773619117,10.962771682803627,0.00341047503045067,2,top5,0.85,10.0,1.0,0.01,0,1,0,0
P187_TOP5_I75_S2p5_Z1_R200,-5.135653301347361,0.2205756008376829,0.00413202854721359,2,top5,0.75,2.5,1.0,0.02,0,1,0,0
P187_TOP5_I75_S2p5_Z1_R50,-5.135653301347361,0.2004033264274332,0.00413202854721359,2,top5,0.75,2.5,1.0,0.005,0,1,0,0
P187_TOP5_I75_S2p5_Z1_R100,-5.135653301347361,0.19383789132427864,0.00413202854721359,2,top5,0.75,2.5,1.0,0.01,0,1,0,0
P187_TOP5_I65_S2p5_Z1_R100,-9.248810071038823,4.972034118003376,0.007725902289241998,2,top5,0.65,2.5,1.0,0.01,0,1,0,0
P187_TOP5_I65_S2p5_Z1_R200,-9.248810071038823,0.2106599369301385,0.007725902289241998,2,top5,0.65,2.5,1.0,0.02,0,1,0,0
P187_TOP5_I85_S5p0_Z1_R200,-10.580654874744937,12.611994983183983,0.002964945837173437,2,top5,0.85,5.0,1.0,0.02,0,1,0,0
