artifact_id,manifest_path,required_fields,present_exact,present_alias_or_inferred,missing_fields,manifest_missing_or_unreadable_fields,exact_regeneration_ready
dashboard,outputs/dashboard/validation_dashboard_manifest.json,10,0,1,9,0,False
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,10,0,1,9,0,False
phase1,outputs/phase1/phase1_manifest.json,10,0,0,0,10,False
phase10,outputs/phase10/storage_manifest.json,10,0,1,9,0,False
phase11,outputs/phase11/strategy_validation_manifest.json,10,0,2,8,0,False
phase12,outputs/phase12/execution_manifest.json,10,1,3,6,0,False
phase12_event_backtest,outputs/phase12/event_backtest_manifest.json,10,0,3,7,0,False
phase13,outputs/phase13/experiment_design_manifest.json,10,0,1,9,0,False
phase13_smoke_run,outputs/phase13/experiment_run_manifest.json,10,0,1,9,0,False
phase14,outputs/phase14/quality_validation_manifest.json,10,0,2,8,0,False
phase15,outputs/phase15/acceptance_gates_manifest.json,10,0,2,8,0,False
phase16,outputs/phase16/metrics_reporting_manifest.json,10,0,2,8,0,False
phase17,outputs/phase17/work_packages_manifest.json,10,0,1,9,0,False
phase18,outputs/phase18/technology_stack_manifest.json,10,0,1,9,0,False
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,10,0,2,8,0,False
phase2,outputs/phase2/calibration_manifest.json,10,0,2,8,0,False
phase3,outputs/phase3/regime_manifest.json,10,0,2,8,0,False
phase4,outputs/phase4/scenario_manifest.json,10,0,2,8,0,False
phase5,outputs/phase5/price_process_manifest.json,10,0,2,8,0,False
phase6,outputs/phase6/l2_book_manifest.json,10,0,2,8,0,False
phase7,outputs/phase7/shock_library_manifest.json,10,0,2,8,0,False
phase8,outputs/phase8/retail_feed_manifest.json,10,0,2,8,0,False
phase9,outputs/phase9/data_product_manifest.json,10,0,1,9,0,False
stage_a1,outputs/stage_a1/manifest_check.json,10,0,0,10,0,False
