artifact_id,source_manifest_path,normalized_manifest_path,source_manifest_exists,required_fields,normalized_fields_present,normalizer_default_fields,source_manifest_exact_or_alias_fields,exact_field_overlay_ready
stage_a1,outputs/stage_a1/manifest_check.json,outputs\phase19\normalized_manifests\stage_a1.normalized_manifest.json,True,10,10,0,10,True
phase1,outputs/phase1/phase1_manifest.json,outputs\phase19\normalized_manifests\phase1.normalized_manifest.json,True,10,10,0,10,True
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,outputs\phase19\normalized_manifests\phase1_event_reconstruction.normalized_manifest.json,True,10,10,0,10,True
stage_a2,outputs/stage_a2/stage_a2_capture_diagnostics_contract_manifest.json,outputs\phase19\normalized_manifests\stage_a2.normalized_manifest.json,True,10,10,0,10,True
stage_b1,outputs/stage_b1/stage_b1_structural_synthetic_proof_manifest.json,outputs\phase19\normalized_manifests\stage_b1.normalized_manifest.json,True,10,10,0,10,True
stage_b2,outputs/stage_b2/stage_b2_event_driven_synthetic_proof_manifest.json,outputs\phase19\normalized_manifests\stage_b2.normalized_manifest.json,True,10,10,0,10,True
stage_c,outputs/stage_c/stage_c_medium_pilot_manifest.json,outputs\phase19\normalized_manifests\stage_c.normalized_manifest.json,True,10,10,0,10,True
stage_d,outputs/stage_d/stage_d_three_month_study_manifest.json,outputs\phase19\normalized_manifests\stage_d.normalized_manifest.json,True,10,10,0,10,True
stage_e,outputs/stage_e/stage_e_full_year_readiness_manifest.json,outputs\phase19\normalized_manifests\stage_e.normalized_manifest.json,True,10,10,0,10,True
phase21,outputs/phase21/phase21_decision_framework_manifest.json,outputs\phase19\normalized_manifests\phase21.normalized_manifest.json,True,10,10,0,10,True
phase22,outputs/phase22/phase22_real_data_integration_manifest.json,outputs\phase19\normalized_manifests\phase22.normalized_manifest.json,True,10,10,0,10,True
phase23,outputs/phase23/phase23_key_risk_register_manifest.json,outputs\phase19\normalized_manifests\phase23.normalized_manifest.json,True,10,10,0,10,True
phase25,outputs/phase25/phase25_event_replay_manifest.json,outputs\phase19\normalized_manifests\phase25.normalized_manifest.json,True,10,10,0,10,True
phase26,outputs/phase26/phase26_strategy_salvage_scan_manifest.json,outputs\phase19\normalized_manifests\phase26.normalized_manifest.json,True,10,10,0,10,True
phase27,outputs/phase27/phase27_feature_edge_scan_manifest.json,outputs\phase19\normalized_manifests\phase27.normalized_manifest.json,True,10,10,0,10,True
phase28,outputs/phase28/phase28_richer_event_label_support_manifest.json,outputs\phase19\normalized_manifests\phase28.normalized_manifest.json,True,10,10,0,10,True
phase29,outputs/phase29/phase29_partial_strategy_proxy_replay_manifest.json,outputs\phase19\normalized_manifests\phase29.normalized_manifest.json,True,10,10,0,10,True
phase30,outputs/phase30/phase30_strategy_decision_triage_manifest.json,outputs\phase19\normalized_manifests\phase30.normalized_manifest.json,True,10,10,0,10,True
phase2,outputs/phase2/calibration_manifest.json,outputs\phase19\normalized_manifests\phase2.normalized_manifest.json,True,10,10,0,10,True
phase3,outputs/phase3/regime_manifest.json,outputs\phase19\normalized_manifests\phase3.normalized_manifest.json,True,10,10,0,10,True
phase4,outputs/phase4/scenario_manifest.json,outputs\phase19\normalized_manifests\phase4.normalized_manifest.json,True,10,10,0,10,True
phase5,outputs/phase5/price_process_manifest.json,outputs\phase19\normalized_manifests\phase5.normalized_manifest.json,True,10,10,0,10,True
phase6,outputs/phase6/l2_book_manifest.json,outputs\phase19\normalized_manifests\phase6.normalized_manifest.json,True,10,10,0,10,True
phase7,outputs/phase7/shock_library_manifest.json,outputs\phase19\normalized_manifests\phase7.normalized_manifest.json,True,10,10,0,10,True
phase8,outputs/phase8/retail_feed_manifest.json,outputs\phase19\normalized_manifests\phase8.normalized_manifest.json,True,10,10,0,10,True
phase9,outputs/phase9/data_product_manifest.json,outputs\phase19\normalized_manifests\phase9.normalized_manifest.json,True,10,10,0,10,True
phase10,outputs/phase10/storage_manifest.json,outputs\phase19\normalized_manifests\phase10.normalized_manifest.json,True,10,10,0,10,True
phase11,outputs/phase11/strategy_validation_manifest.json,outputs\phase19\normalized_manifests\phase11.normalized_manifest.json,True,10,10,0,10,True
phase11_strategy_modules,outputs/phase11/strategy_module_registry_manifest.json,outputs\phase19\normalized_manifests\phase11_strategy_modules.normalized_manifest.json,True,10,10,0,10,True
phase12,outputs/phase12/execution_manifest.json,outputs\phase19\normalized_manifests\phase12.normalized_manifest.json,True,10,10,0,10,True
phase12_event_backtest,outputs/phase12/event_backtest_manifest.json,outputs\phase19\normalized_manifests\phase12_event_backtest.normalized_manifest.json,True,10,10,0,10,True
phase13,outputs/phase13/experiment_design_manifest.json,outputs\phase19\normalized_manifests\phase13.normalized_manifest.json,True,10,10,0,10,True
phase13_smoke_run,outputs/phase13/experiment_run_manifest.json,outputs\phase19\normalized_manifests\phase13_smoke_run.normalized_manifest.json,True,10,10,0,10,True
phase14,outputs/phase14/quality_validation_manifest.json,outputs\phase19\normalized_manifests\phase14.normalized_manifest.json,True,10,10,0,10,True
phase15,outputs/phase15/acceptance_gates_manifest.json,outputs\phase19\normalized_manifests\phase15.normalized_manifest.json,True,10,10,0,10,True
phase16,outputs/phase16/metrics_reporting_manifest.json,outputs\phase19\normalized_manifests\phase16.normalized_manifest.json,True,10,10,0,10,True
phase17,outputs/phase17/work_packages_manifest.json,outputs\phase19\normalized_manifests\phase17.normalized_manifest.json,True,10,10,0,10,True
phase18,outputs/phase18/technology_stack_manifest.json,outputs\phase19\normalized_manifests\phase18.normalized_manifest.json,True,10,10,0,10,True
phase20,outputs/phase20/acceptance_hardening_manifest.json,outputs\phase19\normalized_manifests\phase20.normalized_manifest.json,True,10,10,0,10,True
phase20_m01,outputs/phase20_m01/broker_evidence_contract_manifest.json,outputs\phase19\normalized_manifests\phase20_m01.normalized_manifest.json,True,10,10,0,10,True
