model_id,family,feature_columns,horizon_scope,side_mode,score_quantile,max_spread_bps,max_decision_rate,test_replay_allowed_in_phase196
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S1p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,signed_score,0.975,1.5,0.01,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S2p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,signed_score,0.975,2.5,0.01,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S1p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,signed_score,0.99,1.5,0.01,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S2p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,signed_score,0.99,2.5,0.01,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S1p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,inverse_score,0.975,1.5,0.01,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S2p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,inverse_score,0.975,2.5,0.01,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S1p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,inverse_score,0.99,1.5,0.01,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S2p5,imbalance_event,top5_qty_imbalance;l1_qty_imbalance;receive_event_rate_zscore;top5_x_event_z;l1_x_event_z,1,inverse_score,0.99,2.5,0.01,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S1p5,liquidity_churn,top5_qty_imbalance;quote_churn_log;depth_refresh_log;top5_x_churn;liquidity_tightness,1,signed_score,0.975,1.5,0.01,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S2p5,liquidity_churn,top5_qty_imbalance;quote_churn_log;depth_refresh_log;top5_x_churn;liquidity_tightness,1,signed_score,0.975,2.5,0.01,0
