model_id,source_feature_id,feature_family,feature_columns,horizon_scope,side_mode,score_quantile,max_spread_bps,max_decision_rate,test_replay_allowed_in_phase198
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,signed_score,0.98,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,signed_score,0.98,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,signed_score,0.99,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,signed_score,0.99,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,inverse_score,0.98,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,inverse_score,0.98,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,inverse_score,0.99,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,1,inverse_score,0.99,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,signed_score,0.98,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,signed_score,0.98,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,signed_score,0.99,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,signed_score,0.99,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,inverse_score,0.98,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,inverse_score,0.98,2.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,inverse_score,0.99,1.5,0.01,0
P198_TIME_OF_DAY_CONTEXT_H5_INVERSE_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist;context_spread_x_time,5,inverse_score,0.99,2.5,0.01,0
