model_id,train_rows,feature_weights,feature_means,feature_stds,score_threshold,selection_split,validation_used_for_fit,extension_used_for_fit,test_used_for_fit
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S1p5,284015,seconds_from_open_ist:-0.01208273;time_of_day_sin_ist:0.01091223;time_of_day_cos_ist:-0.01884590;context_spread_x_time:0.00772976,"{""context_spread_x_time"": -0.21327222613407792, ""seconds_from_open_ist"": 14765.153446120803, ""time_of_day_cos_ist"": -0.8659377111269546, ""time_of_day_sin_ist"": -0.3270258434011926}","{""context_spread_x_time"": 0.3031001993822586, ""seconds_from_open_ist"": 5399.422144755761, ""time_of_day_cos_ist"": 0.11471128687932716, ""time_of_day_sin_ist"": 0.3606207132964475}",0.07920334352999142,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S2p5,438053,seconds_from_open_ist:-0.01206908;time_of_day_sin_ist:0.01090493;time_of_day_cos_ist:-0.01920788;context_spread_x_time:0.00912275,"{""context_spread_x_time"": -0.25674911035575765, ""seconds_from_open_ist"": 14505.188586769182, ""time_of_day_cos_ist"": -0.868564177020623, ""time_of_day_sin_ist"": -0.30982494722608955}","{""context_spread_x_time"": 0.4193506633905418, ""seconds_from_open_ist"": 5525.6605318900365, ""time_of_day_cos_ist"": 0.11221024804505664, ""time_of_day_sin_ist"": 0.37015352585988687}",0.0813154748903147,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S1p5,284015,seconds_from_open_ist:-0.01208273;time_of_day_sin_ist:0.01091223;time_of_day_cos_ist:-0.01884590;context_spread_x_time:0.00772976,"{""context_spread_x_time"": -0.21327222613407792, ""seconds_from_open_ist"": 14765.153446120803, ""time_of_day_cos_ist"": -0.8659377111269546, ""time_of_day_sin_ist"": -0.3270258434011926}","{""context_spread_x_time"": 0.3031001993822586, ""seconds_from_open_ist"": 5399.422144755761, ""time_of_day_cos_ist"": 0.11471128687932716, ""time_of_day_sin_ist"": 0.3606207132964475}",0.08337371852022962,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S2p5,438053,seconds_from_open_ist:-0.01206908;time_of_day_sin_ist:0.01090493;time_of_day_cos_ist:-0.01920788;context_spread_x_time:0.00912275,"{""context_spread_x_time"": -0.25674911035575765, ""seconds_from_open_ist"": 14505.188586769182, ""time_of_day_cos_ist"": -0.868564177020623, ""time_of_day_sin_ist"": -0.30982494722608955}","{""context_spread_x_time"": 0.4193506633905418, ""seconds_from_open_ist"": 5525.6605318900365, ""time_of_day_cos_ist"": 0.11221024804505664, ""time_of_day_sin_ist"": 0.37015352585988687}",0.08679393080674044,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S1p5,284015,seconds_from_open_ist:-0.01208273;time_of_day_sin_ist:0.01091223;time_of_day_cos_ist:-0.01884590;context_spread_x_time:0.00772976,"{""context_spread_x_time"": -0.21327222613407792, ""seconds_from_open_ist"": 14765.153446120803, ""time_of_day_cos_ist"": -0.8659377111269546, ""time_of_day_sin_ist"": -0.3270258434011926}","{""context_spread_x_time"": 0.3031001993822586, ""seconds_from_open_ist"": 5399.422144755761, ""time_of_day_cos_ist"": 0.11471128687932716, ""time_of_day_sin_ist"": 0.3606207132964475}",0.07920334352999142,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S2p5,438053,seconds_from_open_ist:-0.01206908;time_of_day_sin_ist:0.01090493;time_of_day_cos_ist:-0.01920788;context_spread_x_time:0.00912275,"{""context_spread_x_time"": -0.25674911035575765, ""seconds_from_open_ist"": 14505.188586769182, ""time_of_day_cos_ist"": -0.868564177020623, ""time_of_day_sin_ist"": -0.30982494722608955}","{""context_spread_x_time"": 0.4193506633905418, ""seconds_from_open_ist"": 5525.6605318900365, ""time_of_day_cos_ist"": 0.11221024804505664, ""time_of_day_sin_ist"": 0.37015352585988687}",0.0813154748903147,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S1p5,284015,seconds_from_open_ist:-0.01208273;time_of_day_sin_ist:0.01091223;time_of_day_cos_ist:-0.01884590;context_spread_x_time:0.00772976,"{""context_spread_x_time"": -0.21327222613407792, ""seconds_from_open_ist"": 14765.153446120803, ""time_of_day_cos_ist"": -0.8659377111269546, ""time_of_day_sin_ist"": -0.3270258434011926}","{""context_spread_x_time"": 0.3031001993822586, ""seconds_from_open_ist"": 5399.422144755761, ""time_of_day_cos_ist"": 0.11471128687932716, ""time_of_day_sin_ist"": 0.3606207132964475}",0.08337371852022962,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S2p5,438053,seconds_from_open_ist:-0.01206908;time_of_day_sin_ist:0.01090493;time_of_day_cos_ist:-0.01920788;context_spread_x_time:0.00912275,"{""context_spread_x_time"": -0.25674911035575765, ""seconds_from_open_ist"": 14505.188586769182, ""time_of_day_cos_ist"": -0.868564177020623, ""time_of_day_sin_ist"": -0.30982494722608955}","{""context_spread_x_time"": 0.4193506633905418, ""seconds_from_open_ist"": 5525.6605318900365, ""time_of_day_cos_ist"": 0.11221024804505664, ""time_of_day_sin_ist"": 0.37015352585988687}",0.08679393080674044,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S1p5,105327,seconds_from_open_ist:-0.01920116;time_of_day_sin_ist:0.01740236;time_of_day_cos_ist:-0.02985021;context_spread_x_time:0.01363949,"{""context_spread_x_time"": -0.19656146203096442, ""seconds_from_open_ist"": 14686.809697418515, ""time_of_day_cos_ist"": -0.8617131233137227, ""time_of_day_sin_ist"": -0.3205939148612702}","{""context_spread_x_time"": 0.29880209946115255, ""seconds_from_open_ist"": 5623.098693423532, ""time_of_day_cos_ist"": 0.1166609060542795, ""time_of_day_sin_ist"": 0.3755799087563498}",0.12559412745631085,train,0,0,0
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S2p5,164806,seconds_from_open_ist:-0.01917466;time_of_day_sin_ist:0.01738590;time_of_day_cos_ist:-0.03043612;context_spread_x_time:0.01585554,"{""context_spread_x_time"": -0.23528815567228367, ""seconds_from_open_ist"": 14390.605530138466, ""time_of_day_cos_ist"": -0.8651642372859022, ""time_of_day_sin_ist"": -0.3010735311228048}","{""context_spread_x_time"": 0.4124336519910286, ""seconds_from_open_ist"": 5740.028388204647, ""time_of_day_cos_ist"": 0.11373809392112623, ""time_of_day_sin_ist"": 0.38458967402926675}",0.12909070580928236,train,0,0,0
