model_id,source_feature_id,feature_family,latency_profile_id,split_bucket,decision_events,decision_rate,dates_with_events,symbols_with_events,net_return_bps_after_cost_proxy_mean,net_edge_over_shuffled_time_bps_mean,net_positive_event_fraction,test_rows_used,promotion_allowed,selection_split
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,5681,0.020002464658556766,3,18,2.002675616351014,7.049117855461812,0.0014082027812004929,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,5681,0.020002464658556766,3,18,-0.1815077880705829,0.0011099785117766907,0.0014082027812004929,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,8762,0.020002145859062716,3,28,3.9731221499341696,2.2952851299366506,0.0018260671079662178,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,8762,0.020002145859062716,3,28,1.6171061013365493,2.2844800920064268,0.0018260671079662178,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,11,12.526341595215596,7.045562465715048,0.0024639211545230554,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,11,10.339818361870636,-0.010015016846187856,0.0024639211545230554,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,4381,0.010001072929531358,3,23,18.465178626089816,9.183450248960657,0.003423875827436658,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_SIGNED_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,4381,0.010001072929531358,3,23,16.078167871120254,4.60722188355402,0.003423875827436658,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,5681,0.020002464658556766,3,18,-26.195516231310325,-0.02489055957144036,0.0001760253476500616,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,5681,0.020002464658556766,3,18,-28.37969963573192,-10.564074363422852,0.0001760253476500616,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,8762,0.020002145859062716,3,28,-30.292266039465318,-9.126952122303546,0.0003423875827436658,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,8762,0.020002145859062716,3,28,-32.64828208806294,-2.3044174182657784,0.00011412919424788861,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,11,-36.77584906585233,-14.081882310182376,0.00035198873636043646,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,11,-38.962372299197284,-7.045415804988129,0.00035198873636043646,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,4381,0.010001072929531358,3,23,-45.48128121809448,-13.698729700031725,0.00045651677699155445,0,0,train
P198_TIME_OF_DAY_CONTEXT_H1_INVERSE_Q990_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,4381,0.010001072929531358,3,23,-47.86829197306404,-4.578398564840074,0.0,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,2107,0.020004367351201497,3,16,25.621906306571038,37.96068515651707,0.004271476032273375,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,2107,0.020004367351201497,3,16,23.16940518896937,18.958304355693702,0.004271476032273375,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,3297,0.020005339611421914,3,25,28.96054164805762,18.222144907724342,0.004852896572641796,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q980_S2p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,3297,0.020005339611421914,3,25,26.246659177989866,12.178799921197207,0.004549590536851683,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_RETAIL_MARKETABLE_DEFAULT,train,1054,0.01000693079647194,3,11,54.083105333976874,37.99954730691795,0.006641366223908918,0,0,train
P198_TIME_OF_DAY_CONTEXT_H5_SIGNED_Q990_S1p5,P197_TIME_OF_DAY_CONTEXT,intraday_time_context,P180_STRESSED_RETAIL,train,1054,0.01000693079647194,3,11,51.75598283436283,37.94249387559541,0.006641366223908918,0,0,train
