quality_id,phase206_feature_id,horizon_sec,feature_available,trade_dates,symbols,total_feature_rows,coverage_pass,missing_required_column_partitions,duplicate_bucket_rows,bucket_monotonic_violations,quality_gate_pass,model_fit_allowed,strategy_replay_allowed,test_replay_allowed_next
P208_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H1s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H5s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H15s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H60s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,60,1,7,32,72139,1,0,0,0,1,0,0,0
P208_P206_DEPTH_REFRESH_INTENSITY_H1s,P206_DEPTH_REFRESH_INTENSITY,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_DEPTH_REFRESH_INTENSITY_H5s,P206_DEPTH_REFRESH_INTENSITY,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_DEPTH_REFRESH_INTENSITY_H15s,P206_DEPTH_REFRESH_INTENSITY,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_DEPTH_REFRESH_INTENSITY_H60s,P206_DEPTH_REFRESH_INTENSITY,60,1,7,32,72139,1,0,0,0,1,0,0,0
P208_P206_QUOTE_CHURN_RATE_H1s,P206_QUOTE_CHURN_RATE,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_QUOTE_CHURN_RATE_H5s,P206_QUOTE_CHURN_RATE,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_QUOTE_CHURN_RATE_H15s,P206_QUOTE_CHURN_RATE,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_QUOTE_CHURN_RATE_H60s,P206_QUOTE_CHURN_RATE,60,1,7,32,72139,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_EVENT_RATE_ZSCORE_H1s,P206_RECEIVE_EVENT_RATE_ZSCORE,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_EVENT_RATE_ZSCORE_H5s,P206_RECEIVE_EVENT_RATE_ZSCORE,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_EVENT_RATE_ZSCORE_H15s,P206_RECEIVE_EVENT_RATE_ZSCORE,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_EVENT_RATE_ZSCORE_H60s,P206_RECEIVE_EVENT_RATE_ZSCORE,60,1,7,32,72139,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_FLOW_REGIME_STATE_H1s,P206_RECEIVE_FLOW_REGIME_STATE,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_FLOW_REGIME_STATE_H5s,P206_RECEIVE_FLOW_REGIME_STATE,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_FLOW_REGIME_STATE_H15s,P206_RECEIVE_FLOW_REGIME_STATE,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_RECEIVE_FLOW_REGIME_STATE_H60s,P206_RECEIVE_FLOW_REGIME_STATE,60,1,7,32,72139,1,0,0,0,1,0,0,0
P208_P206_STALE_QUOTE_DURATION_H1s,P206_STALE_QUOTE_DURATION,1,1,7,32,2165652,1,0,0,0,1,0,0,0
P208_P206_STALE_QUOTE_DURATION_H5s,P206_STALE_QUOTE_DURATION,5,1,7,32,818832,1,0,0,0,1,0,0,0
P208_P206_STALE_QUOTE_DURATION_H15s,P206_STALE_QUOTE_DURATION,15,1,7,32,286633,1,0,0,0,1,0,0,0
P208_P206_STALE_QUOTE_DURATION_H60s,P206_STALE_QUOTE_DURATION,60,1,7,32,72139,1,0,0,0,1,0,0,0
