phase210_model_fit_id,phase209_model_spec_id,target_label,horizon_sec,coefficient_name,coefficient_value,model_fit_execution,strategy_replay_allowed,test_replay_allowed_next
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,intercept,0.1961837223487136,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,cross_symbol_arrival_count,-0.011779010337153997,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,cross_symbol_arrival_share,-0.011779010353422105,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,depth_refresh_count,-0.048505535060411234,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,phase176_universe_symbols,4.091781511553273e-12,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,quote_churn_count,0.02495100686136852,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,receive_event_count,0.03635906683426336,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,receive_event_rate_baseline_days,-0.025638940140738923,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,receive_event_rate_zscore,-0.006046112294517943,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,stale_quote_duration_ms,0.006396540451496715,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,top5_qty_imbalance,0.021510698424136165,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,intercept,0.29795394989432344,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,cross_symbol_arrival_count,-0.006734562177694733,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,cross_symbol_arrival_share,-0.006734562181873695,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,depth_refresh_count,-0.012632076823453967,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,phase176_universe_symbols,2.0805946690565923e-13,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,quote_churn_count,0.039852553399848833,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,receive_event_count,0.011205536528594438,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,receive_event_rate_baseline_days,-0.021034518049819158,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,receive_event_rate_zscore,0.005243796387487279,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,stale_quote_duration_ms,-0.00309275954068127,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,top5_qty_imbalance,0.034582734893557815,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H15s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,15,intercept,0.3936539625566797,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H15s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,15,cross_symbol_arrival_count,-0.005738566582049465,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H15s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,15,cross_symbol_arrival_share,-0.005738566582190117,1,0,0
P210_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H15s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,15,depth_refresh_count,0.0158369002983375,1,0,0
