phase216_exclusion_id,split_role,horizon_sec,label_name,positive_rate,event_surprise_share,exclusion_reason,excluded_from_phase217_design_matrix,threshold_widening_allowed,model_fit_allowed_now,strategy_replay_allowed,test_replay_allowed_next
P216_EXCLUDE_train_H15s_event_surprise_up_conditional_label,train,15,event_surprise_up_conditional_label,0.0085787634062528,0.0190296169652433,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_train_H15s_event_surprise_down_conditional_label,train,15,event_surprise_down_conditional_label,0.0080948700139677,0.0190296169652433,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_train_H60s_event_surprise_up_conditional_label,train,60,event_surprise_up_conditional_label,0.0057207472435269,0.012040557667934,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_train_H60s_event_surprise_down_conditional_label,train,60,event_surprise_down_conditional_label,0.0056791088498436,0.012040557667934,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_train_H60s_event_surprise_vol_expansion_conditional_label,train,60,event_surprise_vol_expansion_conditional_label,0.0084431440062036,0.012040557667934,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_validation_H15s_event_surprise_up_conditional_label,validation,15,event_surprise_up_conditional_label,0.0076148468708388,0.0175807256990679,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_validation_H15s_event_surprise_down_conditional_label,validation,15,event_surprise_down_conditional_label,0.0074692077230359,0.0175807256990679,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_validation_H60s_event_surprise_up_conditional_label,validation,60,event_surprise_up_conditional_label,0.0034022888565946,0.0077950078779334,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_validation_H60s_event_surprise_down_conditional_label,validation,60,event_surprise_down_conditional_label,0.0041458850668773,0.0077950078779334,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
P216_EXCLUDE_validation_H60s_event_surprise_vol_expansion_conditional_label,validation,60,event_surprise_vol_expansion_conditional_label,0.0058052531886675,0.0077950078779334,label_positive_rate_outside_event_surprise_interpretation_band,1,0,0,0,0
