column,required_for_richer_raw_depth,present_in_sample_schema
buy_1_price,1,1
buy_1_quantity,1,1
buy_1_orders,1,1
buy_2_price,1,1
buy_2_quantity,1,1
buy_2_orders,1,1
buy_3_price,1,1
buy_3_quantity,1,1
buy_3_orders,1,1
buy_4_price,1,1
buy_4_quantity,1,1
buy_4_orders,1,1
buy_5_price,1,1
buy_5_quantity,1,1
buy_5_orders,1,1
sell_1_price,1,1
sell_1_quantity,1,1
sell_1_orders,1,1
sell_2_price,1,1
sell_2_quantity,1,1
sell_2_orders,1,1
sell_3_price,1,1
sell_3_quantity,1,1
sell_3_orders,1,1
sell_4_price,1,1
sell_4_quantity,1,1
sell_4_orders,1,1
sell_5_price,1,1
sell_5_quantity,1,1
sell_5_orders,1,1
