symbol,event_bar_rows,trade_dates,source_tick_rows,mean_spread_bps,mean_top5_imbalance,mean_depth_beyond_l1_imbalance
ADANIPORTS,47,1,931,3.2381481254675295,0.12721799014885612,0.1393364994767822
AXISBANK,52,1,1037,2.351168536676201,-0.11407370900332889,-0.09885283438857936
BAJAJ-AUTO,50,1,998,3.1976250727208337,-0.019667846113075992,-0.04738450332905584
BANKBEES,44,1,868,3.1468698842325193,-0.47413572781718466,-0.3701948897672906
BHARTIARTL,53,1,1044,2.532541731949289,0.09901406508653961,0.10773994606346951
BPCL,24,1,461,4.176315782067768,-0.0663902706341123,-0.08610141190628355
BRITANNIA,16,1,311,3.6912547504827633,-0.1531366383343965,-0.15345895602986123
CIPLA,17,1,338,3.795172565925053,0.15049379435371107,0.13229429598311335
DRREDDY,42,1,829,3.558956706916061,0.061028033669000274,0.08648941102069942
GOLDBEES,24,1,479,1.9914296196592807,-0.1794660593473493,-0.15531397286080806
HCLTECH,79,1,1572,3.7453987157489057,0.018449168146477502,0.04341775297687283
HDFCBANK,108,1,2141,2.090977494833621,0.057999530047196726,-0.0008509071162164701
HINDUNILVR,20,1,391,2.5418208153487134,0.20133797074370047,0.15437057330558818
ICICIBANK,80,1,1597,2.1290541621200427,-0.09971829361786896,-0.0833934039362191
INFY,101,1,2011,2.8923856599166555,-0.13856122978525826,-0.13035171654528466
ITBEES,17,1,334,5.402688783921792,0.5298529235310695,0.5411694642970208
ITC,29,1,561,3.332046667427112,0.23819860068839435,0.23668885967577524
JUNIORBEES,22,1,435,5.697306920124396,-0.1430808088153142,-0.13442797943751278
KOTAKBANK,25,1,481,3.2382500415726945,-0.0896872502033607,-0.10652704543645461
LT,102,1,2026,1.6072957336622826,-0.05102111719895323,-0.005785977361670261
M&M,86,1,1719,2.336697845003532,0.014148710141423772,0.03094625084344888
MARUTI,94,1,1872,3.3870380158648494,-0.00303261710979547,0.0025257435949684473
NESTLEIND,19,1,375,3.8310000612680066,0.17945992881639447,0.15850213755576067
NIFTYBEES,39,1,774,1.8497387349141343,0.006479808123475926,0.007637954564380749
ONGC,97,1,1932,3.020622806368114,-0.05233295996102744,-0.020942120036070884
RELIANCE,56,1,1107,2.315660866016855,-0.16086672597252952,-0.1567777745578736
SBIN,42,1,840,2.933852703669247,0.07460657929147557,0.08626778407506513
SUNPHARMA,28,1,547,3.2964322814097247,0.13382726920272314,0.13675629885327167
TCS,110,1,2186,2.613765091870215,0.027911530324072568,0.06563805540167655
TECHM,43,1,846,3.3789946794056314,-0.07187500223500404,-0.0596573151811804
ULTRACEMCO,16,1,315,3.6193026366864083,0.053170605857114354,0.08487305200706681
WIPRO,54,1,1068,2.5635165484873945,0.027699297506198508,0.0010719157467804867
