candidate_id,feature,uses_full_top_five_depth,uses_depth_beyond_l1,sign_mode,horizon,threshold_quantile,threshold_abs_value,spread_cap_quantile,spread_cap_bps,churn_floor_quantile,churn_floor,symbols,trade_dates,cost100_trade_rows,cost100_net_pnl_inr,cost100_gross_pnl_inr,cost100_cost_inr,cost100_win_rate,cost100_profit_factor,cost100_avg_net_pnl_per_trade,cost100_max_drawdown_inr,cost150_trade_rows,cost150_net_pnl_inr,cost150_gross_pnl_inr,cost150_cost_inr,cost150_win_rate,cost150_profit_factor,cost150_avg_net_pnl_per_trade,cost150_max_drawdown_inr,cost200_trade_rows,cost200_net_pnl_inr,cost200_gross_pnl_inr,cost200_cost_inr,cost200_win_rate,cost200_profit_factor,cost200_avg_net_pnl_per_trade,cost200_max_drawdown_inr,random_side_net_pnl_inr,random_side_beat,survivor_candidate
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,10,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,5,1,8,-411.49029712563254,395.4020232889932,806.8923204146258,0.25,0.2743876711356776,-51.43628714070407,-435.0375574792169,8,-814.9364573329455,395.4020232889932,1210.3384806219387,0.25,0.06744428878304604,-101.86705716661818,-735.6397207719041,8,-1218.3826175402583,395.4020232889932,1613.7846408292517,0.125,0.0035746531300215223,-152.29782719253228,-1036.2418840645912,-832.6425477300498,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,6,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,5,1,10,-781.9766437070383,231.98839775967485,1013.9650414667133,0.3,0.21548490165259973,-78.19766437070383,-823.5945561375418,10,-1288.959164440395,231.98839775967485,1520.9475622000698,0.2,0.06160817085769136,-128.8959164440395,-1173.070166232288,10,-1795.9416851737517,231.98839775967485,2027.9300829334265,0.1,0.0022099074394329233,-179.59416851737518,-1545.4358492382635,-893.4619826100997,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,follow,10,0.95,0.5792902730551526,0.5,2.6725913756795983,0.5,29584.5,8,1,13,-621.1933756902126,673.3631177615273,1294.55649345174,0.23076923076923078,0.35457248627033155,-47.78410582232405,-524.4631407606938,13,-1268.4716224160825,673.3631177615273,1941.8347401776095,0.23076923076923078,0.13276017646877256,-97.5747401858525,-1097.6924372240337,13,-1915.7498691419523,673.3631177615273,2589.11298690348,0.15384615384615385,0.044491783752441276,-147.36537454938096,-1696.9977170696022,-1108.258997292735,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p75_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,10,0.95,0.5792902730551526,0.75,3.4284694119258963,0.75,80028.5,5,1,11,-846.1081615924934,305.79668529170374,1151.9048468841972,0.18181818181818182,0.15533766838575327,-76.91892378113576,-767.5376085826065,11,-1422.060585034592,305.79668529170374,1727.8572703262957,0.18181818181818182,0.03979601138702511,-129.27823500314472,-1289.5194819121389,11,-1998.0130084766906,305.79668529170374,2303.8096937683945,0.09090909090909091,0.0021828579912761335,-181.6375462251537,-1811.5013552416706,-1417.0716514120027,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,10,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,5,1,8,-1202.294343703619,-395.4020232889932,806.8923204146258,0.125,0.016694671314014507,-150.28679296295238,-1085.395388338908,8,-1605.740503910932,-395.4020232889932,1210.3384806219387,0.0,0.0,-200.7175629888665,-1414.458306357986,8,-2009.1866641182448,-395.4020232889932,1613.7846408292517,0.0,0.0,-251.1483330147806,-1763.9339164527325,-832.6425477300498,0,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H3_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,3,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,6,1,11,-1099.3497310049554,21.042902940615633,1120.3926339455709,0.09090909090909091,0.01707465083756739,-99.94088463681413,-1009.0309591089809,11,-1659.5460479777407,21.042902940615633,1680.5889509183562,0.0,0.0,-150.86782254343098,-1515.2567259692,11,-2219.7423649505263,21.042902940615633,2240.7852678911418,0.0,0.0,-201.79476045004785,-2021.482492829419,-1121.6245638274884,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H6_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,6,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,5,1,10,-1245.9534392263881,-231.98839775967485,1013.9650414667133,0.1,0.007861410711751313,-124.59534392263882,-1176.6136296270167,10,-1752.9359599597449,-231.98839775967485,1520.9475622000698,0.0,0.0,-175.2935959959745,-1629.6256002478067,10,-2259.918480693101,-231.98839775967485,2027.9300829334265,0.0,0.0,-225.99184806931012,-2082.6375708685973,-893.4619826100997,0,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H3_TQ0p95_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,3,0.95,0.5792902730551526,0.5,2.6725913756795983,0.75,80028.5,6,1,11,-1141.4355368861866,-21.042902940615633,1120.3926339455709,0.2727272727272727,0.05825032668226983,-103.76686698965332,-1086.473664981376,11,-1701.631853858972,-21.042902940615633,1680.5889509183562,0.0,0.0,-154.69380489627017,-1522.0978751921134,11,-2261.8281708317572,-21.042902940615633,2240.7852678911418,0.0,0.0,-205.620742802887,-2028.3236420523324,-1121.6245638274884,0,0
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p75,avg_depth_slope_ask,1,1,reverse,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.75,80028.5,6,1,13,-1138.092854872657,176.3831065852983,1314.4759614579555,0.23076923076923078,0.11628108042056436,-87.54560422097362,-1082.7517161257786,13,-1795.3308356016346,176.3831065852983,1971.7139421869326,0.07692307692307693,0.024724310306895834,-138.1023719693565,-1633.4456788403243,13,-2452.568816330612,176.3831065852983,2628.951922915911,0.0,0.0,-188.6591397177394,-2192.5429332805243,-1266.2791612375427,1,0
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p0,avg_depth_slope_ask,1,1,reverse,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.0,536.0,6,1,14,-1161.2171268539514,244.93788613884067,1406.1550129927923,0.21428571428571427,0.11422999066153725,-82.94408048956795,-1105.8759881070732,14,-1864.2946333503473,244.93788613884067,2109.2325194891882,0.07142857142857142,0.02383150740793516,-133.16390238216766,-1702.4094765890372,14,-2567.3721398467437,244.93788613884067,2812.3100259855846,0.0,0.0,-183.38372427476742,-2307.3462567966553,-1289.403433218837,1,0
