variant_id,parent_strategy_id,execution_profile,rejection_reasons,salvage_candidate_proxy,phase26_scope
S07_q70_sp080_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q70_sp100_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q70_sp050_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q70_sp050_liqall,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q50_sp050_liqall,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q50_sp080_liqmed,S09,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q50_sp100_liqmed,S09,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q50_sp050_liqmed,S09,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q50_sp080_liqall,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q50_sp050_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q50_sp080_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q50_sp100_liqmed,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S07_q70_sp080_liqall,S07,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q70_sp080_liqall,S05,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q50_sp080_liqall,S09,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q50_sp080_liqall,S05,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q70_sp050_liqmed,S09,zero_latency_spread_only_control,zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q70_sp080_liqmed,S09,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q70_sp100_liqmed,S09,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q50_sp050_liqall,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q50_sp050_liqmed,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q50_sp050_liqall,S09,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q50_sp080_liqmed,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q50_sp100_liqmed,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q70_sp050_liqall,S09,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q70_sp050_liqall,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q70_sp050_liqmed,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S09_q70_sp080_liqall,S09,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S02_q50_sp080_liqall,S02,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S02_q50_sp050_liqall,S02,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q85_sp080_liqall,S05,stressed_retail,net_return_not_positive_after_costs;insufficient_trade_count,False,parameter_salvage_scan_not_acceptance
S05_q95_sp080_liqall,S05,stressed_retail,net_return_not_positive_after_costs;insufficient_trade_count,False,parameter_salvage_scan_not_acceptance
S09_q85_sp080_liqall,S09,stressed_retail,net_return_not_positive_after_costs;insufficient_trade_count,False,parameter_salvage_scan_not_acceptance
S09_q95_sp080_liqall,S09,stressed_retail,net_return_not_positive_after_costs;insufficient_trade_count,False,parameter_salvage_scan_not_acceptance
S02_q50_sp050_liqmed,S02,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S02_q50_sp080_liqmed,S02,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S02_q50_sp100_liqmed,S02,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
S05_q70_sp080_liqmed,S05,zero_latency_spread_only_control,net_return_not_positive_after_costs;zero_latency_control_not_retail_survivor,False,parameter_salvage_scan_not_acceptance
