model_id,model_type,execution_profile,trade_dates,worst_daily_net_pnl_inr,tail_loss_1pct_trade_pnl_inr,max_intraday_drawdown_inr,daily_loss_breach_days,drawdown_breach_days,risk_status
F01_momentum_3_event_h1_q50,feature_edge_candidate,retail_marketable_default,8,-137615.82857066716,-884.0791592329273,-137426.70489618529,5,4,risk_breached_proxy
F01_momentum_3_event_h1_q50,feature_edge_candidate,stressed_retail,8,-192077.34172673422,-920.9916930935302,-191715.6062460505,6,5,risk_breached_proxy
F01_momentum_3_event_h1_q50,feature_edge_candidate,zero_latency_spread_only_control,8,-161858.30837825913,-1029.0577752326992,-161958.62645998166,1,1,risk_breached_proxy
F01_momentum_3_event_h1_q70,feature_edge_candidate,retail_marketable_default,8,-100349.27580056027,-956.8393577994157,-104037.02645104195,3,2,risk_breached_proxy
F01_momentum_3_event_h1_q70,feature_edge_candidate,stressed_retail,8,-142986.13471590827,-988.2379939206436,-142911.74991273938,2,2,risk_breached_proxy
F01_momentum_3_event_h1_q70,feature_edge_candidate,zero_latency_spread_only_control,8,-164546.63687931446,-1196.7318888156708,-164802.32745952,1,1,risk_breached_proxy
F01_momentum_3_event_h1_q85,feature_edge_candidate,retail_marketable_default,8,-61178.967739409156,-1106.2197118992242,-61116.20247270401,0,0,risk_not_breached_proxy
F01_momentum_3_event_h1_q85,feature_edge_candidate,stressed_retail,8,-86218.5812122181,-1069.841102289057,-87086.90938833983,1,0,risk_breached_proxy
F01_momentum_3_event_h1_q85,feature_edge_candidate,zero_latency_spread_only_control,8,-131879.03396262683,-1490.932873615251,-131890.9186023902,1,1,risk_breached_proxy
F01_momentum_3_event_h1_q95,feature_edge_candidate,retail_marketable_default,8,-28218.16880894973,-1538.4432279998061,-30883.743628112436,0,0,risk_not_breached_proxy
F01_momentum_3_event_h1_q95,feature_edge_candidate,stressed_retail,8,-57105.69779470742,-1389.9265215026874,-57948.26186683281,0,0,risk_not_breached_proxy
F01_momentum_3_event_h1_q95,feature_edge_candidate,zero_latency_spread_only_control,8,-66749.6617112998,-1960.6332799246413,-67759.44786958225,0,0,risk_not_breached_proxy
F01_momentum_3_event_h2_q50,feature_edge_candidate,retail_marketable_default,8,-157129.49003691913,-947.9013824573553,-157137.76973241204,5,3,risk_breached_proxy
F01_momentum_3_event_h2_q50,feature_edge_candidate,stressed_retail,8,-206566.54130701855,-965.7073636627297,-207588.77892609398,6,5,risk_breached_proxy
F01_momentum_3_event_h2_q50,feature_edge_candidate,zero_latency_spread_only_control,8,-192737.4517917674,-1107.3745404673411,-192108.6286941408,1,1,risk_breached_proxy
F01_momentum_3_event_h2_q70,feature_edge_candidate,retail_marketable_default,8,-117123.32293066202,-1028.7092415222469,-117131.60262615493,2,2,risk_breached_proxy
F01_momentum_3_event_h2_q70,feature_edge_candidate,stressed_retail,8,-155654.94256493333,-1073.397999363901,-156887.08279597483,2,2,risk_breached_proxy
F01_momentum_3_event_h2_q70,feature_edge_candidate,zero_latency_spread_only_control,8,-201896.70020567448,-1305.7729101650004,-201435.32860561783,1,1,risk_breached_proxy
