candidate_id,family_id,cost_profile,scenario_rows,scheduled_event_rows,symbols,realized_net_pnl_inr,scheduled_notional_inr,avg_net_edge_bps,avg_depth_beyond_l1_qty_imbalance,avg_level_weighted_depth_imbalance,avg_spread_bps,return_on_scheduled_notional_bps
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,cost100,84,444,7,12834.727523022639,21050000.0,5.999196473324933,-0.5728925988082649,-0.5865926963833548,2.7745721003892005,6.097257730652085
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,84,408,7,6999.7126779039845,19187500.0,3.842055066994771,0.5667030582519536,0.4377881418183883,2.591776808087591,3.648058724640513
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,84,252,4,6163.528016341245,11525000.0,4.87348047114657,0.5466819106035098,0.619466423270732,4.4740938545955,5.347963571662686
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,96,504,6,331.26585599269094,23700000.0,-0.006974916924087233,0.560463607605721,0.4766221534647502,1.55971691585822,0.13977462278172614
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,384,7,67.90433789942095,18400000.0,0.027829325138434585,0.5832381703101006,0.47749855884015613,3.0322639818498325,0.036904531467076604
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,264,5,-980.9419967062339,12700000.0,-1.2343148235840269,0.5437916140594434,0.4859700627387942,2.8778371127225912,-0.7723952729970346
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,276,5,-2265.1360497729606,13400000.0,-1.5445820093283007,0.5463500485581412,0.42572272107004205,1.561136444731472,-1.6904000371440004
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100,96,1128,11,-2839.3190755672736,52250000.0,-0.34836618425857413,-0.31411685436842857,-0.335528036485456,2.7161527653627986,-0.5434103493908657
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,408,6,-3535.4557581097224,19750000.0,-1.6260715747929158,0.5612040526390172,0.46574623977879764,1.564464022100216,-1.7901041813213783
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,324,5,-3703.0696229074074,15750000.0,-2.222253751451103,0.5552588080257276,0.4451986830926095,1.559799522777967,-2.3511553161316874
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,84,2,-4034.221576166834,4000000.0,-10.783138192433986,0.5726958568431121,0.5731882969199219,5.400855943625852,-10.085553940417086
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,300,5,-4169.868944293386,14350000.0,-2.880425135098751,0.5567658397926188,0.4447734291216616,1.5401235200383405,-2.905832016929189
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,48,408,8,-6150.020310007225,19350000.0,-3.0672963470575074,0.5793923843946807,0.4874446192398305,2.8129673345507213,-3.178305069771176
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,84,444,8,-6804.989440856917,21000000.0,-3.140448795993725,0.5714858750993811,0.4860050423999948,2.778495484630208,-3.2404711623128177
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100,96,1284,11,-7251.541415633778,58375000.0,-1.3204574742277362,-0.17685892582803614,-0.1535484990199793,2.6232443521530415,-1.2422340754833026
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,60,300,7,-10469.077993014977,14137500.0,-7.417050466991514,0.5684240131774291,0.5819640862289658,3.9532371020291985,-7.405183372601221
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100,84,276,6,-12170.929421292714,13000000.0,-9.449001677136708,0.6130877267426078,0.6459493966209555,4.026595401916876,-9.362253400994396
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,84,444,7,10729.727523022639,21050000.0,4.999196473324933,-0.5728925988082649,-0.5865926963833548,2.7745721003892005,5.0972577306520845
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,84,408,7,5080.962677903986,19187500.0,2.842055066994771,0.5667030582519536,0.4377881418183883,2.591776808087591,2.648058724640514
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,84,252,4,5011.028016341248,11525000.0,3.873480471146569,0.5466819106035098,0.619466423270732,4.4740938545955,4.347963571662688
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,384,7,-1772.0956621005796,18400000.0,-0.972170674861565,0.5832381703101006,0.47749855884015613,3.0322639818498325,-0.9630954685329237
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,96,504,6,-2038.7341440073073,23700000.0,-1.0069749169240874,0.560463607605721,0.4766221534647502,1.55971691585822,-0.8602253772182731
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,264,5,-2250.9419967062336,12700000.0,-2.234314823584027,0.5437916140594434,0.4859700627387942,2.8778371127225912,-1.7723952729970343
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,276,5,-3605.1360497729606,13400000.0,-2.5445820093283005,0.5463500485581412,0.42572272107004205,1.561136444731472,-2.6904000371440007
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,84,2,-4434.221576166834,4000000.0,-11.783138192433986,0.5726958568431121,0.5731882969199219,5.400855943625852,-11.085553940417086
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,324,5,-5278.0696229074065,15750000.0,-3.222253751451103,0.5552588080257276,0.4451986830926095,1.559799522777967,-3.3511553161316865
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,408,6,-5510.4557581097215,19750000.0,-2.6260715747929155,0.5612040526390172,0.46574623977879764,1.564464022100216,-2.790104181321378
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,300,5,-5604.868944293385,14350000.0,-3.880425135098751,0.5567658397926188,0.4447734291216616,1.5401235200383405,-3.9058320169291876
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100_plus_1bp,96,1128,11,-8064.319075567273,52250000.0,-1.348366184258574,-0.31411685436842857,-0.335528036485456,2.7161527653627986,-1.5434103493908657
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,48,408,8,-8085.020310007223,19350000.0,-4.067296347057507,0.5793923843946807,0.4874446192398305,2.8129673345507213,-4.1783050697711746
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,84,444,8,-8904.989440856914,21000000.0,-4.140448795993725,0.5714858750993811,0.4860050423999948,2.778495484630208,-4.240471162312816
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,60,300,7,-11882.827993014977,14137500.0,-8.417050466991514,0.5684240131774291,0.5819640862289658,3.9532371020291985,-8.405183372601222
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost100_plus_1bp,96,1284,11,-13089.04141563378,58375000.0,-2.3204574742277364,-0.17685892582803614,-0.1535484990199793,2.6232443521530415,-2.2422340754833026
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost100_plus_1bp,84,276,6,-13470.929421292713,13000000.0,-10.449001677136708,0.6130877267426078,0.6459493966209555,4.026595401916876,-10.362253400994394
