phase273_scope_id,phase273_scope_candidate_id,cost_profile,scenario_rows,above12_scenario_rows,above12_fraction,median_annualized_pct,min_annualized_pct,max_annualized_pct,max_realized_net_pnl_inr,best_scenario_id,best_order_policy,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_scheduled_event_rows,best_notional_turnover_x_initial_capital,worst_drawdown_inr,followthrough_preserve,cost200_survivor,median_positive,worst_case_positive
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost200,240,47,0.19583333333333333,-24.751087908787973,-80.99270494863863,102.40387422782716,507.9557253364443,P271_P273_TOP2_PRIORITY_SUBSET_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST200,deterministic_shuffle,100000.0,100000.0,1,4,4.0,-1690.8209926807929,1,1,0,0
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost200,240,39,0.1625,-13.240674141313308,-39.65734692966384,47.00299276619364,284.88007946240634,P271_P273_PRIORITY02_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST200,deterministic_shuffle,100000.0,100000.0,1,2,2.0,-553.7908161460607,1,1,0,0
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost200,240,35,0.14583333333333334,-26.266777262174017,-73.00367220067277,87.7304161373517,435.1707149670224,P271_P273_PRIORITY01_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST200,deterministic_shuffle,100000.0,100000.0,1,3,3.0,-875.637564336991,1,1,0,0
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100,240,158,0.6583333333333333,17.901341461573146,-11.540496948638648,190.6353099362237,945.611656429681,P271_P273_TOP2_PRIORITY_SUBSET_TIME_RANK_CAP100000_NOT125000_CONC1_COST100,time_rank,100000.0,125000.0,1,6,6.0,-1168.4508492810016,1,0,1,0
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_1bp,240,129,0.5375,13.167321992969622,-19.940496948638646,175.6665238278272,871.3617253364444,P271_P273_TOP2_PRIORITY_SUBSET_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_1BP,deterministic_shuffle,100000.0,100000.0,1,4,4.0,-1230.9508492810016,1,0,1,0
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100,240,91,0.37916666666666665,10.46110651683057,-0.078853800672777,150.23740333735174,745.2252149670223,P271_P273_PRIORITY01_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100,deterministic_shuffle,100000.0,100000.0,1,3,3.0,-605.895343219723,1,0,0,0
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100_plus_1bp,240,87,0.3625,4.557423866738979,-8.898853800672777,142.6774033373517,707.7252149670223,P271_P273_PRIORITY01_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_1BP,deterministic_shuffle,100000.0,100000.0,1,3,3.0,-630.895343219723,1,0,0,0
TOP2_PRIORITY_SUBSET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_2bp,240,83,0.3458333333333333,6.473491494727216,-28.34049694863864,165.5865238278272,821.3617253364444,P271_P273_TOP2_PRIORITY_SUBSET_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_2BP,deterministic_shuffle,100000.0,100000.0,1,4,4.0,-1293.4508492810016,1,0,0,0
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100,240,83,0.3458333333333333,5.922114379863466,-8.403853329663846,88.67431756619365,698.2860794624063,P271_P273_PRIORITY02_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100,deterministic_shuffle,100000.0,100000.0,1,2,2.0,-444.8266727462695,1,0,0,0
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_1bp,240,79,0.32916666666666666,2.730114379863469,-12.183853329663842,83.63431756619366,648.2860794624064,P271_P273_PRIORITY02_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_1BP,deterministic_shuffle,100000.0,100000.0,1,2,2.0,-457.3266727462695,1,0,0,0
PRIORITY01,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,cost100_plus_2bp,240,75,0.3125,-0.9937174221740152,-17.718853800672775,135.1174033373517,670.2252149670223,P271_P273_PRIORITY01_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_2BP,deterministic_shuffle,100000.0,100000.0,1,3,3.0,-655.895343219723,1,0,0,0
PRIORITY02,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,cost100_plus_2bp,240,69,0.2875,-0.2917172337704415,-15.96385332966384,78.59431756619365,598.2860794624064,P271_P273_PRIORITY02_DETERMINISTIC_SHUFFLE_CAP100000_NOT100000_CONC1_COST100_PLUS_2BP,deterministic_shuffle,100000.0,100000.0,1,2,2.0,-469.8266727462695,1,0,0,0
