scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase283_variant_id,ensemble_family_id,ensemble_family,vote_threshold,bucket_id,bucket_rule,seed_ids,included_target_families,selected_event_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT50000_CONC1_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,533,2,531,19,512,0,2,2,6,1,8,40.333648265488684,0.040333648265488686,1.2705099203628936,1,0,100000.0,1.0,0.4981238273921201,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT50000_CONC2_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,533,4,529,34,495,0,2,2,6,3,8,88.92297661803613,0.08892297661803612,2.8010737634681377,1,0,200000.0,2.0,0.9924953095684803,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT75000_CONC1_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,533,2,531,19,512,0,2,2,6,1,8,60.50047239823303,0.06050047239823303,1.9057648805443403,1,0,150000.0,1.5,0.7471857410881801,-7.022702632636979,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT75000_CONC2_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,533,4,529,34,495,0,2,2,6,3,8,88.92297661803613,0.08892297661803612,2.8010737634681377,1,0,200000.0,2.0,0.9924953095684803,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT100000_CONC1_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,533,2,531,19,512,0,2,2,6,1,8,80.66729653097737,0.08066729653097737,2.541019840725787,1,0,200000.0,2.0,0.9962476547842402,-9.363603510182639,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS_CAP100000_NOT100000_CONC2_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,2,cost200,2.0,0.0,533,4,529,34,495,0,2,2,6,3,8,88.92297661803613,0.08892297661803612,2.8010737634681377,1,0,200000.0,2.0,0.9924953095684803,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_ALL_EVENTS,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,ALL_EVENTS,all eligible ensemble events,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,533,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET_CAP100000_NOT50000_CONC1_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,213,1,212,8,204,0,2,1,3,1,8,-4.681801755091319,-0.0046818017550913195,-0.14747675528537657,1,0,50000.0,0.5,0.49765258215962443,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,P282_TIME_OPEN_BUCKET,richer_event_bar_id<=q50,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,213,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET_CAP100000_NOT50000_CONC2_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,213,2,211,17,194,0,2,2,3,2,8,23.83338406918608,0.023833384069186083,0.7507515981793617,1,0,100000.0,1.0,0.9906103286384976,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,P282_TIME_OPEN_BUCKET,richer_event_bar_id<=q50,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,213,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET_CAP100000_NOT75000_CONC1_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,213,1,212,8,204,0,2,1,3,1,8,-7.022702632636979,-0.007022702632636979,-0.22121513292806483,1,0,75000.0,0.75,0.7464788732394366,-7.022702632636979,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,P282_TIME_OPEN_BUCKET,richer_event_bar_id<=q50,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,213,1,1,0,0,0,0,0
P271_P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET_CAP100000_NOT75000_CONC2_COST200,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,213,2,211,17,194,0,2,2,3,2,8,23.83338406918608,0.023833384069186083,0.7507515981793617,1,0,100000.0,1.0,0.9906103286384976,-4.681801755091319,1,0,0,0,0,P283_P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE_V1_P282_TIME_OPEN_BUCKET,P282_SPREAD_REPLENISH_ADVERSE_ENSEMBLE,spread_replenish_adverse_ensemble,1,P282_TIME_OPEN_BUCKET,richer_event_bar_id<=q50,P280_SPREAD_REPLENISH_COMBO_Q70;P280_ADVERSE_SELECTION_AVOID_Q60;P280_ADVERSE_SELECTION_AVOID_Q80;P280_REPLENISH_CONFIRM_Q50,adverse_selection_avoidance;depth_replenishment_confirmation;spread_cost_margin,213,1,1,0,0,0,0,0
