scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase286_variant_id,lifecycle_family_id,lifecycle_family,grid_id,selected_event_rows,side_multiplier,entry_delay_ticks,exit_horizon_ticks,take_profit_bps,stop_loss_bps,latency_bucket,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,lifecycle_proxy_model,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,25000.0,1,cost200,2.0,0.0,640,7,633,40,593,0,1,1,7,5,8,-219.56378784912076,-0.21956378784912076,-6.916259317247304,1,0,175000.0,1.75,0.247265625,-219.56378784912076,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,25000.0,2,cost200,2.0,0.0,640,18,622,112,510,0,1,1,7,7,8,-377.84803816701873,-0.37784803816701873,-11.90221320226109,1,0,450000.0,4.5,0.480859375,-401.09801052455515,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT25000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,25000.0,4,cost200,2.0,0.0,640,27,613,123,490,0,1,1,7,7,8,-556.8762331830767,-0.5568762331830767,-17.541601345266916,1,0,675000.0,6.75,0.914453125,-556.8762331830767,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT50000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,50000.0,1,cost200,2.0,0.0,640,7,633,40,593,0,1,1,7,5,8,-439.1275756982415,-0.4391275756982415,-13.832518634494608,1,0,350000.0,3.5,0.49453125,-439.1275756982415,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT50000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,50000.0,2,cost200,2.0,0.0,640,18,622,112,510,0,1,1,7,7,8,-755.6960763340375,-0.7556960763340375,-23.80442640452218,1,0,900000.0,9.0,0.96171875,-802.1960210491103,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT50000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,50000.0,4,cost200,2.0,0.0,640,27,613,123,490,0,1,1,7,7,8,-556.8762331830767,-0.5568762331830767,-17.541601345266916,1,0,675000.0,6.75,0.914453125,-556.8762331830767,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT75000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,75000.0,1,cost200,2.0,0.0,640,7,633,40,593,0,1,1,7,5,8,-658.6913635473622,-0.6586913635473622,-20.74877795174191,1,0,525000.0,5.25,0.741796875,-658.6913635473622,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT75000_CONC2_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,75000.0,2,cost200,2.0,0.0,640,18,622,112,510,0,1,1,7,7,8,-755.6960763340375,-0.7556960763340375,-23.80442640452218,1,0,900000.0,9.0,0.96171875,-802.1960210491103,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT75000_CONC4_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,75000.0,4,cost200,2.0,0.0,640,27,613,123,490,0,1,1,7,7,8,-556.8762331830767,-0.5568762331830767,-17.541601345266916,1,0,675000.0,6.75,0.914453125,-556.8762331830767,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,1,0,0,0
P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3_CAP100000_NOT100000_CONC1_COST200,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,100000.0,100000.0,1,cost200,2.0,0.0,640,7,633,40,593,0,1,1,7,5,8,-878.255151396483,-0.878255151396483,-27.665037268989217,1,0,700000.0,7.0,0.9890625,-878.255151396483,1,0,0,0,0,P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H3,P285_SIDE_FLIP_REVERSAL_TEST,side_flip_reversal_test,P285_GRID_ORIG_E0_H3,640,1,0,3,,,base,1,1,0,0,phase286_horizon10_edge_transform_v1,0,0,0,0
