phase288_variant_id,liquidity_family,pressure_column,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,109,4,0,0,0,0,0.33798950510672887,2.6406920002273946,5.391389753841644,171.15523028068714
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,87,4,0,0,0,0,0.33798950510672887,2.6406920002273946,5.391389753841644,171.15523028068714
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,65,4,0,0,0,0,0.33798950510672887,2.6406920002273946,5.391389753841644,171.15523028068714
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,44,4,0,0,0,0,0.33798950510672887,2.6406920002273946,5.391389753841644,171.15523028068714
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,109,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,87,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,65,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,44,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,29,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,23,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,18,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734
