model_id,model_type,execution_profile,trades,symbols,scenario_days,mean_gross_return,mean_cost_return,mean_zerodha_charge_return,mean_net_return,win_rate_net,total_net_pnl_inr,market_shock_trade_fraction,disconnect_trade_fraction,acceptance_ready,replay_status
S03,partial_strategy_proxy,retail_marketable_default,7424,30,1,-5.549103607011966e-08,0.0009649451414663941,0.0008268120945826642,-0.0009650006325024643,0.0008081896551724138,-716416.4695698295,0.0,0.0,False,event_order_replay_not_acceptance
S03,partial_strategy_proxy,stressed_retail,7452,30,1,7.945661900746224e-07,0.0011427690010699255,0.0008268120651771424,-0.0011419744348798507,0.0005367686527106817,-850999.3488724648,0.0,0.0,False,event_order_replay_not_acceptance
S03,partial_strategy_proxy,zero_latency_spread_only_control,7593,30,1,9.156113026593588e-06,8.823646379925146e-05,0.0,-7.908035077265789e-05,0.2932964572632688,-60045.71034167913,0.0,0.0,False,event_order_replay_not_acceptance
S04,partial_strategy_proxy,retail_marketable_default,36920,32,1,3.1265726477926977e-06,0.0010099077168093018,0.000826812001573266,-0.0010067811441615091,0.00046045503791982664,-3717035.984244291,0.0,0.0,False,event_order_replay_not_acceptance
S04,partial_strategy_proxy,stressed_retail,37253,32,1,-6.009173971678759e-08,0.0012054851973094655,0.0008268120514810117,-0.0012055452890491823,0.00016106085415939657,-4491017.865294918,0.0,0.0,False,event_order_replay_not_acceptance
S04,partial_strategy_proxy,zero_latency_spread_only_control,38481,32,1,4.323513332204671e-06,8.880670321259208e-05,0.0,-8.448318988038741e-05,0.06322600764013409,-325099.7629787188,0.0,0.0,False,event_order_replay_not_acceptance
S06,partial_strategy_proxy,retail_marketable_default,68476,32,1,-7.634348182924627e-08,0.0010430086223188603,0.0008268120309477148,-0.0010430849658006895,0.00017524388106781937,-7142628.611816802,0.0,0.0,False,event_order_replay_not_acceptance
S06,partial_strategy_proxy,stressed_retail,69008,32,1,-2.974530713332709e-07,0.0012519190320023784,0.0008268120145487912,-0.0012522164850737117,7.245536749362393e-05,-8641295.520196669,0.0,0.0,False,event_order_replay_not_acceptance
S06,partial_strategy_proxy,zero_latency_spread_only_control,71244,32,1,-2.598542977941981e-07,0.00010877811140412393,0.0,-0.00010903796570191814,0.03496434787490876,-776830.0828467455,0.0,0.0,False,event_order_replay_not_acceptance
S08,partial_strategy_proxy,retail_marketable_default,132924,32,1,5.918013567716734e-07,0.0010576662802960898,0.0008268121298427642,-0.0010570744789393182,0.0023020673467545366,-14051056.803852992,0.0,0.0,False,event_order_replay_not_acceptance
S08,partial_strategy_proxy,stressed_retail,132860,32,1,9.392352759568224e-07,0.001267425914048405,0.0008268121192473618,-0.0012664866787724482,0.001422550052687039,-16826542.014170747,0.0,0.0,False,event_order_replay_not_acceptance
S08,partial_strategy_proxy,zero_latency_spread_only_control,132988,32,1,-2.0953074900546867e-07,0.0001211908160111588,0.0,-0.00012140034676016425,0.20468012151472315,-1614478.9314940725,0.0,0.0,False,event_order_replay_not_acceptance
