phase292_variant_id,repair_family,primary_pressure_column,secondary_pressure_column,interaction_column,primary_threshold_quantile,secondary_threshold_quantile,interaction_threshold_quantile,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_INV_H8,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,INV,8,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_INV_H10,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,INV,10,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,PRESSURE_SIGN_REV,8,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,PRESSURE_SIGN_REV,10,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,ORIG,8,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,ALL,ORIG,10,691,3,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_OPEN_INV_H8,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,OPEN,INV,8,252,2,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_OPEN_INV_H10,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,OPEN,INV,10,252,2,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,8,252,2,8,1,1,0,0,fixed_initial_capital
P292_EXHAUSTION_BREADTH_P25_S25_I25_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,0.25,0.25,0.25,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,10,252,2,8,1,1,0,0,fixed_initial_capital
