phase294_variant_id,continuation_family_id,continuation_family,selection_rule,primary_pressure_column,secondary_pressure_column,interaction_column,primary_threshold_quantile,secondary_threshold_quantile,interaction_threshold_quantile,spread_state,market_bucket,side_mode,exit_horizon_ticks,selected_event_rows,symbols,trade_dates,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_denominator,strategy_replay_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,5,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,8,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_PRESSURE_SIGN_CONT_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,PRESSURE_SIGN_CONT,13,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,ORIG,5,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,ORIG,8,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_ALL_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,ALL,ORIG,13,259,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,5,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,8,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,13,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_ORIG_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,ORIG,5,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_ORIG_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,ORIG,8,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_OPEN_ORIG_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,OPEN,ORIG,13,68,2,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_NONOPEN_PRESSURE_SIGN_CONT_H5,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,NONOPEN,PRESSURE_SIGN_CONT,5,191,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_NONOPEN_PRESSURE_SIGN_CONT_H8,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,NONOPEN,PRESSURE_SIGN_CONT,8,191,5,8,1,1,0,0,fixed_initial_capital,0,0,0
P294_P294_REPLENISHMENT_ABSORPTION_CONT_P35_S35_I35_ANYSPREAD_NONOPEN_PRESSURE_SIGN_CONT_H13,P294_REPLENISHMENT_ABSORPTION_CONT,replenishment_absorption_continuation,"visible replenishment dominance plus consensus pressure, continuation side",replenishment_dominance,abs_consensus_imbalance,spread_compression_score,0.35,0.35,0.35,ANYSPREAD,NONOPEN,PRESSURE_SIGN_CONT,13,191,5,8,1,1,0,0,fixed_initial_capital,0,0,0
