scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase296_variant_id,feed_profile,strategy_family,spread_regime,daily_event_limit,exit_horizon_ticks,selected_event_rows,uses_top5,uses_levels_2_to_5,uses_l1_l5_spread_proxy,raw_l1_l5_book_state_persisted,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1_CAP1000000_NOT100000_CONC1_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,1000000.0,100000.0,1,cost200,2.0,0.0,175,1,174,0,174,0,1,1,6,1,175,286.5475590723164,0.028654755907231638,0.041262848506413555,1,0,100000.0,0.1,0.09942857142857144,0.0,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,1,175,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1_CAP1000000_NOT100000_CONC2_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,1000000.0,100000.0,2,cost200,2.0,0.0,175,2,173,0,173,0,1,1,6,2,175,51.17943133095403,0.005117943133095403,0.007369838111657381,1,0,200000.0,0.2,0.19828571428571432,-235.36812774136237,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,1,175,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3_CAP1000000_NOT100000_CONC1_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,1000000.0,100000.0,1,cost200,2.0,0.0,163,1,162,0,162,0,1,1,6,1,163,-45.98995798090552,-0.004598995798090553,-0.0071101039332442904,1,0,100000.0,0.1,0.09938650306748466,-45.98995798090552,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,3,163,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3_CAP1000000_NOT100000_CONC2_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,1000000.0,100000.0,2,cost200,2.0,0.0,163,2,161,0,161,0,1,1,6,2,163,-593.2017820246841,-0.05932017820246842,-0.09170972335596345,1,0,200000.0,0.2,0.198159509202454,-593.2017820246841,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,3,163,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,1000000.0,100000.0,1,cost200,2.0,0.0,155,1,154,0,154,0,1,1,6,1,155,-216.52201800818966,-0.021652201800818966,-0.035202289379396,1,0,100000.0,0.1,0.09935483870967741,-216.52201800818966,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,6,155,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC2_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,1000000.0,100000.0,2,cost200,2.0,0.0,155,2,153,0,153,0,1,1,6,2,155,-175.04931331780585,-0.017504931331780584,-0.028459630294249725,1,0,200000.0,0.2,0.19806451612903228,-216.52201800818966,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,6,155,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1_CAP1000000_NOT100000_CONC1_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,1000000.0,100000.0,1,cost200,2.0,0.0,511,3,508,0,508,0,1,1,10,2,176,-13.964818545114106,-0.0013964818545114106,-0.001999508109868611,1,0,300000.0,0.3,0.09941291585127203,-338.5225731601806,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,1,511,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1_CAP1000000_NOT100000_CONC2_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,1000000.0,100000.0,2,cost200,2.0,0.0,511,6,505,0,505,0,1,1,10,3,176,-296.66685383599065,-0.029666685383599064,-0.04247729952651685,1,0,600000.0,0.6,0.19823874755381607,-344.70743510749503,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,1,511,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3_CAP1000000_NOT100000_CONC1_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,1000000.0,100000.0,1,cost200,2.0,0.0,491,3,488,0,488,0,1,1,10,2,176,-444.46246625758306,-0.04444624662575831,-0.06363894403233576,1,0,300000.0,0.3,0.09938900203665989,-444.46246625758306,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,3,491,1,1,1,0,0,0,0,0,0,0
P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3_CAP1000000_NOT100000_CONC2_COST200,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,1000000.0,100000.0,2,cost200,2.0,0.0,491,6,485,0,485,0,1,1,10,3,176,-554.4195903659942,-0.05544195903659942,-0.07938280498422189,1,0,600000.0,0.6,0.19816700610997964,-1459.2572158469438,1,0,0,0,0,P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ70_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,3,491,1,1,1,0,0,0,0,0,0,0
