scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase298_variant_id,strategy_family,symbol,threshold_quantile,daily_event_limit,exit_horizon_ticks,selected_event_rows,trade_months,source_files,uses_raw_book_state_l1_l5,uses_top5,uses_levels_2_to_5,uses_order_count_levels_1_to_5,l1_only_variant,uses_net_edge_as_live_mask,sparse_diagnostic_event_floor_met,robust_portfolio_event_floor_met,cost200_above12_sparse_diagnostic,robust_portfolio_floor_above12
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,1000000.0,100000.0,1,cost200,2.0,0.0,16,1,15,0,15,0,1,1,1,1,16,-165.3624,-0.01653624,-0.26044578,1,0,100000.0,0.1,0.09375,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,1,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,1000000.0,100000.0,2,cost200,2.0,0.0,16,2,14,0,14,0,1,1,1,1,16,-330.7248,-0.03307248,-0.52089156,1,0,200000.0,0.2,0.18125000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,1,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,1000000.0,100000.0,1,cost200,2.0,0.0,16,1,15,0,15,0,1,1,1,1,16,-165.3624,-0.01653624,-0.26044578,1,0,100000.0,0.1,0.09375,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,3,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,1000000.0,100000.0,2,cost200,2.0,0.0,16,2,14,0,14,0,1,1,1,1,16,-330.7248,-0.03307248,-0.52089156,1,0,200000.0,0.2,0.18125000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,3,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,1000000.0,100000.0,1,cost200,2.0,0.0,16,1,15,0,15,0,1,1,1,1,16,-165.3624,-0.01653624,-0.26044578,1,0,100000.0,0.1,0.09375,-165.3624,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,6,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,1000000.0,100000.0,2,cost200,2.0,0.0,16,2,14,0,14,0,1,1,1,1,16,-330.7248,-0.03307248,-0.52089156,1,0,200000.0,0.2,0.18125000000000002,-330.7248,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL1_H6,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,1,6,16,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,1000000.0,100000.0,1,cost200,2.0,0.0,48,3,45,0,45,0,1,1,1,1,16,-496.08720000000005,-0.04960872,-0.78133734,1,0,300000.0,0.3,0.09375,-496.08720000000005,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,1,48,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,1000000.0,100000.0,2,cost200,2.0,0.0,48,6,42,0,42,0,1,1,1,1,16,-992.1744,-0.09921743999999999,-1.5626746799999998,1,0,600000.0,0.6,0.18125000000000002,-992.1744,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H1,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,1,48,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3_CAP1000000_NOT100000_CONC1_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,1000000.0,100000.0,1,cost200,2.0,0.0,48,3,45,0,45,0,1,1,1,1,16,-496.08720000000005,-0.04960872,-0.78133734,1,0,300000.0,0.3,0.09375,-496.08720000000005,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,3,48,1,1,1,1,1,1,0,0,0,0,0,0
P271_P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3_CAP1000000_NOT100000_CONC2_COST200,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,1000000.0,100000.0,2,cost200,2.0,0.0,48,6,42,0,42,0,1,1,1,1,16,-992.1744,-0.09921743999999999,-1.5626746799999998,1,0,600000.0,0.6,0.18125000000000002,-992.1744,1,0,0,0,0,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION_HDFCBANK_2026-01_Q95_DL3_H3,P298_RAW_BEYOND_L1_ABSORPTION_CONTINUATION,HDFCBANK,0.95,3,3,48,1,1,1,1,1,1,0,0,0,0,0,0
