feature_id,formula,feature_family,description,phase310_materialization_required,uses_depth_beyond_l1
event_clock,relative_second,event_time_alignment,Event-relative second from -900 to +1800.,1,0
l1_spread,sell_1_price - buy_1_price,top_of_book,Quoted spread at best bid/ask.,1,0
l1_mid,(sell_1_price + buy_1_price) / 2,top_of_book,Best bid/ask midpoint.,1,0
l1_microprice,weighted best quote by opposite-side quantity,top_of_book,Microprice using L1 bid/ask prices and quantities.,1,0
l1_queue_imbalance,(buy_1_quantity - sell_1_quantity) / total_l1_qty,top_of_book,Best-level queue imbalance.,1,0
l1_l5_qty_imbalance,sum_buy_qty_l1_l5 vs sum_sell_qty_l1_l5,full_depth,Aggregate quantity imbalance across levels 1-5.,1,1
l2_l5_qty_imbalance,sum_buy_qty_l2_l5 vs sum_sell_qty_l2_l5,depth_beyond_l1,Depth-beyond-L1 quantity imbalance.,1,1
l1_l5_order_imbalance,sum_buy_orders_l1_l5 vs sum_sell_orders_l1_l5,full_depth,Aggregate order-count imbalance across levels 1-5.,1,1
l2_l5_order_imbalance,sum_buy_orders_l2_l5 vs sum_sell_orders_l2_l5,depth_beyond_l1,Depth-beyond-L1 order-count imbalance.,1,1
bid_depth_slope_l1_l5,buy_1_price - buy_5_price,full_depth,Bid-side depth price slope across levels 1-5.,1,1
ask_depth_slope_l1_l5,sell_5_price - sell_1_price,full_depth,Ask-side depth price slope across levels 1-5.,1,1
depth_pressure,l1_l5_qty_imbalance / spread,full_depth,Liquidity pressure normalized by spread.,1,1
l2_l5_pressure,l2_l5_qty_imbalance / spread,depth_beyond_l1,Beyond-L1 pressure normalized by spread.,1,1
event_pre_mean_mid,mean mid where relative_second < 0,event_context,Pre-event reference midpoint.,1,0
event_post_return_60s,mid at +60s vs event mid,event_response,Short post-event midpoint response.,1,0
event_post_return_300s,mid at +300s vs event mid,event_response,Five-minute post-event midpoint response.,1,0
event_post_return_900s,mid at +900s vs event mid,event_response,Fifteen-minute post-event midpoint response.,1,0
event_post_depth_pressure_shift,post pressure minus pre pressure,full_depth_response,Full-depth pressure change around event.,1,1
