metric,value,description
feature_matrix_rows,320,Expected compact event-symbol rows.
event_rows,10,Distinct events.
symbol_rows,32,Distinct symbols.
source_tick_rows,28350310,Joined ticks represented by the compact matrix.
min_source_tick_rows_per_event_symbol,78283,Minimum raw tick support per event-symbol row.
live_feature_columns,38,Columns available to live signal modeling.
depth_feature_columns,23,Live feature columns using depth levels 1-5 or 2-5.
target_columns,5,Separated target/response columns.
live_feature_null_cells,0,Null cells across live feature columns.
target_null_cells,0,Null cells across target columns.
joined_rows_expected,28350310,Phase318 accepted joined rows.
joined_rows_represented,28350310,Source rows represented in matrix.
target_columns_used_as_live_features,0,Must remain zero.
