symbol,trade_month_partition,dense_file_path,file_min_epoch,file_max_epoch,file_min_ist,file_max_ist,source_rows,row_groups
ADANIPORTS,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,1784020475,1786553457,2026-07-14T14:44:35+05:30,2026-08-12T22:20:57+05:30,16305649,33
AXISBANK,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,1784020475,1786558457,2026-07-14T14:44:35+05:30,2026-08-12T23:44:17+05:30,16313583,33
BAJAJ-AUTO,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,1784020475,1786558457,2026-07-14T14:44:35+05:30,2026-08-12T23:44:17+05:30,16305649,33
BANKBEES,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,1784020475,1786559957,2026-07-14T14:44:35+05:30,2026-08-13T00:09:17+05:30,16295732,33
BHARTIARTL,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,1784020475,1786571957,2026-07-14T14:44:35+05:30,2026-08-13T03:29:17+05:30,16321516,33
BPCL,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BPCL\part-00000.parquet,1784020475,1786567457,2026-07-14T14:44:35+05:30,2026-08-13T02:14:17+05:30,16319533,33
BRITANNIA,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,1784020475,1786565457,2026-07-14T14:44:35+05:30,2026-08-13T01:40:57+05:30,16319533,33
CIPLA,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,1784020475,1786555457,2026-07-14T14:44:35+05:30,2026-08-12T22:54:17+05:30,16295732,33
DRREDDY,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,1784020475,1786551457,2026-07-14T14:44:35+05:30,2026-08-12T21:47:37+05:30,16299699,33
GOLDBEES,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,1784020475,1786568707,2026-07-14T14:44:35+05:30,2026-08-13T02:35:07+05:30,16307632,33
HCLTECH,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,1784020475,1786557457,2026-07-14T14:44:35+05:30,2026-08-12T23:27:37+05:30,16299699,33
HDFCBANK,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,1784020424,1786560957,2026-07-14T14:43:44+05:30,2026-08-13T00:25:57+05:30,16303665,33
HINDUNILVR,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HINDUNILVR\part-00000.parquet,1784020475,1786577957,2026-07-14T14:44:35+05:30,2026-08-13T05:09:17+05:30,16277881,33
ICICIBANK,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,1784020475,1786571457,2026-07-14T14:44:35+05:30,2026-08-13T03:20:57+05:30,16301682,33
INFY,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=INFY\part-00000.parquet,1784020475,1786556457,2026-07-14T14:44:35+05:30,2026-08-12T23:10:57+05:30,16313583,33
ITBEES,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,1784020475,1786559957,2026-07-14T14:44:35+05:30,2026-08-13T00:09:17+05:30,16313583,33
ITC,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet,1784020475,1786552957,2026-07-14T14:44:35+05:30,2026-08-12T22:12:37+05:30,16317549,33
JUNIORBEES,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet,1784020475,1786558457,2026-07-14T14:44:35+05:30,2026-08-12T23:44:17+05:30,16281848,33
KOTAKBANK,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet,1784020475,1786553457,2026-07-14T14:44:35+05:30,2026-08-12T22:20:57+05:30,16299699,33
LT,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet,1784020475,1786574957,2026-07-14T14:44:35+05:30,2026-08-13T04:19:17+05:30,16299699,33
M&M,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet,1784020475,1786579457,2026-07-14T14:44:35+05:30,2026-08-13T05:34:17+05:30,16317549,33
MARUTI,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet,1784020475,1786551957,2026-07-14T14:44:35+05:30,2026-08-12T21:55:57+05:30,16321516,33
NESTLEIND,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet,1784020475,1786559957,2026-07-14T14:44:35+05:30,2026-08-13T00:09:17+05:30,16295732,33
NIFTYBEES,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,1784020475,1786562957,2026-07-14T14:44:35+05:30,2026-08-13T00:59:17+05:30,16325483,33
ONGC,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet,1784020475,1786562957,2026-07-14T14:44:35+05:30,2026-08-13T00:59:17+05:30,16301682,33
RELIANCE,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,1784020475,1786551957,2026-07-14T14:44:35+05:30,2026-08-12T21:55:57+05:30,16291765,33
SBIN,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet,1784020475,1786566457,2026-07-14T14:44:35+05:30,2026-08-13T01:57:37+05:30,16293748,33
SUNPHARMA,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet,1784020475,1786563707,2026-07-14T14:44:35+05:30,2026-08-13T01:11:47+05:30,16303665,33
TCS,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet,1784020475,1786551957,2026-07-14T14:44:35+05:30,2026-08-12T21:55:57+05:30,16319533,33
TECHM,2026-01,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TECHM\part-00000.parquet,1784020475,1786550957,2026-07-14T14:44:35+05:30,2026-08-12T21:39:17+05:30,16297715,33
