scenario_id,scope,family_id,entry_timing_policy,horizon_seconds,depth_threshold_quantile,trade_rows,diagnostic_trade_dates,symbols,positive_symbol_date_cells,net_pnl_inr,side_flip_net_pnl_inr,random_side_net_pnl_inr,annualized_return_pct,side_flip_annualized_return_pct,random_side_annualized_return_pct,control_pass,above12,acceptance_candidate,trade_shortfall_to_floor,phase346_clue_tier,paper_live_or_profit_claim_allowed,phase347_candidate
P345_0065_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.75,2,2,2,1,1135.1671988583882,-1922.5321594552172,-1775.5211462992174,57.21242682246277,-96.89562083654296,-89.48626577348055,1,1,0,28,control_passing_sparse_high_return,0,1
P345_0062_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.75,2,2,2,1,778.1939067423883,-1502.4755384152174,624.1892867423883,39.22097289981637,-75.72476713612696,31.45914005181637,1,1,0,28,control_passing_sparse_high_return,0,1
P345_0012_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.0,19,6,11,7,2274.5650038543045,-9467.315044776042,-2692.2131116676446,38.21269206475231,-159.0508927522375,-45.22918027601643,1,1,0,11,control_passing_sparse_high_return,0,1
P345_0007_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.5,11,5,8,4,1745.2396959147825,-6179.552385978037,-2269.9491143424084,35.18403226964201,-124.57977610131724,-45.76217414514295,1,1,0,19,control_passing_sparse_high_return,0,1
P345_0026_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.75,2,1,2,1,347.8335265168233,-1100.2099554080055,-1100.2099554080055,35.06161947289579,-110.901163505127,-110.901163505127,1,1,0,28,control_passing_sparse_high_return,0,1
P345_0004_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.5,11,5,8,5,1562.7533491048116,-6043.334024583627,-2850.6664829363917,31.505107517953,-121.8336139356059,-57.46943629599765,1,1,0,19,control_passing_sparse_high_return,0,1
P345_0015_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.0,19,6,11,8,1793.510995159402,-9056.369651873318,1387.647717634408,30.13098471867795,-152.14701015147173,23.31248165625805,1,1,0,11,control_passing_sparse_high_return,0,1
P345_0006_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.0,19,6,10,7,1728.5913514758213,-9289.099863740856,-8031.673188925634,29.0403347047938,-156.0568777108464,-134.93210957395067,1,1,0,11,control_passing_sparse_high_return,0,1
P345_0008_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.75,6,3,5,3,377.0197877819799,-2910.245057791617,-3928.09563184602,12.667864869474526,-97.78423394179832,-131.98401323002628,1,1,0,24,control_passing_sparse_high_return,0,1
P345_0003_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.0,19,6,10,6,742.4051355589904,-8314.56850292805,-6974.150028936842,12.47240627739104,-139.68475084919123,-117.16572048613897,1,1,0,11,control_passing_sparse_high_return,0,1
P345_0002_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.75,6,3,5,5,2175.185253362426,-4824.303060997235,2175.185253362426,73.08622451297752,-162.0965828495071,73.08622451297752,0,1,0,24,control_failed_sparse_high_return,0,0
