scenario_id,scope,rule_id,rule_description,trade_rows,diagnostic_trade_dates,symbols,positive_trade_rows,positive_symbol_date_cells,positive_symbols,net_pnl_inr,annualized_return_pct,above12,event_floor_met,breadth_met,acceptance_candidate,cost_model_version,cost_profile,initial_capital_inr,uses_real_l2,uses_official_catalyst_events,uses_full_depth_1_5,l1_only_variant
P353_capacity_selected_events_fade_top5,capacity_selected_events,fade_top5,Fade top-five quantity imbalance.,37,7,16,13,10,9,-795.7927940520694,-11.459416234349801,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_capacity_selected_events_fade_l2_l5,capacity_selected_events,fade_l2_l5,Fade depth-levels-2-5 quantity imbalance.,37,7,16,11,8,7,-2417.6927940519827,-34.81477623434855,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_capacity_selected_events_fade_order,capacity_selected_events,fade_order,Fade top-five order-count imbalance.,37,7,16,10,7,6,-3678.4927940519374,-52.9702962343479,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_fade_order,lead_catalyst_categories,fade_order,Fade top-five order-count imbalance.,62,7,18,19,9,6,-7489.079159478568,-107.84273989649138,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_fade_top5,lead_catalyst_categories,fade_top5,Fade top-five quantity imbalance.,63,7,19,22,13,8,-7672.415417152811,-110.48278200700048,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_capacity_selected_events_follow_order,capacity_selected_events,follow_order,Follow top-five order-count imbalance.,37,7,16,7,6,3,-8499.692794052062,-122.39557623434969,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_fade_l2_l5,lead_catalyst_categories,fade_l2_l5,Fade depth-levels-2-5 quantity imbalance.,63,7,19,21,12,7,-8515.215417152753,-122.61910200699964,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_capacity_selected_events_follow_l2_l5,capacity_selected_events,follow_l2_l5,Follow depth-levels-2-5 quantity imbalance.,37,7,16,6,5,3,-9760.492794052017,-140.55109623434905,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_capacity_selected_events_follow_top5,capacity_selected_events,follow_top5,Follow top-five quantity imbalance.,37,7,16,4,3,2,-11382.392794051932,-163.90645623434781,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_fade_order,all_official_catalyst_events,fade_order,Fade top-five order-count imbalance.,92,7,21,26,13,7,-12221.703683089587,-175.99253303649004,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_follow_l2_l5,lead_catalyst_categories,follow_l2_l5,Follow depth-levels-2-5 quantity imbalance.,63,7,19,16,11,8,-12247.405417153244,-176.36263800700672,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_follow_order,lead_catalyst_categories,follow_order,Follow top-five order-count imbalance.,62,7,18,17,13,7,-12942.729159479031,-186.37529989649803,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_lead_catalyst_categories_follow_top5,lead_catalyst_categories,follow_top5,Follow top-five quantity imbalance.,63,7,19,15,10,7,-13090.205417153189,-188.49895800700594,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_follow_l2_l5,all_official_catalyst_events,follow_l2_l5,Follow depth-levels-2-5 quantity imbalance.,98,7,23,28,18,8,-14275.186357085704,-205.5626835420341,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_follow_top5,all_official_catalyst_events,follow_top5,Follow top-five quantity imbalance.,98,7,23,26,16,8,-15673.086357085622,-225.69244354203292,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_fade_top5,all_official_catalyst_events,fade_top5,Fade top-five quantity imbalance.,98,7,23,33,21,9,-16613.62635708502,-239.2362195420243,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_fade_l2_l5,all_official_catalyst_events,fade_l2_l5,Fade depth-levels-2-5 quantity imbalance.,98,7,23,31,19,10,-18011.526357084935,-259.36597954202307,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
P353_all_official_catalyst_events_follow_order,all_official_catalyst_events,follow_order,Follow top-five order-count imbalance.,92,7,21,27,19,8,-18081.333683090015,-260.37120503649624,0,1,1,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,zerodha_2x_all_in_cost_proxy,250000.0,1,1,1,0
