phase358_role,scenario_id,control_id,scenario_role,work_order_id,symbol,diagnostic_trade_date,description,proxy_symbol,lookback_seconds,proxy_pre_return_bps,entry_top5_qty_imbalance,entry_l2_l5_qty_imbalance,side,entry_mid,exit_mid,quantity,gross_pnl_inr,cost200_inr,net_pnl_inr
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-08_LT_106690276,LT,2026-07-08,Press Release,NIFTYBEES,900,0.0,-0.4911392405063291,-0.2705882352941176,long,3977.3,3970.5,25,-170.00000000000455,165.23180736999998,-335.2318073700045
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-09_DRREDDY_106691390,DRREDDY,2026-07-09,General Updates,NIFTYBEES,900,0.0,-0.4926151172893136,-0.5253333333333333,long,1269.25,1273.35,78,319.7999999999929,165.17876884720002,154.6212311527929
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-09_DRREDDY_106691463,DRREDDY,2026-07-09,Analysts/Institutional Investor Meet/Con. Call Updates,NIFTYBEES,900,0.0,-0.4926151172893136,-0.5253333333333333,long,1269.25,1273.35,78,319.7999999999929,165.17876884720002,154.6212311527929
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-10_KOTAKBANK_106692598,KOTAKBANK,2026-07-10,General Updates,NIFTYBEES,900,0.0,-0.5037364130434783,-0.50625,long,377.875,380.15,264,600.599999999994,165.3602739808,435.239726019194
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-10_KOTAKBANK_106692658,KOTAKBANK,2026-07-10,General Updates,NIFTYBEES,900,0.0,-0.5037364130434783,-0.50625,long,377.875,380.15,264,600.599999999994,165.3602739808,435.239726019194
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-13_SBIN_106694291,SBIN,2026-07-13,General Updates,NIFTYBEES,900,0.0,-0.6822679860925381,-0.838962605548854,long,1023.55,1028.1999999999998,97,451.0499999999868,165.24605469879998,285.8039453011868
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-14_HCLTECH_106695829,HCLTECH,2026-07-14,Outcome of Board Meeting,NIFTYBEES,900,0.0,-0.9576811235537958,-0.95661025575773,long,1199.8,1199.15,83,-53.94999999998868,165.2729619436,-219.22296194358867
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-14_HCLTECH_106695847,HCLTECH,2026-07-14,Press Release,NIFTYBEES,900,0.0,-0.9576811235537958,-0.95661025575773,long,1199.8,1199.15,83,-53.94999999998868,165.2729619436,-219.22296194358867
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-14_TCS_106696979,TCS,2026-07-14,Updates,NIFTYBEES,900,0.0,-0.555785658814393,-0.5651483050847458,long,2197.8,2201.8500000000004,45,182.25000000000816,165.146096038,17.10390396200819
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-15_AXISBANK_106697208,AXISBANK,2026-07-15,General Updates,NIFTYBEES,900,0.0,-0.717651678774789,-0.9246729815065404,long,1326.85,1342.25,75,1155.0000000000068,165.35406973,989.6459302700068
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-15_INFY_106697740,INFY,2026-07-15,Updates,NIFTYBEES,900,0.0,-0.5466829218734126,-0.543870438704387,long,1079.1999999999998,1085.15,92,547.4000000000251,165.26017361919995,382.1398263808252
primary_full_depth_family,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,depth_2_5_fade_variant,full_depth_control,P341_2026-07-16_BAJAJ-AUTO_106699726,BAJAJ-AUTO,2026-07-16,General Updates,NIFTYBEES,900,-0.3644846187489392,0.5045871559633027,0.5023923444976076,short,10303.5,10314.5,9,-99.0,159.846424344,-258.846424344
