trade_date,symbol,parquet_files,bytes
2026-07-17,ADANIPORTS,1587,55392571
2026-07-17,AXISBANK,1587,56615900
2026-07-17,BAJAJ-AUTO,1587,56114086
2026-07-17,BANKBEES,1587,55534558
2026-07-17,BHARTIARTL,1587,55660349
2026-07-17,BPCL,1587,54874585
2026-07-17,BRITANNIA,1587,54825111
2026-07-17,CIPLA,1588,55263626
2026-07-17,DRREDDY,1587,55297207
2026-07-17,GOLDBEES,1587,55218567
2026-07-17,HCLTECH,1587,55711159
2026-07-17,HDFCBANK,1587,57174993
2026-07-17,HINDUNILVR,1587,55533087
2026-07-17,ICICIBANK,1587,56756611
2026-07-17,INFY,1587,56777328
2026-07-17,ITBEES,1587,54821778
2026-07-17,ITC,1588,56629775
2026-07-17,JUNIORBEES,1587,55863425
2026-07-17,KOTAKBANK,1587,56061538
2026-07-17,LT,1588,56372344
2026-07-17,M&M,1587,55882896
2026-07-17,MARUTI,1587,55564536
2026-07-17,NESTLEIND,1587,55180828
2026-07-17,NIFTYBEES,1587,55632670
2026-07-17,ONGC,1587,55263651
2026-07-17,RELIANCE,1587,56740012
2026-07-17,SBIN,1587,56326434
2026-07-17,SUNPHARMA,1587,55880840
2026-07-17,TCS,1587,57059130
2026-07-17,TECHM,1587,57015727
2026-07-17,ULTRACEMCO,1587,55150896
2026-07-17,WIPRO,1587,56309080
2026-07-20,ADANIPORTS,1576,54892320
2026-07-20,AXISBANK,1576,56833722
2026-07-20,BAJAJ-AUTO,1576,55417649
2026-07-20,BANKBEES,1576,55386831
2026-07-20,BHARTIARTL,1576,55252231
2026-07-20,BPCL,1575,54718611
2026-07-20,BRITANNIA,1574,54358338
2026-07-20,CIPLA,1576,54898235
2026-07-20,DRREDDY,1576,54798360
2026-07-20,GOLDBEES,1576,54664014
2026-07-20,HCLTECH,1575,55062422
2026-07-20,HDFCBANK,1576,57104103
2026-07-20,HINDUNILVR,1575,54854213
2026-07-20,ICICIBANK,1576,56705950
2026-07-20,INFY,1576,56468462
2026-07-20,ITBEES,1576,54376880
2026-07-20,ITC,1576,55943909
2026-07-20,JUNIORBEES,1576,55424185
2026-07-20,KOTAKBANK,1576,56201179
2026-07-20,LT,1576,55613428
2026-07-20,M&M,1576,55486957
2026-07-20,MARUTI,1576,55355940
2026-07-20,NESTLEIND,1576,54938832
2026-07-20,NIFTYBEES,1576,55558081
2026-07-20,ONGC,1576,54919935
2026-07-20,RELIANCE,1575,56340766
2026-07-20,SBIN,1575,56224078
2026-07-20,SUNPHARMA,1575,54947132
2026-07-20,TCS,1575,55910237
2026-07-20,TECHM,1575,55007508
2026-07-20,ULTRACEMCO,1575,55081016
2026-07-20,WIPRO,1576,54824977
