phase360_work_order_id,family_id,source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,description,status,start_ms,entry_ms,exit_ms,entry_delay_ms,holding_ms,forced_exit,entry_mid,exit_mid,quantity,proxy_symbol,lookback_seconds,proxy_pre_return_bps,market_neutral_gate,entry_top5_qty_imbalance,entry_l2_l5_qty_imbalance,top5_gate,deep_gate,eligible_for_primary,zerodha_charges_2x_inr,cost_model_version,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,side_sign,side,gross_pnl_inr,cost200_inr,net_pnl_inr,scenario_id,capacity_selected
P359_2026-07-17_BRITANNIA_106700938,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 00:04:13,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,Updates,filled,1784259900000,1784259905012,1784260812813,5012,907801,0,5314.5,5327.75,18,NIFTYBEES,900,0.0,1,-0.7217391304347827,-0.7463414634146341,1,1,1,162.47068412599998,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,238.5,162.47068412599998,76.02931587400002,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,1
P359_2026-07-17_BRITANNIA_106700956,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 02:41:00,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,General Updates,filled,1784259900000,1784259905012,1784260812813,5012,907801,0,5314.5,5327.75,18,NIFTYBEES,900,0.0,1,-0.7217391304347827,-0.7463414634146341,1,1,1,162.47068412599998,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,238.5,162.47068412599998,76.02931587400002,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,1
P359_2026-07-20_ONGC_106701922,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,ONGC,17-Jul-2026 18:35:05,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Press Release,filled,1784519100000,1784519100857,1784520001111,857,900254,0,248.47,251.945,402,NIFTYBEES,900,0.0,1,-0.6444849589790337,-0.580393085484253,1,1,1,165.44278928596003,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,1396.9499999999978,165.44278928596003,1231.5072107140377,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,1
P359_2026-07-20_BHARTIARTL_106701559,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 16:13:26,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,filled,1784519100000,1784519105818,1784520011861,5818,906043,0,1903.5,1934.95,52,NIFTYBEES,900,0.0,1,0.6293706293706294,0.5,1,1,1,165.2713503128,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,-1.0,short,-1635.4000000000024,165.2713503128,-1800.6713503128024,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,1
P359_2026-07-20_BHARTIARTL_106702038,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 19:31:45,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,filled,1784519100000,1784519105818,1784520011861,5818,906043,0,1903.5,1934.95,52,NIFTYBEES,900,0.0,1,0.6293706293706294,0.5,1,1,1,165.2713503128,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,-1.0,short,-1635.4000000000024,165.2713503128,-1800.6713503128024,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
P359_2026-07-20_LT_106701686,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,LT,17-Jul-2026 17:00:01,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,filled,1784519100000,1784519105818,1784520009899,5818,904081,0,3818.45,3820.0,26,NIFTYBEES,900,0.0,1,0.8595825426944972,0.8661493695441319,1,1,1,165.2144227564,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,-1.0,short,-40.30000000000473,165.2144227564,-205.51442275640474,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
P359_2026-07-20_LT_106702971,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,LT,20-Jul-2026 09:09:48,2026-07-20,pre_open_or_overnight,2026-07-20,market_open_same_day,Bagging/Receiving of orders/contracts,filled,1784519100000,1784519105818,1784520009899,5818,904081,0,3818.45,3820.0,26,NIFTYBEES,900,0.0,1,0.8595825426944972,0.8661493695441319,1,1,1,165.2144227564,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,-1.0,short,-40.30000000000473,165.2144227564,-205.51442275640474,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
P359_2026-07-20_WIPRO_106701555,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,WIPRO,17-Jul-2026 16:12:41,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,filled,1784519100000,1784519105818,1784520009901,5818,904083,0,176.525,175.965,566,NIFTYBEES,900,0.0,1,-0.6124174372523118,-0.7225384177575412,1,1,1,165.30146414408003,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,-316.9600000000013,165.30146414408003,-482.2614641440813,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
P359_2026-07-20_WIPRO_106701598,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,WIPRO,17-Jul-2026 16:30:50,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,filled,1784519100000,1784519105818,1784520009901,5818,904083,0,176.525,175.965,566,NIFTYBEES,900,0.0,1,-0.6124174372523118,-0.7225384177575412,1,1,1,165.30146414408003,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,-316.9600000000013,165.30146414408003,-482.2614641440813,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
P359_2026-07-20_BRITANNIA_106701684,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 16:58:52,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,filled,1784519100000,1784519105819,1784520012861,5819,907042,0,5406.25,5422.0,18,NIFTYBEES,900,0.0,1,-0.43825665859564167,-0.5157894736842106,1,1,1,162.820244702,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2,1.0,long,283.5,162.820244702,120.679755298,P360_UNSEEN_P357_FULL_DEPTH_MARKET_NEUTRAL_DEPTH_2_5_FADE,0
